angle_deg,state,tr_F_rho_real
0.0,ket_0,0.5809719075604208
0.0,ket_1,0.5809719075604208
0.0,ket_plus,0.5809719075604207
0.0,ket_minus,0.5809719075604207
0.0,ket_plus_i,0.71868429640021
0.0,ket_minus_i,0.4432595187206314
15.0,ket_0,0.5809719075604208
15.0,ket_1,0.5809719075604208
15.0,ket_plus,0.7949312344497583
15.0,ket_minus,0.36701258067108306
15.0,ket_plus_i,0.6905160166331107
15.0,ket_minus_i,0.47142779848773075
30.0,ket_0,0.5809719075604208
30.0,ket_1,0.5809719075604208
30.0,ket_plus,0.9943095867960934
30.0,ket_minus,0.16763422832474803
30.0,ket_plus_i,0.6079307990476571
30.0,ket_minus_i,0.5540130160731843
45.0,ket_0,0.5809719075604208
45.0,ket_1,0.5809719075604208
45.0,ket_plus,1.165519659375329
45.0,ket_minus,-0.0035758442544876474
45.0,ket_plus_i,0.47655668974377297
45.0,ket_minus_i,0.6853871253770685
60.0,ket_0,0.5809719075604208
60.0,ket_1,0.5809719075604208
60.0,ket_plus,1.2968937686792132
60.0,ket_minus,-0.1349499535583718
60.0,ket_plus_i,0.30534661716453737
60.0,ket_minus_i,0.8565971979563041
75.0,ket_0,0.5809719075604208
75.0,ket_1,0.5809719075604208
75.0,ket_plus,1.3794789862646668
75.0,ket_minus,-0.21753517114382542
75.0,ket_plus_i,0.1059682648182022
75.0,ket_minus_i,1.0559755503026391
90.0,ket_0,0.5809719075604208
90.0,ket_1,0.5809719075604208
90.0,ket_plus,1.4076472660317663
90.0,ket_minus,-0.24570345091092474
90.0,ket_plus_i,-0.10799106207113551
90.0,ket_minus_i,1.269934877191977
