x,theta2_x,Lambda_vac,Lambda_matter_plus,Lambda_matter_minus,Lambda_total_plus
0.0,0.7540225419129253,0.9593697895651007,0.7540225419129251,-0.7540225419129251,1.7133923314780257
0.05235987755982988,0.7540225419129342,0.9591867954796455,0.7540225419129339,-0.7540225419129339,1.7132093373925794
0.10471975511965977,0.7540225419129518,0.9586383147973482,0.7540225419129516,-0.7540225419129516,1.7126608567102997
0.15707963267948966,0.7540225419129866,0.9577258508656344,0.7540225419129863,-0.7540225419129863,1.7117483927786208
0.20943951023931953,0.7540225419130544,0.9564519046847167,0.7540225419130542,-0.7540225419130542,1.7104744465977708
0.2617993877991494,0.754022541913186,0.9548199680525258,0.7540225419131857,-0.7540225419131857,1.7088425099657116
0.3141592653589793,0.7540225419134388,0.9528345139939361,0.7540225419134385,-0.7540225419134385,1.7068570559073746
0.36651914291880916,0.7540225419139209,0.9505009845005152,0.7540225419139207,-0.7540225419139207,1.704523526414436
0.41887902047863906,0.7540225419148333,0.9478257756144025,0.7540225419148331,-0.7540225419148331,1.7018483175292356
0.47123889803846897,0.7540225419165458,0.9448162198972034,0.7540225419165456,-0.7540225419165456,1.698838761813749
0.5235987755982988,0.7540225419197347,0.9414805663319473,0.7540225419197345,-0.7540225419197345,1.6955031082516818
0.5759586531581287,0.7540225419256256,0.9378279577131984,0.7540225419256253,-0.7540225419256253,1.6918504996388237
0.6283185307179586,0.7540225419364214,0.9338684055872906,0.7540225419364212,-0.7540225419364212,1.6878909475237118
0.6806784082777885,0.7540225419560486,0.9296127628113757,0.7540225419560483,-0.7540225419560483,1.683635304767424
0.7330382858376183,0.7540225419914475,0.9250726938064968,0.7540225419914472,-0.7540225419914472,1.679095235797944
0.7853981633974483,0.7540225420547829,0.9202606425862196,0.7540225420547827,-0.7540225420547827,1.6742831846410025
0.8377580409572781,0.7540225421671989,0.9151897986484577,0.7540225421671987,-0.7540225421671987,1.6692123408156565
0.890117918517108,0.7540225423651381,0.9098740608239742,0.7540225423651379,-0.7540225423651379,1.663896603189112
0.9424777960769379,0.7540225427108828,0.9043279991806535,0.7540225427108825,-0.7540225427108825,1.658350541891536
0.9948376736367678,0.7540225433099791,0.8985668150879584,0.7540225433099789,-0.7540225433099789,1.6525893583979374
1.0471975511965976,0.7540225443397801,0.8926062995510313,0.7540225443397799,-0.7540225443397799,1.6466288438908112
1.0995574287564276,0.7540225460957738,0.8864627899286494,0.7540225460957736,-0.7540225460957736,1.640485336024423
1.1519173063162573,0.7540225490660921,0.8801531251536566,0.7540225490660919,-0.7540225490660919,1.6341756742197484
1.2042771838760873,0.7540225540502389,0.8736945995786225,0.7540225540502387,-0.7540225540502387,1.6277171536288613
1.2566370614359172,0.7540225623465243,0.8671049155732211,0.7540225623465241,-0.7540225623465241,1.621127477919745
1.308996938995747,0.7540225760452031,0.8604021350032683,0.7540225760452028,-0.7540225760452028,1.6144247110484713
1.361356816555577,0.7540225984826165,0.8536046297244017,0.7540225984826163,-0.7540225984826163,1.607627228207018
1.413716694115407,0.7540226349380991,0.8467310312261016,0.7540226349380988,-0.7540226349380988,1.6007536661642003
1.4660765716752366,0.7540226936931962,0.8398001795640742,0.754022693693196,-0.754022693693196,1.5938228732572701
1.5184364492350666,0.7540227876260269,0.8328310717209673,0.7540227876260267,-0.7540227876260267,1.586853859346994
1.5707963267948966,0.7540229365877854,0.8258428095369622,0.7540229365877852,-0.7540229365877852,1.5798657461247474
1.6231562043547263,0.7540231709102148,0.8188545473529572,0.7540231709102145,-0.7540231709102145,1.5728777182631717
1.6755160819145563,0.7540235365307678,0.8118854395098501,0.7540235365307676,-0.7540235365307676,1.5659089760406177
1.7278759594743862,0.7540241024061224,0.8049545878478228,0.7540241024061222,-0.7540241024061222,1.5589786902539449
1.780235837034216,0.7540249711263696,0.7980809893495228,0.7540249711263693,-0.7540249711263693,1.5521059604758922
1.832595714594046,0.7540262939544392,0.791283484070656,0.754026293954439,-0.754026293954439,1.545309778025095
1.8849555921538759,0.754028291911758,0.7845807035007032,0.7540282919117578,-0.7540282919117578,1.5386089954124609
1.9373154697137056,0.7540312850249081,0.7779910194953019,0.7540312850249079,-0.7540312850249079,1.53202230452021
1.9896753472735356,0.7540357324502801,0.7715324939202677,0.7540357324502799,-0.7540357324502799,1.5255682263705475
2.0420352248333655,0.7540422869111144,0.7652228291452751,0.7540422869111142,-0.7540422869111142,1.5192651160563893
2.0943951023931953,0.754051867713116,0.759079319522893,0.7540518677131158,-0.7540518677131158,1.513131187236009
2.146754979953025,0.7540657575387978,0.7531188039859661,0.7540657575387976,-0.7540657575387976,1.5071845615247637
2.199114857512855,0.7540857292285692,0.7473576198932708,0.754085729228569,-0.754085729228569,1.5014433491218397
2.251474735072685,0.7541142097886924,0.7418115582499502,0.7541142097886921,-0.7541142097886921,1.4959257680386422
2.3038346126325147,0.7541544898461683,0.7364958204254667,0.7541544898461681,-0.7541544898461681,1.4906503102716346
2.356194490192345,0.7542109875901394,0.7314249764877048,0.7542109875901392,-0.7542109875901392,1.485635964077844
2.4085543677521746,0.754289576754483,0.7266129252674277,0.7542895767544828,-0.7542895767544828,1.4809025020219106
2.4609142453120043,0.7543979882254592,0.7220728562625487,0.754397988225459,-0.754397988225459,1.4764708444880077
2.5132741228718345,0.7545462941843625,0.7178172134866339,0.7545462941843623,-0.7545462941843623,1.472363507670996
2.5656340004316642,0.7547474820716741,0.7138576613607259,0.7547474820716739,-0.7547474820716739,1.4686051434324
