boot_id,intercept,coef_lm_w1_times_delta_alpha,coef_delta_alpha,coef_lambda_w_g2_mean
0,1.2593105921775225,-1.32129752714558,-0.9009946193470186,14.117975189439688
1,2.517628240159458,-2.263303421030221,-2.6611549288087253,-12.996941417069818
2,0.6872716301337285,-2.52035439441565,1.0157767627684573,16.06541685050848
3,2.5924038789941557,1.7321987277211084,-5.71815407986014,-4.228299308202827
4,1.8525659283817746,-0.6638608684687282,-2.1029184638376073,15.793700617035922
5,0.45292420256156535,-5.723066412233319,3.792803949502853,10.935173404121851
6,1.9958807332359916,2.548194461265109,-4.808840792884625,14.29261189542524
7,1.6939628784249163,-0.17524074971929618,-2.942446762552218,0.8853389781565681
8,2.83412561513625,1.3574362242441629,-5.881346973157715,-18.650001391900968
9,2.4887899697064144,4.052044398160367,-7.3046552802327644,2.6547256635499474
10,2.5433020825817296,-0.6479865727436002,-3.740193804357354,-5.49404326243128
11,2.6484228060839303,2.8903189973903882,-6.68139667867876,-5.438924034088455
12,2.6177244518277103,2.944866672155052,-6.896880812955799,-10.193891817027756
13,1.5439450823322123,-2.5383050115967993,-0.48765898942309155,1.8457321141401932
14,1.2256202108858798,2.9529877438712213,-4.4653675946261755,17.90196697024891
15,1.890813762542567,-0.5573915879394498,-2.6526365034335715,-5.203139625758526
16,4.796483290474809,10.023630658707004,-15.866688119221608,-19.919456986810932
17,0.2482360895042195,-6.870430429367462,5.04101922628188,15.781856438783906
18,1.9965470066103153,-0.16110123069597423,-2.9283792458628217,4.217884590371338
19,1.8348095472868016,2.6995724189001544,-4.857739370711128,12.418401688697111
20,2.291574142327648,3.527744183125714,-6.522046479602066,13.432913029897197
21,2.406834050223895,0.0013768841890069168,-3.771613513282715,-2.353617513227093
22,1.884959627549676,-1.7052462309836467,-1.8903499249660154,7.732408710707293
23,3.337247387302595,5.6583899948848275,-9.69191667298267,-15.406678548723628
24,1.6399988422538827,-1.2380663652919166,-1.6222698991552815,0.5902501736988123
25,4.092245152851785,5.34986274863483,-10.97939210567896,-14.22729338675184
26,0.9314863874442845,-4.867305005694106,1.802387901102803,0.03640672834233359
27,1.8726842298921071,1.8201972717778203,-4.44853587025192,2.4536668714118943
28,2.243800094943275,-1.2075093370929586,-2.85390342448066,3.4697922730241024
29,1.6459056830549086,-0.9986893526363959,-1.7295866834192242,7.947788951951211
30,2.4636665050475464,0.35185614404838994,-3.9487952089898064,12.571885600611525
31,1.3783506891616883,2.782279881337527,-4.540273786409476,17.817353307863847
32,1.8725470770170893,2.4133619608573493,-4.721067517546101,6.511860301982991
33,1.5089425011829503,1.1280378073228836,-3.6548754779009713,-0.2026427457609972
34,1.8556646958043346,-0.3007993958534554,-2.8808143595140265,5.0165671501108
35,2.6232141418737123,0.5433365015236561,-5.265016805453481,-23.14445794810663
36,2.0631238696616467,-0.7186275950215287,-2.9274069734267743,0.6269200703269945
37,0.7828298374304608,-5.459295603148897,3.053061468046535,9.110814410596355
38,1.200018329263682,-2.907112457181645,0.36068431978368887,8.611971478346234
39,0.8968067621647589,-7.596266496085169,4.225962028802576,15.65572164051687
