n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.024950914909553812,0.0034434420014289274,-0.0034434420014289274,0.022340379843482003,0.022340379843482656,0.0033333333333333335,-9.92766730025678e-05,-0.0008959319751473503,0.10993795132084004,0.21333333333333335
1,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.049901829819107624,0.0006342647661496466,-0.0006342647661496466,0.06236667603779278,0.04002629619431078,0.006666666666666667,-9.927667300256778e-05,-0.0008899391191262977,0.10993795132084005,0.64
2,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.06236667603779278,0.0,0.0,-9.927667300256778e-05,-0.0008899391191262977,0.10993795132084005,0.64
3,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.07485274472866142,0.004077706767578577,-0.004077706767578577,0.1107693966456255,0.048402720607832725,0.01,-9.927667300256778e-05,-0.0008809498350947189,0.10993795132084003,1.28
4,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.024950914909553812,0.0034434420014289283,-0.0034434420014289283,0.1247022801052278,0.013932883459602294,0.0033333333333333335,-9.92766730025678e-05,-0.0008779534070841927,0.10993795132084004,1.4933333333333334
5,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.1247022801052278,0.0,0.0,-9.92766730025678e-05,-0.0008779534070841927,0.10993795132084004,1.4933333333333334
6,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.1247022801052278,0.0,0.0,-9.92766730025678e-05,-0.0008779534070841927,0.10993795132084004,1.4933333333333334
7,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.049901829819107624,0.0006342647661496466,-0.0006342647661496466,0.15383759322860813,0.02913531312338033,0.006666666666666667,-9.92766730025678e-05,-0.0008719605510631403,0.10993795132084004,1.92
8,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.049901829819107624,0.0006342647661496455,-0.0006342647661496455,0.18123627014833243,0.027398676919724307,0.006666666666666667,-9.927667300256781e-05,-0.0008659676950420879,0.10993795132084005,2.3466666666666667
9,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.049901829819107624,0.0006342647661496474,-0.0006342647661496474,0.20726874859412991,0.02603247844579748,0.006666666666666667,-9.927667300256778e-05,-0.0008599748390210352,0.10993795132084003,2.7733333333333334
10,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.20726874859412991,0.0,0.0,-9.927667300256778e-05,-0.0008599748390210352,0.10993795132084003,2.7733333333333334
11,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.20726874859412991,0.0,0.0,-9.927667300256778e-05,-0.0008599748390210352,0.10993795132084003,2.7733333333333334
12,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.049901829819107624,0.006886884002857855,-0.006886884002857855,0.23034095176061015,0.023072203166480232,0.006666666666666667,-9.92766730025678e-05,-0.0008539819829999827,0.10993795132084004,3.2
13,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.024950914909553812,-0.0028091772352792817,0.0028091772352792817,0.2434988367125603,0.013157884951950166,0.0033333333333333335,-9.92766730025678e-05,-0.0008509855549894565,0.10993795132084004,3.4133333333333336
14,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.024950914909553812,0.0034434420014289274,-0.0034434420014289274,0.25448621849224257,0.010987381779682254,0.0033333333333333335,-9.92766730025678e-05,-0.0008479891269789302,0.10993795132084004,3.6266666666666665
15,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.024950914909553812,-0.002809177235279281,0.002809177235279281,0.2670624311604738,0.012576212668231224,0.0033333333333333335,-9.92766730025678e-05,-0.0008449926989684039,0.10993795132084003,3.84
16,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.024950914909553812,0.0034434420014289283,-0.0034434420014289283,0.27772276491077885,0.010660333750305062,0.0033333333333333335,-9.92766730025678e-05,-0.0008419962709578777,0.10993795132084005,4.053333333333334
17,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.27772276491077885,0.0,0.0,-9.92766730025678e-05,-0.0008419962709578777,0.10993795132084005,4.053333333333334
18,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.27772276491077885,0.0,0.0,-9.92766730025678e-05,-0.0008419962709578777,0.10993795132084005,4.053333333333334
19,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.049901829819107624,0.006886884002857855,-0.006886884002857855,0.29819493870232516,0.02047217379154631,0.006666666666666667,-9.92766730025678e-05,-0.0008360034149368252,0.10993795132084004,4.48
20,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.29819493870232516,0.0,0.0,-9.92766730025678e-05,-0.0008360034149368252,0.10993795132084004,4.48
21,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.024950914909553812,-0.002809177235279281,0.002809177235279281,0.31024579280936665,0.012050854107041487,0.0033333333333333335,-9.92766730025678e-05,-0.0008330069869262989,0.10993795132084004,4.693333333333333
22,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.31024579280936665,0.0,0.0,-9.92766730025678e-05,-0.0008330069869262989,0.10993795132084004,4.693333333333333
23,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.31024579280936665,0.0,0.0,-9.92766730025678e-05,-0.0008330069869262989,0.10993795132084004,4.693333333333333
24,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.049901829819107624,0.000634264766149647,-0.000634264766149647,0.33169443082122296,0.021448638011856314,0.006666666666666667,-9.927667300256781e-05,-0.0008270141309052465,0.10993795132084004,5.12
25,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.33169443082122296,0.0,0.0,-9.927667300256781e-05,-0.0008270141309052465,0.10993795132084004,5.12
26,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.33169443082122296,0.0,0.0,-9.927667300256781e-05,-0.0008270141309052465,0.10993795132084004,5.12
27,gaussian,0.03,2.0,64,0.13570484942774974,0.004071145482832492,300,0.0,0.0,-0.0,0.33169443082122296,0.0,0.0,-9.927667300256781e-05,-0.0008270141309052465,0.10993795132084004,5.12
