K_layers,dmu,Lambda_numerical,Lambda_theory,rel_error,rel_error_pct
4,0.27477996664165716,0.02632580632760294,0.026325806327602938,1.317888200186189e-16,1.317888200186189e-14
8,0.13738998332082858,0.02632580632760294,0.026325806327602938,1.317888200186189e-16,1.317888200186189e-14
16,0.06869499166041429,0.02632580632760294,0.026325806327602938,1.317888200186189e-16,1.317888200186189e-14
32,0.034347495830207145,0.026325806327602938,0.026325806327602938,0.0,0.0
64,0.017173747915103572,0.02632580632760294,0.026325806327602938,1.317888200186189e-16,1.317888200186189e-14
128,0.008586873957551786,0.026325806327602945,0.026325806327602938,2.635776400372378e-16,2.635776400372378e-14
