case_id,seed,n_sites,k_layers,dmu,dt,n_steps,gamma_deph,eta0,max_abs_residual,mean_abs_residual
0,20270230,4,3,0.3333333333333333,0.0125,50,0.5949048312015786,1.4470460996034624,0.010179849346442504,0.0022187929831369697
1,20270230,4,3,0.3333333333333333,0.025,25,0.5949048312015786,1.4470460996034624,0.020177341406892035,0.004464335741894021
2,20270230,4,3,0.3333333333333333,0.05,12,0.5949048312015786,1.4470460996034624,0.03960788875435717,0.00923333429916982
3,20270230,4,3,0.3333333333333333,0.1,6,0.5949048312015786,1.4470460996034624,0.07608968194738958,0.018850403152350616
4,20271230,4,4,0.25,0.0125,50,0.5949048312015786,1.4470460996034624,0.01708345653065446,0.0024479484651774475
5,20271230,4,4,0.25,0.025,25,0.5949048312015786,1.4470460996034624,0.033672083766781546,0.0049358869410327695
6,20271230,4,4,0.25,0.05,12,0.5949048312015786,1.4470460996034624,0.06542570963117234,0.010360599357754087
7,20271230,4,4,0.25,0.1,6,0.5949048312015786,1.4470460996034624,0.123664461858498,0.021388192025150982
8,20272230,4,5,0.2,0.0125,50,0.5949048312015786,1.4470460996034624,0.013477299144012411,0.0015547921338762063
9,20272230,4,5,0.2,0.025,25,0.5949048312015786,1.4470460996034624,0.02666546671399539,0.0031321518698245584
10,20272230,4,5,0.2,0.05,12,0.5949048312015786,1.4470460996034624,0.05219359966482595,0.0065412377860851224
11,20272230,4,5,0.2,0.1,6,0.5949048312015786,1.4470460996034624,0.09999140454078947,0.013444820870680628
12,20273230,4,6,0.16666666666666666,0.0125,50,0.5949048312015786,1.4470460996034624,0.017234971300071344,0.0019475473246089667
13,20273230,4,6,0.16666666666666666,0.025,25,0.5949048312015786,1.4470460996034624,0.0339094430158976,0.003930467430059778
14,20273230,4,6,0.16666666666666666,0.05,12,0.5949048312015786,1.4470460996034624,0.06565962348648535,0.008257379600407155
15,20273230,4,6,0.16666666666666666,0.1,6,0.5949048312015786,1.4470460996034624,0.12334408312510303,0.017101630385356732
