case_id,seed,n_sites,k_layers,dmu,dt,n_steps,gamma_deph,eta0,max_abs_residual,mean_abs_residual
0,20270232,5,3,0.3333333333333333,0.0125,60,0.7020744030452793,1.156263791710525,0.013267627391912784,0.001407727515819195
1,20270232,5,3,0.3333333333333333,0.025,30,0.7020744030452793,1.156263791710525,0.026222271588614898,0.0028350543454510554
2,20270232,5,3,0.3333333333333333,0.05,15,0.7020744030452793,1.156263791710525,0.0512171036532969,0.005748662866940746
3,20270232,5,3,0.3333333333333333,0.1,8,0.7020744030452793,1.156263791710525,0.09772039526619436,0.011204215836661714
4,20271232,5,4,0.25,0.0125,60,0.7020744030452793,1.156263791710525,0.010051681061008844,0.0015203465320706856
5,20271232,5,4,0.25,0.025,30,0.7020744030452793,1.156263791710525,0.019829140606423046,0.0030599134243768566
6,20271232,5,4,0.25,0.05,15,0.7020744030452793,1.156263791710525,0.03859178774447647,0.006197672657750377
7,20271232,5,4,0.25,0.1,8,0.7020744030452793,1.156263791710525,0.07316074236754866,0.012088156224106774
8,20272232,5,5,0.2,0.0125,60,0.7020744030452793,1.156263791710525,0.0184045565924561,0.001442618815766351
9,20272232,5,5,0.2,0.025,30,0.7020744030452793,1.156263791710525,0.0363100571148266,0.002910417477948036
10,20272232,5,5,0.2,0.05,15,0.7020744030452793,1.156263791710525,0.07068147051583251,0.005920940099488803
11,20272232,5,5,0.2,0.1,8,0.7020744030452793,1.156263791710525,0.13406901070853172,0.011593195338258682
