case_key,seed_case,gamma_jump_case,deltaS_hor_case,profile,a_1_over_Teff,b,R2,Teff,mean_jump_rate,mean_Lambda_w,mean_Coh_ptr_w
seed_20260900_Gm_0.09_dS_0.08,20260900,0.09,0.08,constant,10.356846219873626,0.0006759412533333815,0.9487199054087408,0.09655448953959674,0.0023035714285714287,0.01546854543118486,0.00060425849631818
seed_20260900_Gm_0.09_dS_0.08,20260900,0.09,0.08,gaussian,9.46615056949648,0.008608551532210188,0.28518803233291756,0.10563956200130374,0.002348214285714286,0.0006796680559010172,2.6549534997017776e-05
seed_20260900_Gm_0.09_dS_0.08,20260900,0.09,0.08,oscillating,5.8200510345439715,0.010376666019295079,0.07582120736360876,0.17181979918469129,0.002142857142857143,0.015468545431184857,0.000604258496318182
seed_20260900_Gm_0.09_dS_0.12,20260900,0.09,0.12,constant,15.53526932981046,0.0010139118800000701,0.9487199054087408,0.06436965969306441,0.0023035714285714287,0.022625444811536756,0.000883833410269265
seed_20260900_Gm_0.09_dS_0.12,20260900,0.09,0.12,gaussian,14.199225854244714,0.01291282729831529,0.2851880323329177,0.07042637466753585,0.002348214285714286,0.0009941330396813558,3.883332414927507e-05
seed_20260900_Gm_0.09_dS_0.12,20260900,0.09,0.12,oscillating,8.730076551815964,0.015564999028942606,0.07582120736360876,0.11454653278979411,0.002142857142857143,0.02262544481153676,0.0008838334102692677
seed_20260900_Gm_0.12_dS_0.08,20260900,0.12,0.08,constant,9.63410204147398,0.0013310977982110982,0.903270781873197,0.10379794564092076,0.0028928571428571428,0.015468545431184855,0.0006042584963181806
seed_20260900_Gm_0.12_dS_0.08,20260900,0.12,0.08,gaussian,16.35084980649368,0.008442291511961235,0.4751238175939252,0.06115890071981785,0.0029196428571428576,0.0006796680559010172,2.6549534997017407e-05
seed_20260900_Gm_0.12_dS_0.08,20260900,0.12,0.08,oscillating,4.544240590811865,0.013463853990119743,0.020228505503538052,0.22005877110070488,0.0026964285714285714,0.015468545431184855,0.0006042584963181817
seed_20260900_Gm_0.12_dS_0.12,20260900,0.12,0.12,constant,14.451153062210961,0.0019966466973166375,0.903270781873197,0.06919863042728056,0.0028928571428571428,0.022625444811536756,0.0008838334102692656
seed_20260900_Gm_0.12_dS_0.12,20260900,0.12,0.12,gaussian,24.52627470974055,0.01266343726794186,0.4751238175939251,0.04077260047987852,0.0029196428571428576,0.0009941330396813558,3.883332414927454e-05
seed_20260900_Gm_0.12_dS_0.12,20260900,0.12,0.12,oscillating,6.816360886217793,0.020195780985179615,0.020228505503538163,0.14670584740047,0.0026964285714285714,0.022625444811536752,0.0008838334102692677
seed_20260901_Gm_0.09_dS_0.08,20260901,0.09,0.08,constant,10.224918502186183,0.0006657961238997101,0.903758949665786,0.09780029051441248,0.0021964285714285714,0.015468545431184855,0.0006042584963181824
seed_20260901_Gm_0.09_dS_0.08,20260901,0.09,0.08,gaussian,13.655346503626724,0.007278138776808274,0.3575462766331675,0.07323138960511986,0.0022767857142857147,0.0006796680559010171,2.6549534997017983e-05
seed_20260901_Gm_0.09_dS_0.08,20260901,0.09,0.08,oscillating,3.572641985961195,0.010370108218165437,0.017249673693918277,0.27990490061123685,0.0020714285714285713,0.015468545431184855,0.0006042584963181809
seed_20260901_Gm_0.09_dS_0.12,20260901,0.09,0.12,constant,15.337377753279279,0.0009986941858495693,0.903758949665786,0.06520019367627497,0.0021964285714285714,0.02262544481153675,0.0008838334102692684
seed_20260901_Gm_0.09_dS_0.12,20260901,0.09,0.12,gaussian,20.483019755440118,0.010917208165212411,0.3575462766331676,0.04882092640341317,0.0022767857142857147,0.0009941330396813555,3.8833324149275366e-05
seed_20260901_Gm_0.09_dS_0.12,20260901,0.09,0.12,oscillating,5.358962978941827,0.015555162327248167,0.017249673693918166,0.18660326707415667,0.0020714285714285713,0.022625444811536756,0.0008838334102692664
seed_20260901_Gm_0.12_dS_0.08,20260901,0.12,0.08,constant,10.8697698302406,0.0003208347950745402,0.9633475107046235,0.09199826818944383,0.0027678571428571427,0.015468545431184848,0.0006042584963181817
seed_20260901_Gm_0.12_dS_0.08,20260901,0.12,0.08,gaussian,10.201637975113297,0.009747668658935667,0.33649880909884,0.09802347450865058,0.00275,0.0006796680559010171,2.6549534997017034e-05
seed_20260901_Gm_0.12_dS_0.08,20260901,0.12,0.08,oscillating,5.658808189601708,0.013155186173818067,0.034097793190198455,0.17671565575195514,0.002651785714285714,0.015468545431184855,0.0006042584963181809
seed_20260901_Gm_0.12_dS_0.12,20260901,0.12,0.12,constant,16.30465474536089,0.0004812521926118157,0.9633475107046237,0.06133217879296259,0.0027678571428571427,0.022625444811536752,0.0008838334102692673
seed_20260901_Gm_0.12_dS_0.12,20260901,0.12,0.12,gaussian,15.302456962669954,0.014621502988403489,0.33649880909883967,0.06534898300576703,0.00275,0.000994133039681356,3.883332414927399e-05
seed_20260901_Gm_0.12_dS_0.12,20260901,0.12,0.12,oscillating,8.488212284402477,0.019732779260727126,0.03409779319019812,0.11781043716797128,0.002651785714285714,0.022625444811536756,0.0008838334102692664
seed_20260902_Gm_0.09_dS_0.08,20260902,0.09,0.08,constant,10.451773580672915,0.0004174193721632721,0.9249777015597191,0.09567754145087566,0.0021607142857142858,0.015468545431184852,0.000604258496318181
seed_20260902_Gm_0.09_dS_0.08,20260902,0.09,0.08,gaussian,11.331827306870304,0.007620546312439432,0.25665127034561086,0.08824702079546484,0.002169642857142857,0.000679668055901017,2.654953499701923e-05
seed_20260902_Gm_0.09_dS_0.08,20260902,0.09,0.08,oscillating,3.910754637098991,0.009489091998309718,0.020352116820091415,0.25570512415010593,0.0019017857142857141,0.015468545431184855,0.0006042584963181819
seed_20260902_Gm_0.09_dS_0.12,20260902,0.09,0.12,constant,15.67766037100935,0.0006261290582449162,0.9249777015597191,0.0637850276339172,0.0021607142857142858,0.02262544481153675,0.0008838334102692667
seed_20260902_Gm_0.09_dS_0.12,20260902,0.09,0.12,gaussian,16.997740960305403,0.011430819468659148,0.25665127034561075,0.05883134719697674,0.002169642857142857,0.0009941330396813553,3.88333241492772e-05
seed_20260902_Gm_0.09_dS_0.12,20260902,0.09,0.12,oscillating,5.866131955648482,0.014233637997464577,0.020352116820091415,0.17047008276673742,0.0019017857142857141,0.02262544481153676,0.0008838334102692679
seed_20260902_Gm_0.12_dS_0.08,20260902,0.12,0.08,constant,10.681978167999212,0.0004236091973306544,0.9488742098128715,0.09361561915523976,0.0026517857142857146,0.015468545431184852,0.0006042584963181812
seed_20260902_Gm_0.12_dS_0.08,20260902,0.12,0.08,gaussian,6.824614318771148,0.010575450307390995,0.19141374642017217,0.14652842685182857,0.0026339285714285714,0.0006796680559010171,2.6549534997018772e-05
seed_20260902_Gm_0.12_dS_0.08,20260902,0.12,0.08,oscillating,4.270323971048856,0.012972659369314533,0.00830991252126878,0.23417427033162191,0.002580357142857143,0.015468545431184857,0.0006042584963181817
seed_20260902_Gm_0.12_dS_0.12,20260902,0.12,0.12,constant,16.022967251998796,0.0006354137959959913,0.9488742098128715,0.06241041277015993,0.0026517857142857146,0.022625444811536752,0.0008838334102692668
