angle_deg,Lambda_matter_plus,Lambda_matter_analytic,angle_error
0.0,0.0,0.0,0.0
1.8367346938775508,0.014916959474845308,0.014916959474845311,-3.469446951953614e-18
3.6734693877551017,0.02981859076546427,0.029818590765464278,-6.938893903907228e-18
5.5102040816326525,0.044689581438376,0.044689581438376015,-1.3877787807814457e-17
7.346938775510203,0.05951465054540559,0.059514650545405605,-1.3877787807814457e-17
9.183673469387754,0.07427856432589128,0.07427856432589128,0.0
11.020408163265305,0.08896615186040334,0.08896615186040335,-1.3877787807814457e-17
12.857142857142858,0.10356232065988935,0.10356232065988938,-2.7755575615628914e-17
14.693877551020407,0.11805207217422695,0.11805207217422696,-1.3877787807814457e-17
16.53061224489796,0.13242051720424783,0.13242051720424786,-2.7755575615628914e-17
18.36734693877551,0.14665289120139657,0.14665289120139663,-5.551115123125783e-17
20.20408163265306,0.16073456943930226,0.16073456943930226,0.0
22.04081632653061,0.17465108204167318,0.17465108204167323,-5.551115123125783e-17
23.87755102040816,0.18838812885107348,0.1883881288510735,-2.7755575615628914e-17
25.714285714285715,0.20193159412330097,0.201931594123301,-2.7755575615628914e-17
27.551020408163264,0.21526756103226874,0.21526756103226882,-8.326672684688674e-17
29.387755102040813,0.22838232597048497,0.228382325970485,-2.7755575615628914e-17
31.224489795918362,0.24126241263043538,0.24126241263043544,-5.551115123125783e-17
33.06122448979592,0.25389458585240093,0.253894585852401,-5.551115123125783e-17
34.897959183673464,0.26626586522447837,0.2662658652244784,-5.551115123125783e-17
36.73469387755102,0.2783635384208315,0.27836353842083156,-5.551115123125783e-17
38.57142857142858,0.29017517426446504,0.2901751742644651,-5.551115123125783e-17
40.40816326530612,0.3016886355010992,0.3016886355010993,-1.1102230246251565e-16
42.244897959183675,0.31289209127101925,0.31289209127101936,-1.1102230246251565e-16
44.08163265306122,0.3237740292660834,0.32377402926608356,-1.6653345369377348e-16
45.91836734693877,0.3343232675593978,0.33432326755939784,-5.551115123125783e-17
47.75510204081632,0.3445289660955019,0.344528966095502,-1.1102230246251565e-16
49.59183673469387,0.3543806378292587,0.3543806378292588,-1.1102230246251565e-16
51.42857142857143,0.3638681595020025,0.3638681595020026,-5.551115123125783e-17
53.265306122448976,0.37298178204387095,0.372981782043871,-5.551115123125783e-17
55.10204081632653,0.3817121405916339,0.381712140591634,-1.1102230246251565e-16
56.938775510204074,0.3900502641117234,0.3900502641117235,-1.1102230246251565e-16
58.77551020408163,0.39798758461857686,0.3979875846185769,-5.551115123125783e-17
60.61224489795919,0.40551594597882157,0.4055159459788217,-1.1102230246251565e-16
62.448979591836725,0.4126276122922529,0.41262761229225303,-1.1102230246251565e-16
64.28571428571428,0.41931527584099515,0.41931527584099526,-1.1102230246251565e-16
66.12244897959184,0.42557206459867486,0.42557206459867497,-1.1102230246251565e-16
67.95918367346938,0.43139154929189344,0.43139154929189355,-1.1102230246251565e-16
69.79591836734693,0.4367677500067393,0.43676775000673934,-5.551115123125783e-17
71.63265306122449,0.44169514233355417,0.4416951423335543,-1.1102230246251565e-16
73.46938775510203,0.4461686630436374,0.4461686630436375,-1.1102230246251565e-16
75.3061224489796,0.4501837152920555,0.4501837152920556,-1.1102230246251565e-16
77.14285714285715,0.45373617334121114,0.4537361733412113,-1.6653345369377348e-16
78.97959183673468,0.4568223868003176,0.4568223868003177,-1.1102230246251565e-16
80.81632653061224,0.45943918437642195,0.45943918437642206,-1.1102230246251565e-16
82.65306122448979,0.46158387713312266,0.4615838771331227,-5.551115123125783e-17
84.48979591836735,0.46325426125363395,0.46325426125363406,-1.1102230246251565e-16
86.32653061224488,0.46444862030535644,0.46444862030535655,-1.1102230246251565e-16
88.16326530612244,0.46516572700362735,0.4651657270036275,-1.6653345369377348e-16
90.0,0.46540484447283886,0.46540484447283903,-1.6653345369377348e-16
