x,theta2_x,Lambda_vac,Lambda_matter_plus,Lambda_matter_minus,Lambda_total_plus
0.0,0.4,0.33,0.3999999999999999,-0.3999999999999999,0.73
0.031415926535897934,0.4000000000000001,0.329985196810972,0.39999999999999997,-0.39999999999999997,0.729985196810972
0.06283185307179587,0.4000000000000001,0.32994080185284813,0.39999999999999997,-0.39999999999999997,0.7299408018528482
0.0942477796076938,0.40000000000000013,0.32986685893809237,0.4,-0.4,0.7298668589380923
0.12566370614359174,0.4000000000000002,0.3297634410394343,0.4000000000000001,-0.4000000000000001,0.7297634410394344
0.15707963267948966,0.4000000000000003,0.32963065021785415,0.4000000000000002,-0.4000000000000002,0.7296306502178543
0.1884955592153876,0.40000000000000047,0.32946861752186063,0.40000000000000036,-0.40000000000000036,0.729468617521861
0.21991148575128555,0.40000000000000074,0.3292775028581624,0.40000000000000063,-0.40000000000000063,0.7292775028581631
0.25132741228718347,0.4000000000000012,0.32905749483385893,0.4000000000000011,-0.4000000000000011,0.72905749483386
0.2827433388230814,0.4000000000000019,0.32880881057030825,0.4000000000000018,-0.4000000000000018,0.7288088105703101
0.3141592653589793,0.400000000000003,0.32853169548885464,0.4000000000000029,-0.4000000000000029,0.7285316954888575
0.3455751918948773,0.40000000000000474,0.32822642306862676,0.40000000000000463,-0.40000000000000463,0.7282264230686314
0.3769911184307752,0.40000000000000746,0.32789329457664756,0.40000000000000735,-0.40000000000000735,0.727893294576655
0.4084070449666731,0.40000000000001174,0.32753263877051947,0.4000000000000116,-0.4000000000000116,0.7275326387705311
0.4398229715025711,0.4000000000000184,0.32714481157398057,0.4000000000000183,-0.4000000000000183,0.7271448115739989
0.471238898038469,0.40000000000002867,0.32673019572565104,0.40000000000002855,-0.40000000000002855,0.7267301957256795
0.5026548245743669,0.40000000000004465,0.32628920040131587,0.40000000000004454,-0.40000000000004454,0.7262892004013604
0.5340707511102649,0.40000000000006924,0.32582226081011834,0.40000000000006913,-0.40000000000006913,0.7258222608101874
0.5654866776461628,0.4000000000001071,0.32532983776506047,0.400000000000107,-0.400000000000107,0.7253298377651675
0.5969026041820608,0.40000000000016506,0.32481241722823684,0.40000000000016495,-0.40000000000016495,0.7248124172284018
0.6283185307179586,0.40000000000025354,0.3242705098312484,0.40000000000025343,-0.40000000000025343,0.7242705098315019
0.6597344572538566,0.4000000000003882,0.3237046503712707,0.4000000000003881,-0.4000000000003881,0.7237046503716589
0.6911503837897546,0.40000000000059244,0.3231153972832737,0.4000000000005923,-0.4000000000005923,0.723115397283866
0.7225663103256524,0.4000000000009012,0.32250333208891374,0.4000000000009011,-0.4000000000009011,0.7225033320898149
0.7539822368615504,0.40000000000136626,0.32186905882264233,0.40000000000136615,-0.40000000000136615,0.7218690588240084
0.7853981633974484,0.40000000000206465,0.32121320343559645,0.40000000000206454,-0.40000000000206454,0.721213203437661
0.8168140899333463,0.40000000000310976,0.32053641317786064,0.40000000000310965,-0.40000000000310965,0.7205364131809703
0.8482300164692442,0.4000000000046685,0.3198393559597096,0.4000000000046684,-0.4000000000046684,0.719839355964378
0.8796459430051422,0.4000000000069856,0.31912271969246064,0.4000000000069855,-0.4000000000069855,0.7191227196994461
0.9110618695410401,0.40000000001041836,0.31838721160958927,0.40000000001041824,-0.40000000001041824,0.7183872116200075
0.942477796076938,0.40000000001548697,0.31763355756877415,0.40000000001548686,-0.40000000001548686,0.717633557584261
0.9738937226128359,0.4000000000229459,0.3168625013355639,0.4000000000229458,-0.4000000000229458,0.7168625013585097
1.0053096491487339,0.40000000003388547,0.3160748038493699,0.40000000003388536,-0.40000000003388536,0.7160748038832553
1.0367255756846319,0.4000000000498763,0.3152712424725111,0.4000000000498762,-0.4000000000498762,0.7152712425223873
1.0681415022205298,0.4000000000731722,0.31445261022305143,0.4000000000731721,-0.4000000000731721,0.7144526102962235
1.0995574287564276,0.40000000010699643,0.3136197149921864,0.4000000001069963,-0.4000000001069963,0.7136197150991828
1.1309733552923256,0.40000000015594217,0.3127733787469522,0.40000000015594206,-0.40000000015594206,0.7127733789028943
1.1623892818282235,0.4000000002265318,0.31191443671904345,0.4000000002265317,-0.4000000002265317,0.7119144369455752
1.1938052083641215,0.40000000032799404,0.31104373658054035,0.40000000032799393,-0.40000000032799393,0.7110437369085343
1.2252211349000195,0.40000000047334083,0.3101621376073587,0.4000000004733407,-0.4000000004733407,0.7101621380806995
1.2566370614359172,0.4000000006808528,0.3092705098312484,0.4000000006808527,-0.4000000006808527,0.7092705105121011
1.2880529879718152,0.40000000097612115,0.3083697331811769,0.40000000097612104,-0.40000000097612104,0.7083697341572979
1.3194689145077132,0.4000000013948433,0.3074606966149456,0.4000000013948432,-0.4000000013948432,0.7074606980097888
1.3508848410436112,0.4000000019866363,0.30654429724189625,0.4000000019866362,-0.4000000019866362,0.7065442992285325
1.3823007675795091,0.4000000028202171,0.3056214394375717,0.40000000282021697,-0.40000000282021697,0.7056214422577887
1.4137166941154071,0.40000000399041385,0.30469303395120695,0.40000000399041374,-0.40000000399041374,0.7046930379416207
1.4451326206513049,0.4000000056276175,0.3037599970069291,0.4000000056276174,-0.4000000056276174,0.7037600026345465
1.4765485471872029,0.4000000079104725,0.30282324939955546,0.4000000079104724,-0.4000000079104724,0.7028232573100279
1.5079644737231008,0.4000000110828515,0.3018837155858794,0.4000000110828514,-0.4000000110828514,0.7018837266687308
1.5393804002589988,0.4000000154764671,0.30094232277234384,0.40000001547646696,-0.40000001547646696,0.7009423382488108
