n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,oscillating,0.03,2.0,64,0.12685473823442772,0.0038056421470328314,360,0.0,0.0,-0.0,-1.6863882612050697e-15,0.0,0.0,0.01374234413715239,0.11990145117744651,0.10820200138387864,0.0
1,oscillating,0.03,2.0,64,0.12685473823442772,0.0038056421470328314,360,0.08652620298072075,-0.0036644350757257765,0.0036644350757257765,0.06874867337914464,0.06874867337914634,0.011111111111111112,0.01374234413715239,0.11856921283103045,0.10820200138387866,0.7111111111111111
2,oscillating,0.03,2.0,64,0.12685473823442772,0.0038056421470328314,360,0.08652620298072075,0.007102429546488488,-0.007102429546488488,0.11906229537510124,0.0503136219959566,0.011111111111111112,0.01374234413715239,0.11723697448461436,0.10820200138387866,1.4222222222222223
3,oscillating,0.03,2.0,64,0.12685473823442772,0.0038056421470328314,360,0.021631550745180188,0.0017756073866221226,-0.0017756073866221226,0.1301495041139689,0.011087208738867649,0.002777777777777778,0.013742344137152388,0.11690391489801033,0.10820200138387867,1.6
4,oscillating,0.03,2.0,64,0.12685473823442772,0.0038056421470328314,360,0.0,0.0,-0.0,0.1301495041139689,0.0,0.0,0.013742344137152388,0.11690391489801033,0.10820200138387867,1.6
5,oscillating,0.03,2.0,64,0.12685473823442772,0.0038056421470328314,360,0.021631550745180188,0.0017756073866221226,-0.0017756073866221226,0.14083061266190425,0.010681108547935358,0.002777777777777778,0.01374234413715239,0.11657085531140633,0.10820200138387866,1.7777777777777777
6,oscillating,0.03,2.0,64,0.12685473823442772,0.0038056421470328314,360,0.043263101490360376,-0.0072156498489700195,0.0072156498489700195,0.16736188495172094,0.026531272289816693,0.005555555555555556,0.01374234413715239,0.1159047361381983,0.10820200138387866,2.1333333333333333
7,oscillating,0.03,2.0,64,0.12685473823442772,0.0038056421470328314,360,0.0,0.0,-0.0,0.16736188495172094,0.0,0.0,0.01374234413715239,0.1159047361381983,0.10820200138387866,2.1333333333333333
8,oscillating,0.03,2.0,64,0.12685473823442772,0.0038056421470328314,360,0.021631550745180188,0.0017756073866221232,-0.0017756073866221232,0.17767098344441437,0.01030909849269343,0.002777777777777778,0.013742344137152388,0.11557167655159427,0.10820200138387867,2.311111111111111
9,oscillating,0.03,2.0,64,0.12685473823442772,0.0038056421470328314,360,0.021631550745180188,0.0017756073866221223,-0.0017756073866221223,0.1876627966046176,0.009991813160203228,0.002777777777777778,0.013742344137152388,0.11523861696499024,0.10820200138387867,2.488888888888889
