k_layers,lambda_raw_unreg,lambda_cut_unreg,lambda_raw_reg,lambda_cut_reg,trace_raw_max,trace_cut_max,dyn_norm_raw_mean,dyn_norm_cut_mean,mean_d_raw,mean_d_eff,max_d_raw,max_d_eff,mean_cut_fraction
8,-0.04581197789772912,-0.042571353215559535,-0.004733370666666956,-0.003673527777951172,8.673903672295343e-17,6.687690861581925e-17,0.8898075674345229,0.46127556096479333,107.625,35.0,256.0,108.0,0.5252300970228602
12,0.009869801070374173,-0.02044457262551367,-0.004878129061174867,-0.005486737205001666,8.41358044640184e-17,8.815523789061969e-17,0.9074928022834888,0.48178589109348907,107.16666666666667,33.833333333333336,256.0,108.0,0.5385369579453833
16,-0.04971923774160639,-0.06911385487587363,-0.007583029608934597,-0.008869467197185902,6.12612605090099e-17,7.05981306231723e-17,0.8796836888978454,0.4963347012186258,106.8125,33.3125,256.0,108.0,0.5331355364435892
20,0.03334790045752577,0.04064178734467859,0.006996229899719509,0.008401817807522688,1.2622125048941915e-16,1.0533046425841271e-16,0.9485323851935308,0.5416029283675472,106.6,32.95,256.0,108.0,0.5250860230441271
24,-0.004226672002349885,-0.0037736217259378424,-0.0032245539624956732,-0.0032264491764651005,1.4957171812035348e-16,6.228116311227189e-17,0.8598628893951297,0.46234473214193894,106.45833333333333,32.708333333333336,256.0,108.0,0.5356951525470096
