sample_id,step,t,Q_total,Q_total_dot,Q_total_drift
0,0,0.0,1.5366175228696055,0.0,0.0
0,1,0.02,1.5366175228696055,6.938893903907228e-18,0.0
0,2,0.04,1.5366175228696055,6.938893903907228e-18,0.0
0,3,0.06,1.5366175228696055,2.0816681711721685e-17,0.0
0,4,0.08,1.5366175228696055,2.0816681711721685e-17,0.0
0,5,0.1,1.5366175228696055,-1.3877787807814457e-17,0.0
0,6,0.12,1.5366175228696055,-6.938893903907228e-18,0.0
0,7,0.14,1.5366175228696055,6.938893903907228e-18,0.0
0,8,0.16,1.5366175228696055,-1.3877787807814457e-17,0.0
0,9,0.18,1.5366175228696055,6.938893903907228e-18,0.0
0,10,0.2,1.5366175228696055,2.7755575615628914e-17,0.0
0,11,0.22,1.5366175228696055,1.3877787807814457e-17,0.0
0,12,0.24,1.5366175228696055,2.7755575615628914e-17,0.0
0,13,0.26,1.5366175228696055,-6.938893903907228e-18,0.0
0,14,0.28,1.5366175228696055,-2.7755575615628914e-17,0.0
0,15,0.3,1.5366175228696055,-6.938893903907228e-18,0.0
0,16,0.32,1.5366175228696057,-6.938893903907228e-18,2.220446049250313e-16
0,17,0.34,1.5366175228696053,1.3877787807814457e-17,2.220446049250313e-16
0,18,0.36,1.5366175228696055,2.0816681711721685e-17,0.0
0,19,0.38,1.5366175228696055,1.3877787807814457e-17,0.0
0,20,0.4,1.5366175228696055,-2.0816681711721685e-17,0.0
0,21,0.42,1.5366175228696055,0.0,0.0
0,22,0.44,1.5366175228696055,0.0,0.0
0,23,0.46,1.5366175228696055,-2.7755575615628914e-17,0.0
0,24,0.48,1.5366175228696055,-1.3877787807814457e-17,0.0
0,25,0.5,1.5366175228696057,0.0,2.220446049250313e-16
0,26,0.52,1.5366175228696055,-1.3877787807814457e-17,0.0
0,27,0.54,1.5366175228696055,-6.938893903907228e-18,0.0
0,28,0.56,1.5366175228696055,-1.3877787807814457e-17,0.0
0,29,0.58,1.5366175228696055,-6.938893903907228e-18,0.0
0,30,0.6,1.5366175228696055,3.469446951953614e-17,0.0
0,31,0.62,1.5366175228696055,0.0,0.0
0,32,0.64,1.5366175228696055,-2.7755575615628914e-17,0.0
0,33,0.66,1.5366175228696055,-6.938893903907228e-18,0.0
0,34,0.68,1.5366175228696055,-1.3877787807814457e-17,0.0
0,35,0.7000000000000001,1.5366175228696055,-2.0816681711721685e-17,0.0
0,36,0.72,1.5366175228696055,0.0,0.0
0,37,0.74,1.5366175228696055,-1.3877787807814457e-17,0.0
0,38,0.76,1.5366175228696055,6.938893903907228e-18,0.0
0,39,0.78,1.5366175228696053,-2.0816681711721685e-17,2.220446049250313e-16
0,40,0.8,1.5366175228696055,-1.3877787807814457e-17,0.0
0,41,0.8200000000000001,1.5366175228696053,6.938893903907228e-18,2.220446049250313e-16
0,42,0.84,1.5366175228696057,0.0,2.220446049250313e-16
0,43,0.86,1.536617522869606,-2.7755575615628914e-17,4.440892098500626e-16
0,44,0.88,1.5366175228696055,0.0,0.0
0,45,0.9,1.5366175228696053,0.0,2.220446049250313e-16
0,46,0.92,1.536617522869606,-2.7755575615628914e-17,4.440892098500626e-16
0,47,0.9400000000000001,1.536617522869605,-4.163336342344337e-17,4.440892098500626e-16
0,48,0.96,1.5366175228696055,-1.3877787807814457e-17,0.0
0,49,0.98,1.536617522869606,2.7755575615628914e-17,4.440892098500626e-16
0,50,1.0,1.5366175228696055,2.7755575615628914e-17,0.0
0,51,1.02,1.5366175228696055,0.0,0.0
