split_id,n_train,n_test,mae_base,mae_full,mae_gain_frac,intercept_base,intercept_full,coef_base_ctrl,coef_full_ctrl,coef_full_lambda,coef_full_entropy_curv_struct,coef_full_entropy_vertical_channel,coef_full_entropy_vertical_curvature
0,3650,730,0.8337612193836705,0.8479619046957719,-0.017032077028698613,-0.08628174376166602,-0.3614090685568508,-0.21882706271199912,-0.1734904916033199,-1159.0791166274976,1.219118403690027,1.2886881064958668,-1.6373881098332783
1,3650,730,0.7019333766083354,0.7155650591632948,-0.019420194293661822,-0.020679689834100626,-0.20898720843307342,-0.2433030378619978,-0.2069156216891905,-1764.716643000562,0.9981407923020859,3.4234648785104205,-3.6515376846214416
2,3650,730,0.7222965587847558,0.7204656052336049,0.0025349055438238844,-0.018122461678816655,-0.1555761102613776,-0.20881288773913967,-0.16913905653129732,-1180.4845833836773,0.7028219047578242,7.182315380426177,-6.494638663915074
3,3650,730,0.819303556655796,0.8269300824588346,-0.00930854716920667,0.05394725313867363,-0.17850377238193235,-0.21523790036727017,-0.1812783227430938,-1468.8609716824812,1.0371249452105642,0.262658284685853,-0.6185517716842023
4,3650,730,0.8262971802672656,0.826745576373717,-0.0005426571906076753,-0.01786060090043932,-0.15215924985202545,-0.22189199416165176,-0.19204151769256417,-1650.6087261688851,0.5325275044441917,8.238059501485377,-6.614546969045437
5,3650,730,0.9077114680841819,0.8912933014015716,0.018087428946165513,0.08977860129180958,-0.1915840956206829,-0.21012016600307384,-0.18616382795759256,-836.0839789649339,0.9167482144157707,1.5739268401074036,-0.6747987794350726
