time_index,time,residual_base_res0,lambda_h,n_density_ctrl_z,resid_base_oof_h,resid_full_oof_h,lambda_v,resid_base_oof_v,resid_full_oof_v,proxy_vorticity_abs_mean,proxy_omega_q_850_300
536,2017-05-15 00:00:00,2.102076316575532,1.716863292444531e-05,-0.0902921325195057,2.168599698191952,2.1875397819134257,1.506120332950947e-05,2.168599698191952,2.1877577488399393,1.4547289911695934e-05,0.0006134662517755612
537,2017-05-15 06:00:00,2.3662845569981075,1.9755770416502983e-05,-1.4389694323734847,2.137680846541131,2.162154875954465,1.833739887926796e-05,2.137680846541131,2.163719714273351,1.4337303385354196e-05,0.000589769627998945
538,2017-05-15 12:00:00,1.1379760784028377,-3.428818694994355e-05,-0.0509384604303914,1.2131111084894497,1.166847743795536,-3.1847672634601435e-05,1.2131111084894497,1.163853822844522,1.4327469695206279e-05,0.00035272688015545794
539,2017-05-15 18:00:00,0.8780907066999695,9.970736049896084e-07,-0.1141899028915897,0.9393846094205004,0.9378936641090412,1.226673452163165e-06,0.9393846094205004,0.938420833181642,1.4338941211298572e-05,0.0003246770596287818
540,2017-05-16 00:00:00,0.5631300478691121,6.4370199127939e-06,-0.0266749171232009,0.643574597868622,0.6488233220592136,6.1132640955467745e-06,0.643574597868622,0.649594665128774,1.4141134668521779e-05,0.0002966932360179313
541,2017-05-16 06:00:00,0.7971194314099865,2.0375181812325893e-05,-1.412899411718324,0.5742205469978202,0.5994350033012691,1.9579785442652768e-05,0.5742205469978202,0.60202904806151,1.3833914348799914e-05,0.00031472909374650885
542,2017-05-16 12:00:00,-0.3227519656152691,0.0001213160269225,-0.0862716526971631,-0.255348794208633,-0.1045786090900854,0.0001187414634248,-0.255348794208633,-0.0851180282496639,1.3800588092762397e-05,0.0003242741537432887
543,2017-05-16 18:00:00,0.3488152643155855,3.3477874755315206e-05,-0.1375844710845555,0.4049898023950342,0.4446544431232356,3.237782476591483e-05,0.4049898023950342,0.4494548647520547,1.351636737487122e-05,0.0003776297204652191
544,2017-05-17 00:00:00,0.7780951380525915,0.0001045247874243,0.0232228785345448,0.8694586761116895,0.998789973111314,0.0001025539346584,0.8694586761116895,1.0159305313603473,1.334172206148541e-05,0.00032461072721486506
545,2017-05-17 06:00:00,0.7019415771901416,0.0001046471578391,-1.543948413756837,0.4503656245905488,0.5824767651798198,0.0001066698996189,0.4503656245905488,0.6052833029446736,1.3164374874049923e-05,0.00029909476117620087
546,2017-05-17 12:00:00,-0.3025321161650134,-6.318059358653855e-05,-0.1100132901773714,-0.2403242575521444,-0.3230626427188272,-6.333697526933653e-05,-0.2403242575521444,-0.3353742917651706,1.2814272068787804e-05,0.0003112802492295237
547,2017-05-17 18:00:00,0.2793228290616968,2.080064078917388e-05,-0.0295511085934741,0.3591379905299696,0.3825739777792857,2.082699467002132e-05,0.3591379905299696,0.3866028486041088,1.2510251974759878e-05,0.00028582447591875444
548,2017-05-18 00:00:00,0.3478766037007568,-3.846169333821196e-05,0.0583875880639646,0.4469351318572984,0.3952055436612535,-3.9644523220398575e-05,0.4469351318572984,0.3861457810236724,1.2672407518423507e-05,0.000271311183366955
549,2017-05-18 06:00:00,0.9049235982258056,-2.8520333369381564e-05,-1.346963033193757,0.6964533778520368,0.6596621341568552,-3.079220870126128e-05,0.6964533778520368,0.6507586895867025,1.2394451215390286e-05,0.00033005767360113177
550,2017-05-18 12:00:00,-0.1255509204850183,4.200799835711546e-06,0.0371277805230619,-0.0311446135664749,-0.0288335149721901,3.5703891484546167e-06,-0.0311446135664749,-0.028929599404921,1.1841138119252012e-05,0.0003728563375645505
551,2017-05-18 18:00:00,0.613622101950672,-8.667817330796413e-05,0.1702526661999294,0.7371597365757551,0.6242070887808653,-8.922493469419597e-05,0.7371597365757551,0.6039489124817425,1.19904483125608e-05,0.00039218919814311523
552,2017-05-19 00:00:00,0.866040355664851,-3.8056422469614735e-05,0.1922823335094784,0.9943986776798052,0.9429578413847765,-4.02439455772687e-05,0.9943986776798052,0.9325267042342084,1.1730308754257983e-05,0.00035133762947486065
553,2017-05-19 06:00:00,0.8254455619264242,-1.1041948931349964e-05,-1.4852867648239128,0.5867063656566656,0.572272132319354,-1.2244783698329488e-05,0.5867063656566656,0.5682543768096677,1.1769751266556518e-05,0.00036972531139947777
554,2017-05-19 12:00:00,-0.0747143389097945,1.2683125679350696e-05,-0.3219131442446071,-0.05887590295156,-0.0452259241560624,1.2264797474884124e-05,-0.05887590295156,-0.0434308381605974,1.2128763791080177e-05,0.0003374060469922758
555,2017-05-19 18:00:00,0.6022651295695417,1.8926143165312404e-05,-0.3466885489114187,0.6126820364970367,0.6342763479297462,1.8334586366630633e-05,0.6126820364970367,0.6370104740432149,1.1524616133434884e-05,0.00027638877021716367
556,2017-05-20 00:00:00,0.1542238411581263,4.016065857569473e-05,-0.2831719763199001,0.1785398930993568,0.2269079071532045,4.091146480043858e-05,0.1785398930993568,0.2356672893391592,1.1518132174474188e-05,0.0002664615555303506
557,2017-05-20 06:00:00,0.5520645945403949,4.1809828104706585e-05,-1.780858346576526,0.2486463372145724,0.3016105367342571,4.4320620199485555e-05,0.2486463372145724,0.313081072629439,1.2036971458896814e-05,0.00029709000065728967
