model,mae_base_oof,mae_model_oof,oof_gain_frac,split_gain_median,split_gain_q25,split_gain_q75,perm_stat_real_median_gain,perm_p_value
vertical,0.8018838932973342,0.7991477879384785,0.003412096666016668,0.0043910272658100255,-0.000491519265570992,0.007744978642473813,0.0043910272658100255,0.005988023952095809
horizontal,0.8018838932973342,0.7991741103525069,0.0033792709486674087,0.004490880954161427,-0.0006536591795256143,0.007830984824475615,0.004490880954161427,0.005988023952095809
combined,0.8018838932973342,0.7998262028179325,0.0025660703458426927,0.0032347254191675296,-0.0013035507116946148,0.007002691866704781,0.0032347254191675296,0.011976047904191617
