proxy,quartile_id,proxy_lo,proxy_hi,n,model,mae_base,mae_model,mae_gain_frac
vorticity_abs_mean,1,1.0056509902547431e-05,1.4131600999532668e-05,1095,horizontal,0.8341718468482667,0.8310231715633023,0.0037746122658745044
vorticity_abs_mean,1,1.0056509902547431e-05,1.4131600999532668e-05,1095,vertical,0.8341718468482667,0.8310864902508285,0.003698706218738844
vorticity_abs_mean,1,1.0056509902547431e-05,1.4131600999532668e-05,1095,combined,0.8341718468482667,0.8319332199100339,0.002683651991718874
vorticity_abs_mean,2,1.4131600999532668e-05,1.5837359344223957e-05,1095,horizontal,0.7731300580736177,0.7712880462384448,0.002382538120119335
vorticity_abs_mean,2,1.4131600999532668e-05,1.5837359344223957e-05,1095,vertical,0.7731300580736177,0.7711582098356309,0.002550474163295931
vorticity_abs_mean,2,1.4131600999532668e-05,1.5837359344223957e-05,1095,combined,0.7731300580736177,0.771450449224675,0.002172479043339158
vorticity_abs_mean,3,1.5837359344223957e-05,1.788266183707668e-05,1095,horizontal,0.7772346328037213,0.7717525867877248,0.007053270382733702
vorticity_abs_mean,3,1.5837359344223957e-05,1.788266183707668e-05,1095,vertical,0.7772346328037213,0.7716470272578173,0.007189084621384672
vorticity_abs_mean,3,1.5837359344223957e-05,1.788266183707668e-05,1095,combined,0.7772346328037213,0.7729154728068733,0.00555708638620731
vorticity_abs_mean,4,1.788266183707668e-05,2.3467218647457884e-05,1095,horizontal,0.8229990354637311,0.8226326368205552,0.00044519935915719933
vorticity_abs_mean,4,1.788266183707668e-05,2.3467218647457884e-05,1095,vertical,0.8229990354637311,0.8226994244096373,0.00036404787998886725
vorticity_abs_mean,4,1.788266183707668e-05,2.3467218647457884e-05,1095,combined,0.8229990354637311,0.8230056693301476,-8.060600475408496e-06
omega_q_850_300,1,-7.60531924123562e-05,0.00017490515134715865,1095,horizontal,1.0557640864766404,1.050848342182903,0.004656101070967469
omega_q_850_300,1,-7.60531924123562e-05,0.00017490515134715865,1095,vertical,1.0557640864766404,1.050959907106086,0.0045504288619843914
omega_q_850_300,1,-7.60531924123562e-05,0.00017490515134715865,1095,combined,1.0557640864766404,1.0515578412365887,0.003984076834896993
omega_q_850_300,2,0.00017490515134715865,0.0002610402734445175,1095,horizontal,0.5292812734813072,0.5283326579770699,0.0017922710508839021
omega_q_850_300,2,0.00017490515134715865,0.0002610402734445175,1095,vertical,0.5292812734813072,0.5281391035920463,0.0021579639153793684
omega_q_850_300,2,0.00017490515134715865,0.0002610402734445175,1095,combined,0.5292812734813072,0.5287362003295715,0.0010298364575596635
omega_q_850_300,3,0.0002610402734445175,0.0003538119580306061,1095,horizontal,0.5204289693617107,0.5194436305258384,0.0018933204988163044
omega_q_850_300,3,0.0002610402734445175,0.0003538119580306061,1095,vertical,0.5204289693617107,0.5197160029946271,0.0013699590319821802
omega_q_850_300,3,0.0002610402734445175,0.0003538119580306061,1095,combined,0.5204289693617107,0.5192006071479127,0.0023602879280570192
omega_q_850_300,4,0.0003538119580306061,0.0007411538756572034,1095,horizontal,1.1020612438696784,1.0980718107242158,0.003619974087330095
omega_q_850_300,4,0.0003538119580306061,0.0007411538756572034,1095,vertical,1.1020612438696784,1.0977761380611541,0.0038882646788975504
omega_q_850_300,4,0.0003538119580306061,0.0007411538756572034,1095,combined,1.1020612438696784,1.099810162557657,0.002042609995171461
