case_id,seed,n_sites,k_layers,dmu,dt,n_steps,gamma_deph,eta0,max_abs_residual,mean_abs_residual
0,20270233,4,3,0.3333333333333333,0.0125,60,0.41537610272400766,1.410878206876258,0.009476507924431221,0.0010568076858816556
1,20270233,4,3,0.3333333333333333,0.025,30,0.41537610272400766,1.410878206876258,0.018723861967751443,0.0021245509977234445
2,20270233,4,3,0.3333333333333333,0.05,15,0.41537610272400766,1.410878206876258,0.03655311618050705,0.004288377772100185
3,20270233,4,3,0.3333333333333333,0.1,8,0.41537610272400766,1.410878206876258,0.06970386349635083,0.008368178526700402
4,20271233,4,4,0.25,0.0125,60,0.41537610272400766,1.410878206876258,0.017922796047721956,0.0022905463838478325
5,20271233,4,4,0.25,0.025,30,0.41537610272400766,1.410878206876258,0.03542196948450993,0.0046177445339340715
6,20271233,4,4,0.25,0.05,15,0.41537610272400766,1.410878206876258,0.06918923587688042,0.009379201642437315
7,20271233,4,4,0.25,0.1,8,0.41537610272400766,1.410878206876258,0.13207795819792656,0.018412546150020092
8,20272233,4,5,0.2,0.0125,60,0.41537610272400766,1.410878206876258,0.0066402566719515055,0.0009597875020971743
9,20272233,4,5,0.2,0.025,30,0.41537610272400766,1.410878206876258,0.013222919273336908,0.0019279107186170874
10,20272233,4,5,0.2,0.05,15,0.41537610272400766,1.410878206876258,0.02619420913594689,0.003889171929197218
11,20272233,4,5,0.2,0.1,8,0.41537610272400766,1.410878206876258,0.05121187560131529,0.007582461741626178
12,20273233,4,6,0.16666666666666666,0.0125,60,0.41537610272400766,1.410878206876258,0.0053158651289586245,0.0009045799759080924
13,20273233,4,6,0.16666666666666666,0.025,30,0.41537610272400766,1.410878206876258,0.010523901567302929,0.001820668299478237
14,20273233,4,6,0.16666666666666666,0.05,15,0.41537610272400766,1.410878206876258,0.02062428603366756,0.0036877234343417136
15,20273233,4,6,0.16666666666666666,0.1,8,0.41537610272400766,1.410878206876258,0.03961688495574078,0.007204936932622209
