n,epsilon,dS_hor_avg,dQ_in,dQ_avg,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,0.15,0.008100000000000001,0.002947671579464537,-0.002947671579464537,0.08122847906557407,0.08122847906557495,0.01125,-0.024271590678564502,-0.1089250235577686,0.9704194543754645,0.0675
1,0.15,0.0126,0.005204804246006655,-0.005204804246006655,0.1866935242488638,0.10546504518328972,0.0175,-0.024271590678564502,-0.10699714703462224,0.9704194543754645,0.1725
2,0.15,0.0126,0.005852595973452155,-0.005852595973452155,0.27706000239728756,0.09036647814842377,0.0175,-0.024271590678564502,-0.1050692705114759,0.9704194543754647,0.2775
3,0.15,0.0036,0.0006751339330749985,-0.0006751339330749985,0.30354279786950544,0.02648279547221788,0.005,-0.024271590678564502,-0.1045184486477198,0.9704194543754645,0.3075
4,0.15,0.0054,0.00105743584298126,-0.00105743584298126,0.3418359794587157,0.038293181589210246,0.0075,-0.024271590678564502,-0.10369221585208566,0.9704194543754645,0.3525
5,0.15,0.008100000000000001,0.002718600149027183,-0.002718600149027183,0.39486495405509425,0.053028974596378564,0.01125,-0.024271590678564502,-0.10245286665863444,0.9704194543754647,0.42
6,0.15,0.0054,0.0023173688638182307,-0.0023173688638182307,0.4289284114447133,0.03406345738961902,0.0075,-0.024271590678564502,-0.10162663386300028,0.9704194543754645,0.465
7,0.15,0.009000000000000001,0.003239548855751607,-0.003239548855751607,0.4840563573552537,0.05512794591054043,0.0125,-0.024271590678564502,-0.10024957920361004,0.9704194543754645,0.54
8,0.15,0.0045,0.0009252842070618743,-0.0009252842070618743,0.5117118380339917,0.027655480678737965,0.00625,-0.024271590678564502,-0.09956105187391492,0.9704194543754645,0.5775
9,0.15,0.0054,-0.0001907344285993827,0.0001907344285993827,0.545104814364132,0.03339297633014038,0.0075,-0.024271590678564502,-0.09873481907828076,0.9704194543754645,0.6225
10,0.15,0.0009,8.888913075920695e-05,-8.888913075920695e-05,0.5505118951743023,0.005407080810170273,0.00125,-0.024271590678564502,-0.09859711361234175,0.9704194543754645,0.63
11,0.15,0.0027,0.0008224264524523858,-0.0008224264524523858,0.56587118581288,0.01535929063857766,0.00375,-0.024271590678564502,-0.09818399721452466,0.9704194543754647,0.6525
12,0.15,0.0027,0.0007655288522293462,-0.0007655288522293462,0.5808952844069608,0.015024098594080826,0.00375,-0.024271590678564502,-0.09777088081670758,0.9704194543754645,0.675
13,0.15,0.0036,0.0008207085915741569,-0.0008207085915741569,0.6021130676546328,0.021217783247671984,0.005,-0.024271590678564502,-0.09722005895295148,0.9704194543754645,0.705
14,0.15,0.0072,0.0006858995434963214,-0.0006858995434963214,0.6433627138506491,0.04124964619601634,0.01,-0.024271590678564502,-0.0961184152254393,0.9704194543754647,0.765
15,0.15,0.0054,0.0029504310019262655,-0.0029504310019262655,0.6724341244766129,0.029071410625963745,0.0075,-0.024271590678564502,-0.09529218242980514,0.9704194543754647,0.81
16,0.15,0.0063,0.003225529834553376,-0.003225529834553376,0.7060396352715497,0.03360551079493679,0.00875,-0.024271590678564502,-0.09432824416823196,0.9704194543754647,0.8625
17,0.15,0.0054,0.00378054859891111,-0.00378054859891111,0.7340284026135308,0.02798876734198108,0.0075,-0.024271590678564502,-0.09350201137259782,0.9704194543754645,0.9075
18,0.15,0.008100000000000001,-0.00023028283919868095,0.00023028283919868095,0.7777923058230468,0.043763903209516064,0.01125,-0.024271590678564502,-0.0922626621791466,0.9704194543754647,0.975
19,0.15,0.005399999999999999,0.0014449325876026945,-0.0014449325876026945,0.804877411236369,0.027085105413322208,0.0075,-0.024271590678564502,-0.09143642938351244,0.9704194543754645,1.02
20,0.15,0.0018,0.00034638639062160853,-0.00034638639062160853,0.8141442263573577,0.009266815120988703,0.0025,-0.024271590678564502,-0.0911610184516344,0.9704194543754645,1.035
21,0.15,0.011699999999999999,0.004676124780773338,-0.004676124780773338,0.8724629649672906,0.05831873860993286,0.01625,-0.024271590678564502,-0.08937084739442708,0.9704194543754647,1.1325
22,0.15,0.0072,-0.0008974690065296878,0.0008974690065296878,0.9081856763430891,0.03572271137579852,0.01,-0.024271590678564502,-0.08826920366691489,0.9704194543754645,1.1925
23,0.15,0.0054,-0.0016929071645976719,0.0016929071645976719,0.9348133667087486,0.026627690365659484,0.0075,-0.024271590678564502,-0.08744297087128072,0.9704194543754647,1.2375
24,0.15,0.0054,9.692417422627233e-05,-9.692417422627233e-05,0.9606531887239402,0.025839822015191638,0.0075,-0.024271590678564502,-0.08661673807564658,0.9704194543754647,1.2825
25,0.15,0.0063,0.0013577139301369162,-0.0013577139301369162,0.9900892425547374,0.02943605383079717,0.00875,-0.024271590678564502,-0.08565279981407341,0.9704194543754645,1.335
26,0.15,0.0045000000000000005,0.0007227778998512068,-0.0007227778998512068,1.0109482410454074,0.020858998490669967,0.00625,-0.024271590678564502,-0.08496427248437828,0.9704194543754647,1.3725
27,0.15,0.0027,0.0006703595591995867,-0.0006703595591995867,1.0230935420852278,0.012145301039820477,0.00375,-0.024271590678564502,-0.0845511560865612,0.9704194543754647,1.395
28,0.15,0.009899999999999999,0.005309727095829608,-0.005309727095829608,1.066769682585989,0.043676140500761074,0.01375,-0.024271590678564502,-0.08303639596123194,0.9704194543754645,1.4775
29,0.15,0.009000000000000001,0.0006750963128008307,-0.0006750963128008307,1.1071881521339653,0.04041846954797634,0.0125,-0.024271590678564502,-0.08165934130184169,0.9704194543754647,1.5525
30,0.15,0.0063,0.002138913477580582,-0.002138913477580582,1.1341775857657987,0.02698943363183348,0.00875,-0.024271590678564502,-0.08069540304026852,0.9704194543754645,1.605
31,0.15,0.0045,-0.0001731376048142437,0.0001731376048142437,1.1537406719350345,0.019563086169235744,0.00625,-0.024271590678564502,-0.08000687571057338,0.9704194543754645,1.6425
32,0.15,0.0045000000000000005,0.0027125462565520987,-0.0027125462565520987,1.1724683474768967,0.018727675541862165,0.00625,-0.024271590678564502,-0.07931834838087827,0.9704194543754647,1.68
33,0.15,0.0045000000000000005,-0.000590728285049556,0.000590728285049556,1.1915056572832101,0.019037309806313463,0.00625,-0.024271590678564502,-0.07862982105118314,0.9704194543754647,1.7175
34,0.15,0.0108,-0.0008922801527598595,0.0008922801527598595,1.2356982049155527,0.044192547632342594,0.015,-0.024271590678564502,-0.07697735545991484,0.9704194543754645,1.8075
35,0.15,0.009,-0.002277743228529882,0.002277743228529882,1.2723982502398348,0.03670004532428206,0.0125,-0.024271590678564502,-0.0756003008005246,0.9704194543754647,1.8825
36,0.15,0.0054,0.00048016310057498874,-0.00048016310057498874,1.2938875636087845,0.02148931336894977,0.0075,-0.024271590678564502,-0.07477406800489045,0.9704194543754645,1.9275
37,0.15,0.0036,0.0017382659867060924,-0.0017382659867060924,1.3077773192280748,0.01388975561929029,0.005,-0.024271590678564502,-0.07422324614113435,0.9704194543754647,1.9575
38,0.15,0.0063,0.004213178021902195,-0.004213178021902195,1.3318497330255594,0.024072413797484593,0.00875,-0.024271590678564502,-0.07325930787956118,0.9704194543754645,2.01
39,0.15,0.0027,-0.0006195970509097413,0.0006195970509097413,1.3424784631330988,0.010628730107539397,0.00375,-0.024271590678564502,-0.07284619148174411,0.9704194543754647,2.0325
