eta0,sample,k,bond,abs_src_mu,coh_layer_mean,coh_sum,absLambda_sum
0.5,0,0,0,0.04944427883814323,0.39103948208485106,0.9867684619406862,0.1632026897684336
0.5,0,0,1,0.04852549551375243,0.39103948208485106,0.9954163830036812,0.1680393404223186
0.5,0,0,2,0.0016721765627440025,0.39103948208485106,0.577389466398718,0.25236599560097805
0.5,0,1,0,0.051504662312745524,0.4696890766284676,0.9851189521904314,0.03245589116148921
0.5,0,1,1,0.061595032873874994,0.4696890766284676,0.918605402410914,0.06195371701682693
0.5,0,1,2,0.052677607518981664,0.4696890766284676,0.893637354323439,0.08080347761661591
0.5,0,2,0,0.019606127001508357,0.3240736654740961,0.6451000207631719,0.3786521299783345
0.5,0,2,1,0.03078246572623103,0.3240736654740961,0.7330094277727954,0.3263629112571116
0.5,0,2,2,0.06878331463129922,0.3240736654740961,0.6511946411332127,0.3331220597380733
0.5,0,3,0,0.011684296851018867,0.3767795382133404,0.8800843895031681,0.2760058934110422
0.5,0,3,1,0.008768773472269134,0.3767795382133404,0.8758420334785036,0.3159183514574361
0.5,0,3,2,0.00200777415867921,0.3767795382133404,0.6270337633501935,0.28054849186039327
0.5,1,0,0,0.00044759391069760894,0.35356234816541143,0.4691158380688967,0.14537945583177364
0.5,1,0,1,0.0005861892905665911,0.35356234816541143,0.5447628011447208,0.21354377982742184
0.5,1,0,2,0.0078575780677152,0.35356234816541143,0.945133554592749,0.4385767385856635
0.5,1,1,0,0.041590431184632515,0.44656615891174123,0.8203207711660762,0.31716992230533314
0.5,1,1,1,0.0810416356371171,0.44656615891174123,0.9330957638970087,0.3669444387556048
0.5,1,1,2,0.12705414605345444,0.44656615891174123,0.9659438644808888,0.19892854081364095
0.5,1,2,0,0.07959252845899302,0.3661345505990674,0.5317684482320039,0.29954603113126754
0.5,1,2,1,0.03148500316729558,0.3661345505990674,0.7695261011041354,0.21749755774160406
0.5,1,2,2,0.1626870460940886,0.3661345505990674,0.9327697541642658,0.6514557423939857
0.5,1,3,0,0.012587631763631238,0.4176281895168314,0.893739151517716,0.473132917534813
0.5,1,3,1,0.04167753666060112,0.4176281895168314,0.7264179581363102,0.5878669967909858
0.5,1,3,2,0.02846983542353695,0.4176281895168314,0.7767736065496096,0.4728809916976803
0.5,2,0,0,0.024503504757808332,0.37248138896986094,0.6889081578538301,0.3096382078256908
0.5,2,0,1,0.016653594469676708,0.37248138896986094,0.5611202623982627,0.32065874072913364
0.5,2,0,2,0.0415022025183449,0.37248138896986094,0.8010173980256138,0.4235689418903825
0.5,2,1,0,0.0173539549097826,0.3895739544616159,0.9555020872573912,0.1446592871062048
0.5,2,1,1,0.0066930642874279255,0.3895739544616159,0.932857173492788,0.2165397917261343
0.5,2,1,2,0.04137495369947229,0.3895739544616159,0.6027937305890725,0.45126081277595637
0.5,2,2,0,0.010397652513580921,0.40655019730805375,0.9289554233366037,0.11511283240418577
0.5,2,2,1,0.008060420360047263,0.40655019730805375,0.8954360366310647,0.1438231098022221
0.5,2,2,2,0.0020593314446709743,0.40655019730805375,0.6972453658956113,0.23331332193757492
0.5,2,3,0,0.0012744435288016202,0.3627351358432879,0.658815000197082,0.5817765842785685
0.5,2,3,1,0.0032979263861944424,0.3627351358432879,0.5447980563313999,0.7218982850837445
0.5,2,3,2,0.0014877957624185984,0.3627351358432879,0.7921255431760699,0.8602028181491468
0.5,3,0,0,0.004998723817127441,0.28477590367224354,0.44583008437940524,0.28241391367178675
0.5,3,0,1,0.0081939524883498,0.28477590367224354,0.583956359626191,0.33514503051691386
0.5,3,0,2,0.022228031064487203,0.28477590367224354,0.6932735303095688,0.6037871030986335
0.5,3,1,0,0.0022125628239551072,0.44077374496441346,0.888554019454074,0.07642981558552504
0.5,3,1,1,0.00888760419615304,0.44077374496441346,0.8694067289820449,0.06807332356079575
0.5,3,1,2,0.0004578592039354264,0.44077374496441346,0.87454096040358,0.12689180693362875
0.5,3,2,0,0.011229562711404732,0.41963535796484286,0.9043841064013551,0.38823889015484103
0.5,3,2,1,0.007408114793781486,0.41963535796484286,0.9556394179623486,0.25410010980005016
0.5,3,2,2,0.004949783373023051,0.41963535796484286,0.7741573254580164,0.16969367495022553
0.5,3,3,0,0.008116903246010606,0.41544339025819055,0.7598329970494937,0.38189143050712143
0.5,3,3,1,0.0032022168487216706,0.41544339025819055,0.9498430277182741,0.1285460454500817
0.5,3,3,2,0.0036405639298945406,0.41544339025819055,0.9019405639832687,0.5562646422618377
0.5,4,0,0,0.0008558683116997412,0.41241458882647775,0.8276624362777443,0.12361295487739762
0.5,4,0,1,0.003298739421406245,0.41241458882647775,0.9269184548856589,0.32736672240988646
0.5,4,0,2,0.005405708022320857,0.41241458882647775,0.8219959190281665,0.596523346967021
0.5,4,1,0,0.01926286528121275,0.37390109437683805,0.8089154819829576,0.21490438838967457
0.5,4,1,1,0.00929836627171823,0.37390109437683805,0.7241051914551992,0.24928737222104977
0.5,4,1,2,0.024921716479731015,0.37390109437683805,0.6866888955243946,0.4296279492916335
0.5,4,2,0,0.01420789502946486,0.41224216506160566,0.8471717765520923,0.251945701414304
0.5,4,2,1,0.013624040454158706,0.41224216506160566,0.7352382964542985,0.2440911774242094
0.5,4,2,2,0.06149763033557601,0.41224216506160566,0.8017968836943303,0.12036128435399746
0.5,4,3,0,0.04662314707350869,0.36164081760602396,0.9777327304182202,0.5829330135825336
0.5,4,3,1,0.030747424007130958,0.36164081760602396,0.6319282759959215,0.7701451072186856
0.5,4,3,2,0.07477236718955493,0.36164081760602396,0.4688305400058756,0.4179299166459209
0.5,5,0,0,0.06827442975619885,0.4305024028870934,0.7945805074540548,0.25600167434685916
0.5,5,0,1,0.07851150625966491,0.4305024028870934,0.9639887472585476,0.15816124076348764
0.5,5,0,2,0.018910587986149432,0.4305024028870934,0.9274291040943188,0.5120611200883098
0.5,5,1,0,0.06333418473527144,0.4064812176296985,0.7588399838816082,0.2831982831114491
0.5,5,1,1,0.07041177853403137,0.4064812176296985,0.8493517548407068,0.43057393049862086
0.5,5,1,2,0.03192051268965094,0.4064812176296985,0.8670848866371859,0.3004028380696163
0.5,5,2,0,0.01015535515655751,0.399576685795676,0.8247960670554959,0.35726512509796626
0.5,5,2,1,0.04038927887062192,0.399576685795676,0.8873165271923559,0.3052660561202703
0.5,5,2,2,0.010481804412824456,0.399576685795676,0.773510676127208,0.27512116575663575
0.5,5,3,0,0.0064551608713453055,0.3714113869619499,0.9140282761082115,0.12952203870606355
0.5,5,3,1,0.015221565519036959,0.3714113869619499,0.6246061476697493,0.3568390926936266
0.5,5,3,2,0.023917899201555987,0.3714113869619499,0.5716172717395882,0.3951965704958927
0.5,6,0,0,0.012382127399349525,0.44643333485485026,0.7932040443552166,0.2683062187482104
0.5,6,0,1,0.036924422895596984,0.44643333485485026,0.8301229252126027,0.21631995545938137
0.5,6,0,2,0.09062253527378714,0.44643333485485026,0.9925292950641845,0.5478254842433935
0.5,6,1,0,0.027916215993873054,0.442009394838939,0.9745789825934377,0.23757551665738647
0.5,6,1,1,0.03734459141110993,0.442009394838939,0.8096885879783389,0.17695080939762395
0.5,6,1,2,0.07895510552385758,0.442009394838939,0.7934585967623183,0.15358331873600597
0.5,6,2,0,0.005230306012654773,0.3228196246908501,0.4015391932153082,0.2408437007906597
0.5,6,2,1,0.059617122360186195,0.3228196246908501,0.7502042709220433,0.18519724608153595
0.5,6,2,2,0.008925145963955104,0.3228196246908501,0.8897393055480922,0.49124564162291906
