metric,main_value,coarse_value,abs_delta
corr_source_comm,0.9931290872935138,0.9926340559207053,0.0004950313728084854
corr_source_fs_omega,0.9931290872935099,0.9926340559207089,0.0004950313728010469
corr_source_resp_det,0.327163256405793,0.3186630752833783,0.00850018112241474
corr_source_resp_ricci,,,
corr_source_sin,0.9931290872935133,0.9926340559207051,0.0004950313728082634
