check_id,u,phi,max_abs_source_diff,max_abs_fs_metric_diff,abs_fs_omega_diff,max_abs_response_metric_diff
0,0.8050878506868109,0.6597650449773893,3.3306690738754696e-16,6.925016116099414e-15,1.2295719997723609e-14,5.3734794391857577e-14
1,0.3347304276817824,0.5770891216707563,3.0531133177191805e-16,2.6506574712925612e-15,1.1150802503578916e-14,3.9745984281580604e-14
2,0.7327176298047748,1.3081231122154786,2.220446049250313e-16,3.0531133177191805e-14,1.8041124150158794e-15,1.9984014443252818e-13
3,0.29012235818312865,1.3170491979004455,4.440892098500626e-16,2.4091839634365897e-14,2.5569824035898137e-14,1.4239998069598414e-13
4,0.21848788016270665,1.460989450506037,5.551115123125783e-16,1.582067810090848e-14,1.606006994059328e-14,1.4181017471415203e-13
5,0.7294338799502915,0.7202384670759486,8.326672684688674e-16,2.450817326860033e-14,2.9837243786801082e-15,5.889039256246065e-14
6,0.29669234102333014,1.4104999261531665,2.7755575615628914e-16,3.7636560534792807e-14,6.824402154492759e-15,1.0835776720341528e-13
7,0.7362185671568072,1.4591757562351302,5.551115123125783e-16,6.918077222195507e-15,1.7319479184152442e-14,1.9609314172441827e-13
