split_id,n_train,n_test,mae_base,mae_full,mae_gain_frac,coef_base_ctrl,intercept_base,coef_full_ctrl,coef_full_lambda,intercept_full
0,3650,730,0.8337612193836705,0.8275859207247355,0.0074065553966308735,-0.21882706271199912,-0.08628174376166602,-0.21715210935415347,-1265.8678287773207,-0.08333737228944695
1,3650,730,0.7019333766083354,0.7055651423817837,-0.005173946551724575,-0.2433030378619978,-0.020679689834100626,-0.24183859169362854,-1832.3154334508379,-0.016876952105318626
2,3650,730,0.7222965587847558,0.716538077422407,0.007972461300423906,-0.20881288773913967,-0.018122461678816655,-0.20761223581572016,-1248.5846702563013,-0.01616444812702805
3,3650,730,0.819303556655796,0.8180129843582973,0.0015752065116926557,-0.21523790036727017,0.05394725313867363,-0.215168247714497,-1554.7181912976398,0.05642167520923065
4,3650,730,0.8262971802672656,0.8274511988161147,-0.0013966144099323298,-0.22189199416165176,-0.01786060090043932,-0.22119302762454787,-1720.7726853383265,-0.014767936706253787
5,3650,730,0.9077114680841819,0.8998913384117015,0.00861521523901965,-0.21012016600307384,0.08977860129180958,-0.21095483583782398,-877.6877382975916,0.08975183829647972
