x,k,lambda_before,lambda_after,delta_lambda,abs_delta_lambda
1,17,0.07180999512834303,0.071809995128343,-2.7755575615628914e-17,2.7755575615628914e-17
3,4,0.022988298211601838,0.022988298211601834,-3.469446951953614e-18,3.469446951953614e-18
2,6,0.06945206144761938,0.0694520614476194,1.3877787807814457e-17,1.3877787807814457e-17
10,16,0.02249820063496133,0.02249820063496131,-2.0816681711721685e-17,2.0816681711721685e-17
4,14,0.01153784648636975,0.011537846486369737,-1.214306433183765e-17,1.214306433183765e-17
7,3,-0.03365497490347884,-0.03365497490347884,0.0,0.0
8,18,-0.06909869165518426,-0.06909869165518427,-1.3877787807814457e-17,1.3877787807814457e-17
5,11,0.008734449658742378,0.008734449658742392,1.3877787807814457e-17,1.3877787807814457e-17
0,7,0.3006375787617291,0.30063757876172953,4.440892098500626e-16,4.440892098500626e-16
2,16,0.0564378460504142,0.05643784605041421,6.938893903907228e-18,6.938893903907228e-18
8,1,-0.10189941975914309,-0.10189941975914302,6.938893903907228e-17,6.938893903907228e-17
7,13,0.11316081505592808,0.11316081505592808,0.0,0.0
3,1,-0.0015876833747025254,-0.0015876833747025115,1.3877787807814457e-17,1.3877787807814457e-17
6,7,-0.055210845990839884,-0.05521084599083989,-6.938893903907228e-18,6.938893903907228e-18
10,15,-0.13337112037605764,-0.13337112037605756,8.326672684688674e-17,8.326672684688674e-17
1,10,-0.01215732525916582,-0.01215732525916579,3.122502256758253e-17,3.122502256758253e-17
3,17,0.07865741764055673,0.07865741764055666,-6.938893903907228e-17,6.938893903907228e-17
11,15,0.32384941403935785,0.32384941403935796,1.1102230246251565e-16,1.1102230246251565e-16
4,16,0.08368391467314125,0.08368391467314133,8.326672684688674e-17,8.326672684688674e-17
1,7,0.18413788145479898,0.18413788145479892,-5.551115123125783e-17,5.551115123125783e-17
4,9,-0.10461406351958877,-0.10461406351958882,-5.551115123125783e-17,5.551115123125783e-17
11,7,-0.48268847980419005,-0.48268847980419005,0.0,0.0
7,9,0.18573093172866326,0.18573093172866334,8.326672684688674e-17,8.326672684688674e-17
0,17,0.03176400361272311,0.03176400361272311,0.0,0.0
6,3,-0.03018060174846539,-0.03018060174846539,0.0,0.0
11,17,0.2474943378435664,0.24749433784356645,5.551115123125783e-17,5.551115123125783e-17
11,3,-0.022685844893803424,-0.022685844893803434,-1.0408340855860843e-17,1.0408340855860843e-17
5,10,-0.11041167686679912,-0.11041167686679915,-2.7755575615628914e-17,2.7755575615628914e-17
4,12,0.0677627667575864,0.06776276675758643,2.7755575615628914e-17,2.7755575615628914e-17
7,4,-0.06560375322362433,-0.06560375322362434,-1.3877787807814457e-17,1.3877787807814457e-17
4,19,-0.14546755495486532,-0.14546755495486516,1.6653345369377348e-16,1.6653345369377348e-16
2,9,-0.044681816992132015,-0.04468181699213197,4.163336342344337e-17,4.163336342344337e-17
9,5,-0.005235927793020494,-0.005235927793020487,6.938893903907228e-18,6.938893903907228e-18
5,3,0.0008930313117845937,0.0008930313117845902,-3.469446951953614e-18,3.469446951953614e-18
9,14,-0.09887965492582121,-0.09887965492582124,-2.7755575615628914e-17,2.7755575615628914e-17
7,10,0.11263621090545524,0.11263621090545525,1.3877787807814457e-17,1.3877787807814457e-17
2,12,-0.20918336782012073,-0.20918336782012079,-5.551115123125783e-17,5.551115123125783e-17
9,3,0.023710319378438025,0.023710319378438066,4.163336342344337e-17,4.163336342344337e-17
11,0,0.04732874552271059,0.04732874552271053,-5.551115123125783e-17,5.551115123125783e-17
3,10,-0.20236129120547744,-0.2023612912054774,2.7755575615628914e-17,2.7755575615628914e-17
10,4,-0.019498650865460876,-0.019498650865460945,-6.938893903907228e-17,6.938893903907228e-17
5,18,-0.15154135627763732,-0.1515413562776374,-8.326672684688674e-17,8.326672684688674e-17
11,16,0.39927874938012403,0.39927874938012414,1.1102230246251565e-16,1.1102230246251565e-16
11,9,-0.500467366770445,-0.5004673667704451,-1.1102230246251565e-16,1.1102230246251565e-16
1,4,0.058417536065528866,0.058417536065528845,-2.0816681711721685e-17,2.0816681711721685e-17
6,10,-0.07250888692757133,-0.07250888692757132,1.3877787807814457e-17,1.3877787807814457e-17
0,0,-0.02591227898799115,-0.025912278987991193,-4.163336342344337e-17,4.163336342344337e-17
2,14,-0.05245082929990509,-0.052450829299905036,5.551115123125783e-17,5.551115123125783e-17
10,0,-0.03824398826279669,-0.038243988262796666,2.0816681711721685e-17,2.0816681711721685e-17
1,6,0.18242637041072848,0.18242637041072857,8.326672684688674e-17,8.326672684688674e-17
1,19,-0.010874759821558999,-0.0108747598215585,4.996003610813204e-16,4.996003610813204e-16
