K_layers,dmu,Lambda_numerical,Lambda_theory,rel_error,rel_error_pct
4,0.33973740380196854,0.10254234941271474,0.10254234941271474,0.0,0.0
8,0.16986870190098427,0.10254234941271476,0.10254234941271474,1.3533713521579938e-16,1.3533713521579937e-14
16,0.08493435095049214,0.10254234941271476,0.10254234941271474,1.3533713521579938e-16,1.3533713521579937e-14
32,0.04246717547524607,0.10254234941271474,0.10254234941271474,0.0,0.0
64,0.021233587737623034,0.10254234941271473,0.10254234941271474,1.3533713521579938e-16,1.3533713521579937e-14
128,0.010616793868811517,0.10254234941271474,0.10254234941271474,0.0,0.0
