event_id,start_utc,end_utc,region_tag,notes
E240426A,2024-04-26T21:00:00Z,2024-04-26T23:59:59Z,Southern_Plains,late-April severe outbreak window
E240427A,2024-04-27T00:00:00Z,2024-04-27T02:59:59Z,Southern_Plains,overnight continuation window
E240506A,2024-05-06T21:00:00Z,2024-05-06T23:59:59Z,Southern_Plains,early-May severe convection window
E240507A,2024-05-07T00:00:00Z,2024-05-07T02:59:59Z,Southern_Plains,overnight continuation window
E240521A,2024-05-21T21:00:00Z,2024-05-21T23:59:59Z,Midwest,Greenfield/Iowa outbreak window
