case_id,seed,nx,alpha1_val,alpha2_val,alpha_mod_amp,theta1_base,theta1_amp,theta1_center,theta1_width,theta2_base,theta2_amp,theta2_center,theta2_width,n_angle_fine,max_abs_spatial_err,max_abs_antisym_err,max_abs_angle_err,rmse_angle,r2_angle,ratio_mean,ratio_std,pass_spatial_tol,pass_antisym_tol,pass_angle_tol,pass_ratio_std_tol,pass_r2_min,pass_all
9,20260220,256,0.6074406378215795,0.8016179522788142,0.03268646644446938,0.17237392222817893,0.15571208445873336,2.0998879724139723,0.8147068070649038,0.7561672937118259,0.10664220301264521,5.268125476741261,0.4116982615172302,38,2.220446049250313e-16,0.0,4.440892098500626e-16,2.0532314247375389e-16,1.0,0.7818537183561658,7.174743616065984e-13,True,True,True,True,True,True
110,20260220,128,0.6923564393436799,1.1398358995200735,0.12030855147872935,0.35775281176865087,0.20737462178307126,1.754244936359472,0.8754996311141001,0.779061528935707,0.3848731746433872,5.329873238367705,0.3487212273850732,75,2.220446049250313e-16,0.0,4.440892098500626e-16,2.2558449733538395e-16,1.0,0.8644885175326049,1.4442773419238785e-12,True,True,True,True,True,True
5,20260220,160,0.12050487816601456,0.45853459993523693,0.348091538685043,0.6681308111618324,0.46051915767584795,1.1190789870503692,0.38397482938700805,0.7077671949033979,0.40831803751591855,5.609948075460908,0.46001011202299114,59,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.9432315374179614e-16,1.0,0.7997357738219587,1.0972268963639967e-12,True,True,True,True,True,True
17,20260220,96,0.50381904062295,0.7842483342566285,0.10272130988343084,0.5419724929633678,0.21618989407652997,1.5994461402746345,0.38475998722612637,0.6577047765528888,0.35361994622155646,3.7096552166363095,0.47976106761348974,85,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.331435084809362e-16,1.0,0.7554074741020422,1.39181197917617e-12,True,True,True,True,True,True
34,20260220,128,0.2376402455330629,0.6535607927827302,0.09775204103716753,0.36735497951070545,0.354601843395522,1.2972752738134097,0.5357040077580995,0.7751875028237445,0.08777369906366461,3.48393822838779,0.1685729397790014,38,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.9376660559074565e-16,1.0,0.7895645069502847,7.245428197856389e-13,True,True,True,True,True,True
38,20260220,96,0.3562572461819884,1.0177862191633433,0.12177405482012742,0.4780311559888856,0.4822662720170512,1.9426070766903742,0.8691858483657292,0.7376620966827268,0.26353535445215936,3.9659720231209104,0.3130643034720006,45,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.460578105317524e-16,1.0,0.7964863152522172,8.59368448654368e-13,True,True,True,True,True,True
42,20260220,160,0.6612275334096398,0.9857828273224454,0.1346896961178921,0.7283751226137213,0.1536341731729999,1.1522395417260887,0.24218843326372547,0.7662673401543219,0.08690951572521834,4.25888735031349,0.750024918182961,32,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.7937829234940417e-16,1.0,0.7959850369529091,6.123908042811567e-13,True,True,True,True,True,True
45,20260220,320,0.41591557312715,0.86325008132326,0.04616593794163489,0.4803265095119991,0.08439857868102862,1.929938366300797,0.19613601348286178,0.5740401175851458,0.23285933163864406,4.813754449961549,0.3429322803109962,53,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.520272834215885e-16,1.0,0.6280963175806037,7.855042581907002e-13,True,True,True,True,True,True
46,20260220,96,0.4568763849752679,0.9383795109150698,0.15592598893402412,0.7865993004074264,0.254503255695076,2.3654990779021547,0.6344709704538447,0.5483131315628603,0.2604513380499096,5.27914446289925,0.2481981167022973,85,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.669381559373986e-16,1.0,0.5987568387604625,1.1031735506671265e-12,True,True,True,True,True,True
48,20260220,128,0.31204475914699537,0.6400827031364716,0.14692150126888345,0.6215984950616169,0.5853329699027803,1.0476639716682106,0.4871581861997272,0.6456655973975045,0.3744178113231795,4.6635542546190525,0.6089917462319124,84,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.2638335167728686e-16,1.0,0.7598466829612124,1.3872609948923496e-12,True,True,True,True,True,True
59,20260220,200,0.6871314440313854,1.3161617509626673,0.15304971961251737,0.28933444203604824,0.38862152497952307,2.7635092252957145,0.5646870483172157,0.509373077112241,0.5935366501042446,3.666955157519764,0.37595869606119614,78,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.5518871706644424e-16,1.0,0.6545584473751885,1.1279692032879987e-12,True,True,True,True,True,True
62,20260220,320,0.5434871944999486,0.9605947602143828,0.260938711121309,0.4495536666359792,0.388325242742469,2.5734586004463207,0.2381765441819549,0.6175364232938901,0.49138944942787416,4.032957180802492,0.4778769987154835,89,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.5593278875127753e-16,1.0,0.7529727814136162,1.4370259406097218e-12,True,True,True,True,True,True
