case_id,phi_target,Delta_mu,K_layers,beta,r_amp,alpha_state,max_rel_error,median_rel_error,cross_profile_spread_Lambda_num,cross_profile_std_Lambda_num,cross_profile_spread_Lambda_theory
0,-0.8503581744437098,3.5528247512170825,64,0.28713020640150255,1.132361544027173,1.0672206438842706,4.630095944320953e-16,4.63009594432095e-16,8.881784197001252e-16,3.6259732146947156e-16,4.440892098500626e-16
1,-2.6718610631131128,2.7815699207711218,192,-0.233158758522016,0.5126648247555996,0.8245739145727956,8.398264927507879e-16,4.799008530004485e-16,7.216449660063518e-16,2.9936589665294105e-16,8.049116928532385e-16
2,2.1938616280922627,0.880060714349962,64,0.3833526542961468,0.24130012309894366,1.0911174008301163,8.649012483851083e-16,5.189407490310659e-16,3.885780586188048e-16,1.7184564531560764e-16,2.7755575615628914e-16
3,1.9897469808362558,3.385232156435629,96,-0.2788603401437871,0.26948576739845703,0.8629968387793637,5.705838658235449e-16,5.705838658235447e-16,1.1102230246251565e-16,5.067451620406765e-17,2.7755575615628914e-16
4,2.90822725657386,2.926316972986721,96,-0.5229222329742814,0.550961964318382,0.27387323963497195,1.2549341646237156e-15,4.1831138820789896e-16,1.8318679906315083e-15,7.481144577128093e-16,1.8457457784393227e-15
5,1.0146662835435096,1.569939530444775,160,-0.29069744026991484,0.16135586406028127,1.240646724692243,1.981265676209124e-15,1.6510547301742436e-16,1.5126788710517758e-15,6.772682740895418e-16,1.3600232051658168e-15
6,2.6426120093322556,2.3900081591307476,128,0.45458920496469446,1.154050555866398,0.5385197071933665,9.132240313480228e-16,5.707650195925138e-16,1.887379141862766e-15,8.233634315563857e-16,1.942890293094024e-15
7,2.4187571396575893,1.4154359294415808,64,-0.4971866661526484,0.9865908777079828,1.150602003495811,5.70919447240292e-16,1.1418388944805868e-16,1.5543122344752192e-15,7.336437976234922e-16,1.2212453270876722e-15
8,0.21129441410086613,0.892544468105813,128,-0.17998320087953226,0.38518669330971184,0.28340847558877297,7.9984138421328e-16,1.59968276842656e-16,4.163336342344337e-17,1.6996749443881478e-17,2.0816681711721685e-17
9,-1.8176944281824021,2.1652548681009542,160,0.1527493266382879,0.9298531222127252,1.366838199057365,1.5519589371143874e-16,1.5519589371143864e-16,2.7755575615628914e-16,1.199177923332954e-16,3.3306690738754696e-16
10,-2.902772528135388,2.9032348768133103,64,-0.45338337400714795,0.23779870629108313,0.7167690274179659,8.716618081492361e-16,8.716618081492298e-16,4.996003610813204e-16,2.1532942996980859e-16,4.0245584642661925e-16
11,1.6689170467796313,3.8733400201384454,160,0.19360874164165426,1.0929778822015737,0.8440132127537473,6.166449590677286e-16,4.110966393784857e-16,8.881784197001252e-16,3.6259732146947156e-16,6.661338147750939e-16
12,0.8981538744744364,1.11069089637884,96,-0.568148360942981,0.9800222872946275,1.2849477736574546,6.6921120670821e-16,2.676844826832836e-16,4.996003610813204e-16,2.0770370905276122e-16,7.216449660063518e-16
13,-0.5451230376931795,2.7290713733836154,64,0.35803070173810636,0.05475667573083805,0.3240614603453367,6.0724148625030885e-16,0.0,2.0816681711721685e-17,8.731250023068179e-18,2.0816681711721685e-17
14,0.5315961672416065,2.178405124505144,96,-0.5467936728219202,1.1842630581810678,0.5024435486288056,2.1909711147864217e-16,2.190971114786419e-16,1.1102230246251565e-15,4.577566798522237e-16,8.881784197001252e-16
15,-2.998611437926639,3.512138714483424,128,0.23854336973704282,0.5338849220845429,0.9308596431151482,1.7138019950507198e-15,1.3329571072615972e-15,4.746203430272544e-15,2.085750405980232e-15,4.718447854656915e-15
16,-0.3570613754292475,1.2754691421490305,128,-0.21150506109832404,0.12125441739600362,0.29442878370386727,4.4217489048690536e-16,4.42174890486905e-16,4.163336342344337e-17,1.8897076771866065e-17,5.551115123125783e-17
17,-1.3331223609491194,2.4602055617568537,160,-0.0928475077312294,0.3131029602438156,0.5824600799990923,5.956585884492647e-16,3.9710572563284314e-16,4.440892098500626e-16,1.975656351854947e-16,2.7755575615628914e-16
18,-2.351567709846999,1.4982087981135688,192,0.5007481866384003,1.0924581069495407,0.6438762942366391,1.4898898783812825e-15,1.4898898783812701e-15,6.217248937900877e-15,2.545455148738073e-15,6.217248937900877e-15
19,-2.1493785636741234,1.4146635489146406,192,0.04022785299759111,0.5916139586640592,0.29423130687916316,8.075968910806792e-16,4.037984455403396e-16,3.3306690738754696e-16,1.4332917616497527e-16,5.551115123125783e-17
20,1.2189324682743978,3.004555020749044,192,0.4071901879274701,0.1154754376824777,0.06601683070564345,7.293368934929081e-16,0.0,2.7755575615628914e-17,1.2708156850817168e-17,3.8163916471489756e-17
