case_id,profile,scale,phi_total,phi_target,Lambda_numerical,Lambda_theory,rel_error,rel_error_pct
0,constant,-0.23934706437529873,-0.8503581744437108,-0.8503581744437098,-0.7193520639589992,-0.7193520639589989,4.63009594432095e-16,4.6300959443209496e-14
0,gaussian,-0.9692684790720845,-0.8503581744437099,-0.8503581744437098,-0.7193520639589983,-0.7193520639589984,1.543365314773651e-16,1.543365314773651e-14
0,oscillating,-2.3231551100919505,-0.8503581744437099,-0.8503581744437098,-0.7193520639589988,-0.7193520639589984,4.630095944320953e-16,4.630095944320953e-14
1,constant,-0.960558655441746,-2.6718610631131128,-2.6718610631131128,-0.23134424906390266,-0.2313442490639026,2.3995042650022447e-16,2.3995042650022448e-14
1,gaussian,-3.0456970542297372,-2.6718610631131123,-2.6718610631131128,-0.2313442490639029,-0.2313442490639028,4.799008530004485e-16,4.799008530004485e-14
1,oscillating,8.104251173228704,-2.671861063113114,-2.6718610631131128,-0.2313442490639022,-0.231344249063902,8.398264927507879e-16,8.398264927507878e-14
2,constant,2.492852586554453,2.193861628092264,2.1938616280922627,0.1604551714282541,0.16045517142825402,5.189407490310659e-16,5.1894074903106587e-14
2,gaussian,3.160283437236467,2.1938616280922636,2.1938616280922627,0.16045517142825405,0.16045517142825408,1.729802496770219e-16,1.729802496770219e-14
2,oscillating,4.467833440294812,2.193861628092262,2.1938616280922627,0.16045517142825444,0.1604551714282543,8.649012483851083e-16,8.649012483851083e-14
3,constant,0.5877726811301756,1.9897469808362576,1.9897469808362558,0.24322082412519794,0.24322082412519783,4.564670926588363e-16,4.564670926588363e-14
3,gaussian,2.2679864881947562,1.9897469808362553,1.9897469808362558,0.24322082412519797,0.2432208241251981,5.705838658235447e-16,5.705838658235447e-14
3,oscillating,8.502661052114895,1.9897469808362562,1.9897469808362558,0.24322082412519785,0.243220824125198,5.705838658235449e-16,5.70583865823545e-14
4,constant,0.9938182648770281,2.9082272565738556,2.90822725657386,0.06635147021585289,0.06635147021585291,4.1831138820789896e-16,4.18311388207899e-14
4,gaussian,3.3149970292854674,2.9082272565738623,2.90822725657386,0.06635147021585105,0.06635147021585107,2.091556941039553e-16,2.091556941039553e-14
4,oscillating,-13.940221158439181,2.908227256573859,2.90822725657386,0.06635147021585201,0.06635147021585193,1.2549341646237156e-15,1.2549341646237157e-13
5,constant,0.6463091500448094,1.0146662835435063,1.0146662835435096,0.08405407497515043,0.08405407497515043,0.0,0.0
5,gaussian,1.186111406313933,1.0146662835435096,1.0146662835435096,0.08405407497515059,0.0840540749751506,1.6510547301742436e-16,1.6510547301742436e-14
5,oscillating,1184.2946629101887,1.0146662835434839,1.0146662835435096,0.08405407497514908,0.08405407497514925,1.981265676209124e-15,1.9812656762091242e-13
6,constant,1.1056916267153585,2.6426120093322543,2.6426120093322556,0.48628725767820136,0.48628725767820163,5.707650195925138e-16,5.707650195925138e-14
6,gaussian,3.0140750185530507,2.6426120093322547,2.6426120093322556,0.4862872576782017,0.48628725767820125,9.132240313480228e-16,9.132240313480228e-14
6,oscillating,-5.297948673315151,2.6426120093322565,2.6426120093322556,0.4862872576781998,0.4862872576781997,2.2830600783700644e-16,2.2830600783700646e-14
7,constant,1.7088425476184146,2.4187571396575893,2.4187571396575893,0.4861557221389737,0.48615572213897373,1.1418388944805868e-16,1.1418388944805868e-14
7,gaussian,2.8815855852208383,2.4187571396575893,2.4187571396575893,0.4861557221389737,0.48615572213897373,1.1418388944805868e-16,1.1418388944805868e-14
7,oscillating,15.824635706232296,2.418757139657587,2.4187571396575893,0.48615572213897523,0.48615572213897496,5.70919447240292e-16,5.70919447240292e-14
8,constant,0.23673264655292978,0.21129441410086613,0.21129441410086613,0.04337668718362284,0.04337668718362285,1.59968276842656e-16,1.59968276842656e-14
8,gaussian,0.3019196383251778,0.21129441410086625,0.21129441410086613,0.043376687183622864,0.04337668718362287,1.5996827684265592e-16,1.5996827684265593e-14
8,oscillating,0.43248794407642155,0.21129441410086613,0.21129441410086613,0.043376687183622885,0.04337668718362285,7.9984138421328e-16,7.9984138421328e-14
9,constant,-0.8394828964299332,-1.8176944281824,-1.8176944281824021,-0.357684407130459,-0.35768440713045907,1.5519589371143864e-16,1.5519589371143864e-14
9,gaussian,-2.075987605566398,-1.8176944281824021,-1.8176944281824021,-0.3576844071304588,-0.35768440713045885,1.5519589371143874e-16,1.5519589371143873e-14
9,oscillating,3.917827818903058,-1.817694428182403,-1.8176944281824021,-0.35768440713045874,-0.35768440713045874,0.0,0.0
10,constant,-0.9998407470640371,-2.902772528135387,-2.902772528135388,-0.05572374156266134,-0.05572374156266129,8.716618081492298e-16,8.716618081492298e-14
10,gaussian,-3.308796012853286,-2.9027725281353876,-2.902772528135388,-0.05572374156266124,-0.055723741562661196,7.471386926993411e-16,7.471386926993411e-14
10,oscillating,12.660697128277095,-2.902772528135389,-2.902772528135388,-0.05572374156266084,-0.05572374156266089,8.716618081492361e-16,8.716618081492361e-14
11,constant,0.4308728482659725,1.6689170467796275,1.6689170467796313,1.0802550235425328,1.0802550235425332,4.110966393784855e-16,4.110966393784855e-14
11,gaussian,1.9022902674976234,1.6689170467796315,1.6689170467796313,1.080255023542532,1.0802550235425326,6.166449590677286e-16,6.166449590677286e-14
11,oscillating,3.3577979727163947,1.6689170467796308,1.6689170467796313,1.0802550235425323,1.0802550235425328,4.110966393784857e-16,4.110966393784857e-14
12,constant,0.8086443108543221,0.8981538744744342,0.8981538744744364,0.4147506099330891,0.4147506099330888,6.6921120670821e-16,6.6921120670821e-14
12,gaussian,1.1536650454655502,0.8981538744744363,0.8981538744744364,0.4147506099330896,0.41475060993308954,1.3384224134164176e-16,1.3384224134164176e-14
12,oscillating,2.2575363244442967,0.8981538744744357,0.8981538744744364,0.41475060993308926,0.4147506099330894,2.676844826832836e-16,2.6768448268328362e-14
