case_id,seed,n_sites,k_layers,dmu,dt,n_steps,gamma_deph,eta0,max_abs_residual,mean_abs_residual
0,20270224,5,3,0.3333333333333333,0.015,60,0.44609374967037735,0.6744512391638847,0.004771744234043654,0.0012311985339066693
1,20270224,5,3,0.3333333333333333,0.03,30,0.44609374967037735,0.6744512391638847,0.009378954088349104,0.0024724799503848386
2,20270224,5,3,0.3333333333333333,0.06,15,0.44609374967037735,0.6744512391638847,0.01854482292421633,0.004985648526876897
3,20270224,5,3,0.3333333333333333,0.12,7,0.44609374967037735,0.6744512391638847,0.03698082844310957,0.010527767238305119
4,20271224,5,4,0.25,0.015,60,0.44609374967037735,0.6744512391638847,0.0056397566979354136,0.0010863093433068312
5,20271224,5,4,0.25,0.03,30,0.44609374967037735,0.6744512391638847,0.011167747358115002,0.0021821880101902343
6,20271224,5,4,0.25,0.06,15,0.44609374967037735,0.6744512391638847,0.0218797618048633,0.004403801072520183
7,20271224,5,4,0.25,0.12,7,0.44609374967037735,0.6744512391638847,0.0418672418815028,0.009328395458869177
8,20272224,5,5,0.2,0.015,60,0.44609374967037735,0.6744512391638847,0.003419450801479082,0.0005598675868658048
9,20272224,5,5,0.2,0.03,30,0.44609374967037735,0.6744512391638847,0.006747065406551775,0.0011272624572393304
10,20272224,5,5,0.2,0.06,15,0.44609374967037735,0.6744512391638847,0.013132187888662349,0.002284088164580998
11,20272224,5,5,0.2,0.12,7,0.44609374967037735,0.6744512391638847,0.024859818969014076,0.004945420454024155
