epsilon,a_1_over_Teff_from_Shor,r2_Shor,b_Shor,mean_jump,mean_Lambda_w,mean_Coh_ptr_w
0.05,0.2769474876324699,0.017058741435323488,0.0028053707336404775,0.0040170454545454546,-0.024271590678564492,0.9704194543754648
0.15,0.7632857906438577,0.18514211861914875,0.0023847089059905193,0.004028409090909092,-0.024271590678564492,0.9704194543754646
0.3,1.080099390218703,0.48919714348808563,0.0014307223673977502,0.003931818181818182,-0.024271590678564492,0.9704194543754648
0.6,0.9055862225523512,0.7233229466204896,0.0007060385430475394,0.004028409090909091,-0.024271590678564492,0.9704194543754648
