x,k,lambda_before,lambda_after,delta_lambda,abs_delta_lambda
0,6,0.05333304353694915,0.05333304353694918,3.469446951953614e-17,3.469446951953614e-17
5,8,0.0901088857329019,0.09010888573290188,-2.7755575615628914e-17,2.7755575615628914e-17
1,0,0.0057941299608094965,0.0057941299608094965,0.0,0.0
6,1,0.05222603412180793,0.052226034121808,6.938893903907228e-17,6.938893903907228e-17
6,8,0.059356090487781635,0.059356090487781635,0.0,0.0
6,6,-0.09527434048011194,-0.09527434048011205,-1.1102230246251565e-16,1.1102230246251565e-16
3,3,0.23490244597439217,0.23490244597439242,2.498001805406602e-16,2.498001805406602e-16
7,3,-0.21678855514004347,-0.21678855514004347,0.0,0.0
7,0,-0.05264711125549094,-0.05264711125549097,-3.469446951953614e-17,3.469446951953614e-17
0,8,0.047637714814731266,0.047637714814731225,-4.163336342344337e-17,4.163336342344337e-17
0,2,-0.09603269487983046,-0.09603269487983043,2.7755575615628914e-17,2.7755575615628914e-17
6,2,-0.0318183667707643,-0.031818366770764335,-3.469446951953614e-17,3.469446951953614e-17
2,7,-0.0382808745658457,-0.038280874565845724,-2.0816681711721685e-17,2.0816681711721685e-17
2,4,0.301139660891828,0.3011396608918281,1.1102230246251565e-16,1.1102230246251565e-16
5,7,0.02018337913981336,0.020183379139813346,-1.3877787807814457e-17,1.3877787807814457e-17
5,9,-0.41480147639568277,-0.41480147639568266,1.1102230246251565e-16,1.1102230246251565e-16
1,5,0.1878759188271716,0.18787591882717158,-2.7755575615628914e-17,2.7755575615628914e-17
1,4,0.2211902436765531,0.22119024367655288,-2.220446049250313e-16,2.220446049250313e-16
2,8,-0.08455165527831136,-0.08455165527831139,-2.7755575615628914e-17,2.7755575615628914e-17
0,7,0.1379224688138338,0.1379224688138338,0.0,0.0
7,9,-0.2143823521198705,-0.21438235211987045,5.551115123125783e-17,5.551115123125783e-17
5,2,0.048898115865989245,0.04889811586598929,4.85722573273506e-17,4.85722573273506e-17
1,2,-0.08999382919009041,-0.08999382919009041,0.0,0.0
2,3,0.143233127828097,0.14323312782809694,-5.551115123125783e-17,5.551115123125783e-17
7,7,-0.0410534393859648,-0.04105343938596481,-1.3877787807814457e-17,1.3877787807814457e-17
5,6,-0.11312670541371156,-0.11312670541371157,-1.3877787807814457e-17,1.3877787807814457e-17
7,8,0.0002742811333230899,0.00027428113332306214,-2.7755575615628914e-17,2.7755575615628914e-17
3,1,0.03305056589174584,0.033050565891745806,-3.469446951953614e-17,3.469446951953614e-17
4,8,0.09279679690437606,0.09279679690437595,-1.1102230246251565e-16,1.1102230246251565e-16
7,2,-0.2242069667180616,-0.22420696671806162,-2.7755575615628914e-17,2.7755575615628914e-17
1,8,-0.05713226110068057,-0.05713226110068055,2.0816681711721685e-17,2.0816681711721685e-17
0,9,0.3481203833666727,0.3481203833666726,-1.1102230246251565e-16,1.1102230246251565e-16
1,9,0.3100924513552129,0.3100924513552127,-2.220446049250313e-16,2.220446049250313e-16
5,5,-0.12218377485073917,-0.12218377485073934,-1.6653345369377348e-16,1.6653345369377348e-16
3,0,-0.132021358386978,-0.1320213583869781,-8.326672684688674e-17,8.326672684688674e-17
1,1,-0.10651722680964584,-0.10651722680964598,-1.3877787807814457e-16,1.3877787807814457e-16
0,4,-0.08519484807224953,-0.0851948480722495,2.7755575615628914e-17,2.7755575615628914e-17
5,0,0.03651245456412984,0.03651245456412982,-2.0816681711721685e-17,2.0816681711721685e-17
5,4,-0.06711501079653595,-0.06711501079653595,0.0,0.0
5,1,0.08010242647045547,0.08010242647045547,0.0,0.0
4,4,0.018172709879138813,0.01817270987913882,6.938893903907228e-18,6.938893903907228e-18
2,2,0.0030236356290078356,0.003023635629007839,3.469446951953614e-18,3.469446951953614e-18
4,7,0.005991148560958864,0.005991148560958906,4.163336342344337e-17,4.163336342344337e-17
6,4,-0.2600258216448618,-0.2600258216448618,0.0,0.0
0,5,0.011795211703720304,0.011795211703720311,6.938893903907228e-18,6.938893903907228e-18
3,2,0.12968147673437141,0.12968147673437136,-5.551115123125783e-17,5.551115123125783e-17
0,3,-0.04008561139585106,-0.04008561139585104,2.0816681711721685e-17,2.0816681711721685e-17
4,1,0.1075992500983286,0.10759925009832864,4.163336342344337e-17,4.163336342344337e-17
4,3,0.143155891334242,0.14315589133424195,-5.551115123125783e-17,5.551115123125783e-17
4,0,0.0008976036277082433,0.0008976036277083266,8.326672684688674e-17,8.326672684688674e-17
3,6,-0.021114809138223334,-0.021114809138223337,-3.469446951953614e-18,3.469446951953614e-18
2,5,0.054930259316962174,0.054930259316961993,-1.8041124150158794e-16,1.8041124150158794e-16
3,7,-0.026520171920939212,-0.026520171920939195,1.734723475976807e-17,1.734723475976807e-17
1,3,0.036651810281204164,0.036651810281204164,0.0,0.0
5,3,0.04119716025907481,0.04119716025907495,1.457167719820518e-16,1.457167719820518e-16
0,1,-0.07518682878155153,-0.07518682878155153,0.0,0.0
1,7,0.039411135825784274,0.039411135825784295,2.0816681711721685e-17,2.0816681711721685e-17
6,7,0.047342213816886344,0.047342213816886344,0.0,0.0
3,9,-0.005259484647394612,-0.0052594846473944246,1.8735013540549517e-16,1.8735013540549517e-16
7,5,-0.026491575197046646,-0.026491575197046924,-2.7755575615628914e-16,2.7755575615628914e-16
4,2,0.1982287992084482,0.19822879920844805,-1.3877787807814457e-16,1.3877787807814457e-16
6,3,-0.12178881455172205,-0.12178881455172205,0.0,0.0
3,8,-0.05262599518476472,-0.0526259951847647,2.0816681711721685e-17,2.0816681711721685e-17
6,0,0.049595369664899205,0.04959536966489927,6.245004513516506e-17,6.245004513516506e-17
2,9,0.20206961822115585,0.2020696182211558,-5.551115123125783e-17,5.551115123125783e-17
2,1,-0.18730823380210054,-0.1873082338021004,1.3877787807814457e-16,1.3877787807814457e-16
6,5,-0.3183690244606278,-0.31836902446062765,1.6653345369377348e-16,1.6653345369377348e-16
4,5,-0.05146090621383673,-0.05146090621383681,-8.326672684688674e-17,8.326672684688674e-17
2,0,-0.025498517183196467,-0.025498517183196498,-3.122502256758253e-17,3.122502256758253e-17
7,6,-0.022935989589621453,-0.022935989589621654,-2.0122792321330962e-16,2.0122792321330962e-16
3,4,0.09854339199927875,0.09854339199927864,-1.1102230246251565e-16,1.1102230246251565e-16
0,0,-0.04214861399009121,-0.04214861399009127,-5.551115123125783e-17,5.551115123125783e-17
1,6,0.15810395275599315,0.1581039527559932,5.551115123125783e-17,5.551115123125783e-17
6,9,-0.38628177271640046,-0.3862817727164003,1.6653345369377348e-16,1.6653345369377348e-16
2,6,0.023172815304059135,0.023172815304059118,-1.734723475976807e-17,1.734723475976807e-17
7,1,-0.16905834396268832,-0.16905834396268826,5.551115123125783e-17,5.551115123125783e-17
3,5,-0.027017974822985482,-0.0270179748229855,-1.734723475976807e-17,1.734723475976807e-17
4,9,-0.27338160265663536,-0.27338160265663525,1.1102230246251565e-16,1.1102230246251565e-16
7,4,-0.12776336066944505,-0.1277633606694449,1.3877787807814457e-16,1.3877787807814457e-16
4,6,-0.03492785864833235,-0.034927858648332345,6.938893903907228e-18,6.938893903907228e-18
