seed_case,n_sites_case,k_layers_case,gamma_case,eta0,corr_coh_sum,corr_absLambda_sum,R2_coh_features,R2_absLambda_only,coherence_features_better
20260600,4,4,0.2,0.5,0.23898466879408087,-0.1223515018432525,0.07430325833243279,0.0025647267277154606,True
20260600,4,4,0.2,0.9,0.21194517837279908,-0.09065863000785081,0.04913204069221255,0.011424134356626148,True
20260600,4,4,0.2,1.5,0.24668256826477308,-0.05729492770394207,0.07130396723465315,-0.00042596439533748587,True
20260600,4,4,0.35,0.5,0.23898466879408087,-0.1223515018432525,0.07430325833243279,0.0025647267277154606,True
20260600,4,4,0.35,0.9,0.21194517837279908,-0.09065863000785081,0.04913204069221255,0.011424134356626148,True
20260600,4,4,0.35,1.5,0.24668256826477308,-0.05729492770394207,0.07130396723465315,-0.00042596439533748587,True
20260600,4,4,0.8,0.5,0.23898466879408087,-0.1223515018432525,0.07430325833243279,0.0025647267277154606,True
20260600,4,4,0.8,0.9,0.21194517837279908,-0.09065863000785081,0.04913204069221255,0.011424134356626148,True
20260600,4,4,0.8,1.5,0.24668256826477308,-0.05729492770394207,0.07130396723465315,-0.00042596439533748587,True
20260600,4,5,0.2,0.5,0.21720969839310308,-0.08074927708358569,0.04991517034413351,-0.0005316474433754159,True
20260600,4,5,0.2,0.9,0.23678935151357627,-0.02591869064857811,0.05186033702767534,-0.0033372907429507492,True
20260600,4,5,0.2,1.5,0.22238778143903856,-0.04767492331782087,0.04835545397700214,0.0035100691417659924,True
20260600,4,5,0.35,0.5,0.21720969839310308,-0.08074927708358569,0.04991517034413351,-0.0005316474433754159,True
20260600,4,5,0.35,0.9,0.23678935151357627,-0.02591869064857811,0.05186033702767534,-0.0033372907429507492,True
20260600,4,5,0.35,1.5,0.22238778143903856,-0.04767492331782087,0.04835545397700214,0.0035100691417659924,True
20260600,4,5,0.8,0.5,0.21720969839310308,-0.08074927708358569,0.04991517034413351,-0.0005316474433754159,True
20260600,4,5,0.8,0.9,0.23678935151357627,-0.02591869064857811,0.05186033702767534,-0.0033372907429507492,True
20260600,4,5,0.8,1.5,0.22238778143903856,-0.04767492331782087,0.04835545397700214,0.0035100691417659924,True
20260601,4,4,0.2,0.5,0.23990752349856345,-0.12017732816939229,0.04639799259036792,0.004083929329843583,True
20260601,4,4,0.2,0.9,0.2127370745427237,-0.0934362204807964,0.04995606819841303,0.006233331368115325,True
20260601,4,4,0.2,1.5,0.2462179011550489,-0.0597307231011905,0.04130190809841083,-0.0035024238707965782,True
20260601,4,4,0.35,0.5,0.23990752349856345,-0.12017732816939229,0.04639799259036792,0.004083929329843583,True
20260601,4,4,0.35,0.9,0.2127370745427237,-0.0934362204807964,0.04995606819841303,0.006233331368115325,True
20260601,4,4,0.35,1.5,0.2462179011550489,-0.0597307231011905,0.04130190809841083,-0.0035024238707965782,True
20260601,4,4,0.8,0.5,0.23990752349856345,-0.12017732816939229,0.04639799259036792,0.004083929329843583,True
20260601,4,4,0.8,0.9,0.2127370745427237,-0.0934362204807964,0.04995606819841303,0.006233331368115325,True
20260601,4,4,0.8,1.5,0.2462179011550489,-0.0597307231011905,0.04130190809841083,-0.0035024238707965782,True
20260601,4,5,0.2,0.5,0.2177534328515922,-0.08178802542393925,0.05361666341176763,0.006805616929603464,True
20260601,4,5,0.2,0.9,0.23612660761209048,-0.024975446304263186,0.06509013218839299,-0.0020363643847538526,True
20260601,4,5,0.2,1.5,0.22358728576874148,-0.04726885636722976,0.045149128059448596,0.0032425860332984113,True
20260601,4,5,0.35,0.5,0.2177534328515922,-0.08178802542393925,0.05361666341176763,0.006805616929603464,True
20260601,4,5,0.35,0.9,0.23612660761209048,-0.024975446304263186,0.06509013218839299,-0.0020363643847538526,True
20260601,4,5,0.35,1.5,0.22358728576874148,-0.04726885636722976,0.045149128059448596,0.0032425860332984113,True
20260601,4,5,0.8,0.5,0.2177534328515922,-0.08178802542393925,0.05361666341176763,0.006805616929603464,True
20260601,4,5,0.8,0.9,0.23612660761209048,-0.024975446304263186,0.06509013218839299,-0.0020363643847538526,True
20260601,4,5,0.8,1.5,0.22358728576874148,-0.04726885636722976,0.045149128059448596,0.0032425860332984113,True
20260602,4,4,0.2,0.5,0.2384601326389859,-0.11846573281522817,0.026866658221418982,0.005242228916354175,True
20260602,4,4,0.2,0.9,0.21331609532712154,-0.09630344745749148,0.05195537119582361,0.006184876983971299,True
20260602,4,4,0.2,1.5,0.2466155107202506,-0.05956742311478182,0.06775810021419548,-0.005018778282853242,True
20260602,4,4,0.35,0.5,0.2384601326389859,-0.11846573281522817,0.026866658221418982,0.005242228916354175,True
20260602,4,4,0.35,0.9,0.21331609532712154,-0.09630344745749148,0.05195537119582361,0.006184876983971299,True
20260602,4,4,0.35,1.5,0.2466155107202506,-0.05956742311478182,0.06775810021419548,-0.005018778282853242,True
20260602,4,4,0.8,0.5,0.2384601326389859,-0.11846573281522817,0.026866658221418982,0.005242228916354175,True
20260602,4,4,0.8,0.9,0.21331609532712154,-0.09630344745749148,0.05195537119582361,0.006184876983971299,True
20260602,4,4,0.8,1.5,0.2466155107202506,-0.05956742311478182,0.06775810021419548,-0.005018778282853242,True
20260602,4,5,0.2,0.5,0.217264041519473,-0.08015871417254891,0.051563717716666235,0.0034390468980918243,True
20260602,4,5,0.2,0.9,0.23666391112437926,-0.02509384633617729,0.06350209447869481,-0.004602064641510584,True
20260602,4,5,0.2,1.5,0.22088682248332886,-0.04626172625893743,0.04842854962781662,-0.00035851503878658875,True
20260602,4,5,0.35,0.5,0.217264041519473,-0.08015871417254891,0.051563717716666235,0.0034390468980918243,True
20260602,4,5,0.35,0.9,0.23666391112437926,-0.02509384633617729,0.06350209447869481,-0.004602064641510584,True
20260602,4,5,0.35,1.5,0.22088682248332886,-0.04626172625893743,0.04842854962781662,-0.00035851503878658875,True
20260602,4,5,0.8,0.5,0.217264041519473,-0.08015871417254891,0.051563717716666235,0.0034390468980918243,True
20260602,4,5,0.8,0.9,0.23666391112437926,-0.02509384633617729,0.06350209447869481,-0.004602064641510584,True
20260602,4,5,0.8,1.5,0.22088682248332886,-0.04626172625893743,0.04842854962781662,-0.00035851503878658875,True
20260603,4,4,0.2,0.5,0.2379069549595696,-0.1159239941739651,0.06589070541811648,0.0013292209153029644,True
20260603,4,4,0.2,0.9,0.21567270202699854,-0.09891833468750409,0.04253821652355938,0.016752579084616914,True
20260603,4,4,0.2,1.5,0.2478342668758275,-0.06042579511283322,0.047108303707647736,-0.009773102291748437,True
20260603,4,4,0.35,0.5,0.2379069549595696,-0.1159239941739651,0.06589070541811648,0.0013292209153029644,True
20260603,4,4,0.35,0.9,0.21567270202699854,-0.09891833468750409,0.04253821652355938,0.016752579084616914,True
20260603,4,4,0.35,1.5,0.2478342668758275,-0.06042579511283322,0.047108303707647736,-0.009773102291748437,True
20260603,4,4,0.8,0.5,0.2379069549595696,-0.1159239941739651,0.06589070541811648,0.0013292209153029644,True
20260603,4,4,0.8,0.9,0.21567270202699854,-0.09891833468750409,0.04253821652355938,0.016752579084616914,True
20260603,4,4,0.8,1.5,0.2478342668758275,-0.06042579511283322,0.047108303707647736,-0.009773102291748437,True
20260603,4,5,0.2,0.5,0.21664947098417991,-0.08131995784062983,0.014670705295590114,0.0076270617943391406,True
20260603,4,5,0.2,0.9,0.23526511216847773,-0.023395646194689066,0.03919162506845464,0.00014332456655519188,True
20260603,4,5,0.2,1.5,0.22099469841750968,-0.04464677058396309,0.050878192896946506,0.0032970876162808915,True
20260603,4,5,0.35,0.5,0.21664947098417991,-0.08131995784062983,0.014670705295590114,0.0076270617943391406,True
20260603,4,5,0.35,0.9,0.23526511216847773,-0.023395646194689066,0.03919162506845464,0.00014332456655519188,True
20260603,4,5,0.35,1.5,0.22099469841750968,-0.04464677058396309,0.050878192896946506,0.0032970876162808915,True
20260603,4,5,0.8,0.5,0.21664947098417991,-0.08131995784062983,0.014670705295590114,0.0076270617943391406,True
20260603,4,5,0.8,0.9,0.23526511216847773,-0.023395646194689066,0.03919162506845464,0.00014332456655519188,True
20260603,4,5,0.8,1.5,0.22099469841750968,-0.04464677058396309,0.050878192896946506,0.0032970876162808915,True
20260604,4,4,0.2,0.5,0.2384164790128977,-0.11522290734136241,0.03489885238002932,0.006338395658545104,True
