K_layers,dmu,Lambda_numerical,Lambda_theory,rel_error,rel_error_pct
4,0.40271145094543565,0.03331189808011353,0.03331189808011353,0.0,0.0
8,0.20135572547271782,0.03331189808011353,0.03331189808011353,0.0,0.0
16,0.10067786273635891,0.03331189808011353,0.03331189808011353,0.0,0.0
32,0.050338931368179456,0.033311898080113526,0.03331189808011353,2.083007665074896e-16,2.0830076650748962e-14
64,0.025169465684089728,0.03331189808011354,0.03331189808011353,2.083007665074896e-16,2.0830076650748962e-14
128,0.012584732842044864,0.033311898080113526,0.03331189808011353,2.083007665074896e-16,2.0830076650748962e-14
