profile,scale,phi_total,phi_target,Lambda_numerical,Lambda_theory,rel_error,rel_error_pct
constant,1.581891947305982,2.0480490197085404,2.048049019708539,0.5243019591533387,0.5243019591533387,0.0,0.0
gaussian,2.495265652885112,2.048049019708539,2.048049019708539,0.5243019591533392,0.5243019591533391,2.1175259890655013e-16,2.1175259890655014e-14
oscillating,7.809347365969906,2.0480490197085395,2.048049019708539,0.524301959153339,0.5243019591533389,2.1175259890655023e-16,2.1175259890655024e-14
