seed,Nsamples,L_sites,K_layers,gamma_deph,eta0,"noncomm_norm_[U0,U1]",max_abs_balance_residual,mean_abs_balance_residual,balance_closure_ok_1e-10,seed_case,n_sites_case,k_layers_case,gamma_case,eta0_case
20260401,16,4,4,0.35,0.2,1.0442646194114757,5.551115123125783e-17,8.42628375928578e-18,True,20260401,4,4,0.35,0.2
20260401,16,4,4,0.35,0.9,1.0442646194114757,5.551115123125783e-17,9.685539407537172e-18,True,20260401,4,4,0.35,0.9
20260401,16,4,4,0.35,1.6,1.0442646194114757,1.1102230246251565e-16,1.6083461602464655e-17,True,20260401,4,4,0.35,1.6
20260401,16,4,4,0.8,0.2,1.0442646194114757,2.220446049250313e-16,1.6539730016718972e-17,True,20260401,4,4,0.8,0.2
20260401,16,4,4,0.8,0.9,1.0442646194114757,1.1102230246251565e-16,2.1321513348285248e-17,True,20260401,4,4,0.8,0.9
20260401,16,4,4,0.8,1.6,1.0442646194114757,2.220446049250313e-16,2.0389777106305518e-17,True,20260401,4,4,0.8,1.6
20260401,16,4,5,0.1,0.2,0.8802985854082106,4.85722573273506e-17,3.732930667412852e-18,True,20260401,4,5,0.1,0.2
20260401,16,4,5,0.1,0.9,0.8802985854082106,5.551115123125783e-17,6.4168957329459784e-18,True,20260401,4,5,0.1,0.9
20260401,16,4,5,0.1,1.6,0.8802985854082106,5.551115123125783e-17,9.283706977359733e-18,True,20260401,4,5,0.1,1.6
20260401,16,4,5,0.35,0.2,0.8802985854082106,2.7755575615628914e-17,5.7480785177939826e-18,True,20260401,4,5,0.35,0.2
20260401,16,4,5,0.35,0.9,0.8802985854082106,5.551115123125783e-17,7.004849536066763e-18,True,20260401,4,5,0.35,0.9
20260401,16,4,5,0.35,1.6,0.8802985854082106,1.1102230246251565e-16,9.862399886923871e-18,True,20260401,4,5,0.35,1.6
20260401,16,4,5,0.8,0.2,0.8802985854082106,1.1102230246251565e-16,1.1155310977612835e-17,True,20260401,4,5,0.8,0.2
20260401,16,4,5,0.8,0.9,0.8802985854082106,1.1102230246251565e-16,1.2485039767075786e-17,True,20260401,4,5,0.8,0.9
20260401,16,4,5,0.8,1.6,0.8802985854082106,2.220446049250313e-16,1.5510415579215546e-17,True,20260401,4,5,0.8,1.6
20260402,16,4,3,0.1,0.2,1.0662702819607914,4.163336342344337e-17,5.551642165848519e-18,True,20260402,4,3,0.1,0.2
20260402,16,4,3,0.1,0.9,1.0662702819607914,5.551115123125783e-17,8.986078422648955e-18,True,20260402,4,3,0.1,0.9
20260402,16,4,3,0.1,1.6,1.0662702819607914,1.1102230246251565e-16,1.0703484780593008e-17,True,20260402,4,3,0.1,1.6
20260402,16,4,3,0.35,0.2,1.0662702819607914,8.326672684688674e-17,9.444605591429283e-18,True,20260402,4,3,0.35,0.2
20260402,16,4,3,0.35,0.9,1.0662702819607914,1.1102230246251565e-16,1.133819480240223e-17,True,20260402,4,3,0.35,0.9
20260402,16,4,3,0.35,1.6,1.0662702819607914,2.220446049250313e-16,1.9862734383569508e-17,True,20260402,4,3,0.35,1.6
20260402,16,4,3,0.8,0.2,1.0662702819607914,4.440892098500626e-16,2.1301184557551145e-17,True,20260402,4,3,0.8,0.2
20260402,16,4,3,0.8,0.9,1.0662702819607914,2.220446049250313e-16,2.5855210141077933e-17,True,20260402,4,3,0.8,0.9
20260402,16,4,3,0.8,1.6,1.0662702819607914,1.1102230246251565e-16,1.7669483738812374e-17,True,20260402,4,3,0.8,1.6
20260402,16,4,4,0.1,0.2,1.0442646194114757,5.551115123125783e-17,5.685991002760242e-18,True,20260402,4,4,0.1,0.2
20260402,16,4,4,0.1,0.9,1.0442646194114757,5.551115123125783e-17,7.991755857344324e-18,True,20260402,4,4,0.1,0.9
20260402,16,4,4,0.1,1.6,1.0442646194114757,5.551115123125783e-17,1.1034580548197522e-17,True,20260402,4,4,0.1,1.6
20260402,16,4,4,0.35,0.2,1.0442646194114757,5.551115123125783e-17,8.466941340753986e-18,True,20260402,4,4,0.35,0.2
20260402,16,4,4,0.35,0.9,1.0442646194114757,5.551115123125783e-17,1.02818506024042e-17,True,20260402,4,4,0.35,0.9
20260402,16,4,4,0.35,1.6,1.0442646194114757,1.1102230246251565e-16,1.6318372073169846e-17,True,20260402,4,4,0.35,1.6
20260402,16,4,4,0.8,0.2,1.0442646194114757,2.220446049250313e-16,1.6345477127481984e-17,True,20260402,4,4,0.8,0.2
20260402,16,4,4,0.8,0.9,1.0442646194114757,1.1102230246251565e-16,2.072520215341822e-17,True,20260402,4,4,0.8,0.9
20260402,16,4,4,0.8,1.6,1.0442646194114757,2.220446049250313e-16,2.051626735976216e-17,True,20260402,4,4,0.8,1.6
20260402,16,4,5,0.1,0.2,0.8802985854082106,4.85722573273506e-17,3.6845933205562065e-18,True,20260402,4,5,0.1,0.2
20260402,16,4,5,0.1,0.9,0.8802985854082106,5.551115123125783e-17,6.260138168840783e-18,True,20260402,4,5,0.1,0.9
20260402,16,4,5,0.1,1.6,0.8802985854082106,5.551115123125783e-17,9.24575990132274e-18,True,20260402,4,5,0.1,1.6
20260402,16,4,5,0.35,0.2,0.8802985854082106,2.7755575615628914e-17,5.907998338235595e-18,True,20260402,4,5,0.35,0.2
20260402,16,4,5,0.35,0.9,0.8802985854082106,5.551115123125783e-17,6.872034769937289e-18,True,20260402,4,5,0.35,0.9
20260402,16,4,5,0.35,1.6,0.8802985854082106,5.551115123125783e-17,9.874145410459131e-18,True,20260402,4,5,0.35,1.6
20260402,16,4,5,0.8,0.2,0.8802985854082106,1.1102230246251565e-16,1.134143235055618e-17,True,20260402,4,5,0.8,0.2
20260402,16,4,5,0.8,0.9,0.8802985854082106,1.1102230246251565e-16,1.1809220412893155e-17,True,20260402,4,5,0.8,0.9
20260402,16,4,5,0.8,1.6,0.8802985854082106,2.220446049250313e-16,1.5561011680598203e-17,True,20260402,4,5,0.8,1.6
20260403,16,4,3,0.1,0.2,1.0662702819607914,4.163336342344337e-17,5.425151912391876e-18,True,20260403,4,3,0.1,0.2
20260403,16,4,3,0.1,0.9,1.0662702819607914,5.551115123125783e-17,8.8897048962058e-18,True,20260403,4,3,0.1,0.9
20260403,16,4,3,0.1,1.6,1.0662702819607914,1.1102230246251565e-16,1.1354006084084311e-17,True,20260403,4,3,0.1,1.6
20260403,16,4,3,0.35,0.2,1.0662702819607914,8.326672684688674e-17,9.492792354650861e-18,True,20260403,4,3,0.35,0.2
20260403,16,4,3,0.35,0.9,1.0662702819607914,1.1102230246251565e-16,1.1121354367905129e-17,True,20260403,4,3,0.35,0.9
20260403,16,4,3,0.35,1.6,1.0662702819607914,2.220446049250313e-16,2.0585535831893177e-17,True,20260403,4,3,0.35,1.6
20260403,16,4,3,0.8,0.2,1.0662702819607914,4.440892098500626e-16,1.9855581660903805e-17,True,20260403,4,3,0.8,0.2
20260403,16,4,3,0.8,0.9,1.0662702819607914,2.220446049250313e-16,2.5060128547921895e-17,True,20260403,4,3,0.8,0.9
20260403,16,4,3,0.8,1.6,1.0662702819607914,1.1102230246251565e-16,1.9090993253848925e-17,True,20260403,4,3,0.8,1.6
20260403,16,4,4,0.1,0.2,1.0442646194114757,5.551115123125783e-17,5.826033783372954e-18,True,20260403,4,4,0.1,0.2
20260403,16,4,4,0.1,0.9,1.0442646194114757,5.551115123125783e-17,7.829125531471498e-18,True,20260403,4,4,0.1,0.9
20260403,16,4,4,0.1,1.6,1.0442646194114757,5.551115123125783e-17,1.0980370439573247e-17,True,20260403,4,4,0.1,1.6
20260403,16,4,4,0.35,0.2,1.0442646194114757,5.551115123125783e-17,8.277205960569023e-18,True,20260403,4,4,0.35,0.2
20260403,16,4,4,0.35,0.9,1.0442646194114757,5.551115123125783e-17,1.0137290312739466e-17,True,20260403,4,4,0.35,0.9
20260403,16,4,4,0.35,1.6,1.0442646194114757,1.6653345369377348e-16,1.7547134535320086e-17,True,20260403,4,4,0.35,1.6
20260403,16,4,4,0.8,0.2,1.0442646194114757,2.220446049250313e-16,1.644486232662649e-17,True,20260403,4,4,0.8,0.2
20260403,16,4,4,0.8,0.9,1.0442646194114757,1.1102230246251565e-16,2.1005287714643644e-17,True,20260403,4,4,0.8,0.9
20260403,16,4,4,0.8,1.6,1.0442646194114757,2.220446049250313e-16,2.1419769170166747e-17,True,20260403,4,4,0.8,1.6
20260403,16,4,5,0.1,0.2,0.8802985854082106,4.85722573273506e-17,3.867100686257933e-18,True,20260403,4,5,0.1,0.2
20260403,16,4,5,0.1,0.9,0.8802985854082106,5.551115123125783e-17,6.2529101543575456e-18,True,20260403,4,5,0.1,0.9
20260403,16,4,5,0.1,1.6,0.8802985854082106,5.551115123125783e-17,9.195163799940084e-18,True,20260403,4,5,0.1,1.6
20260403,16,4,5,0.35,0.2,0.8802985854082106,2.7755575615628914e-17,6.056172635141947e-18,True,20260403,4,5,0.35,0.2
20260403,16,4,5,0.35,0.9,0.8802985854082106,5.551115123125783e-17,7.052735132018206e-18,True,20260403,4,5,0.35,0.9
20260403,16,4,5,0.35,1.6,0.8802985854082106,5.551115123125783e-17,9.559726780438334e-18,True,20260403,4,5,0.35,1.6
20260403,16,4,5,0.8,0.2,0.8802985854082106,1.1102230246251565e-16,1.1225784118824393e-17,True,20260403,4,5,0.8,0.2
20260403,16,4,5,0.8,0.9,0.8802985854082106,1.1102230246251565e-16,1.2206761209471174e-17,True,20260403,4,5,0.8,0.9
20260403,16,4,5,0.8,1.6,0.8802985854082106,1.1102230246251565e-16,1.423105701568265e-17,True,20260403,4,5,0.8,1.6
20260404,16,4,3,0.1,0.2,1.0662702819607914,4.163336342344337e-17,5.5100904940471e-18,True,20260404,4,3,0.1,0.2
20260404,16,4,3,0.1,0.9,1.0662702819607914,5.551115123125783e-17,8.641336013116455e-18,True,20260404,4,3,0.1,0.9
20260404,16,4,3,0.1,1.6,1.0662702819607914,1.1102230246251565e-16,1.0968935494785314e-17,True,20260404,4,3,0.1,1.6
20260404,16,4,3,0.35,0.2,1.0662702819607914,8.326672684688674e-17,9.381501636858838e-18,True,20260404,4,3,0.35,0.2
20260404,16,4,3,0.35,0.9,1.0662702819607914,1.1102230246251565e-16,1.0889173225585533e-17,True,20260404,4,3,0.35,0.9
20260404,16,4,3,0.35,1.6,1.0662702819607914,2.220446049250313e-16,1.873345123533569e-17,True,20260404,4,3,0.35,1.6
20260404,16,4,3,0.8,0.2,1.0662702819607914,4.440892098500626e-16,1.8704746229900964e-17,True,20260404,4,3,0.8,0.2
20260404,16,4,3,0.8,0.9,1.0662702819607914,2.220446049250313e-16,2.3667324038320075e-17,True,20260404,4,3,0.8,0.9
20260404,16,4,3,0.8,1.6,1.0662702819607914,1.1102230246251565e-16,1.9235930002601326e-17,True,20260404,4,3,0.8,1.6
20260404,16,4,4,0.1,0.2,1.0442646194114757,5.551115123125783e-17,6.052615096763479e-18,True,20260404,4,4,0.1,0.2
20260404,16,4,4,0.1,0.9,1.0442646194114757,5.551115123125783e-17,7.418808654605728e-18,True,20260404,4,4,0.1,0.9
20260404,16,4,4,0.1,1.6,1.0442646194114757,5.551115123125783e-17,1.1032886482303014e-17,True,20260404,4,4,0.1,1.6
20260404,16,4,4,0.35,0.2,1.0442646194114757,5.551115123125783e-17,8.60458419468281e-18,True,20260404,4,4,0.35,0.2
20260404,16,4,4,0.35,0.9,1.0442646194114757,5.551115123125783e-17,9.743561164424092e-18,True,20260404,4,4,0.35,0.9
20260404,16,4,4,0.35,1.6,1.0442646194114757,1.6653345369377348e-16,1.7123618061692936e-17,True,20260404,4,4,0.35,1.6
20260404,16,4,4,0.8,0.2,1.0442646194114757,2.220446049250313e-16,1.6802027886052052e-17,True,20260404,4,4,0.8,0.2
20260404,16,4,4,0.8,0.9,1.0442646194114757,1.1102230246251565e-16,2.0760212848571397e-17,True,20260404,4,4,0.8,0.9
20260404,16,4,4,0.8,1.6,1.0442646194114757,2.220446049250313e-16,2.1502496054681918e-17,True,20260404,4,4,0.8,1.6
20260404,16,4,5,0.1,0.2,0.8802985854082106,4.85722573273506e-17,3.8882094531642994e-18,True,20260404,4,5,0.1,0.2
20260404,16,4,5,0.1,0.9,0.8802985854082106,5.551115123125783e-17,6.030676943429592e-18,True,20260404,4,5,0.1,0.9
20260404,16,4,5,0.1,1.6,0.8802985854082106,5.551115123125783e-17,9.20261768987592e-18,True,20260404,4,5,0.1,1.6
20260404,16,4,5,0.35,0.2,0.8802985854082106,2.7755575615628914e-17,6.14009948299906e-18,True,20260404,4,5,0.35,0.2
20260404,16,4,5,0.35,0.9,0.8802985854082106,5.551115123125783e-17,6.909953611542706e-18,True,20260404,4,5,0.35,0.9
20260404,16,4,5,0.35,1.6,0.8802985854082106,5.551115123125783e-17,9.306492163640873e-18,True,20260404,4,5,0.35,1.6
20260404,16,4,5,0.8,0.2,0.8802985854082106,1.1102230246251565e-16,1.0952192476861254e-17,True,20260404,4,5,0.8,0.2
20260404,16,4,5,0.8,0.9,0.8802985854082106,1.1102230246251565e-16,1.2077645153878042e-17,True,20260404,4,5,0.8,0.9
