seed,Nsamples,L_sites,K_layers,gamma_deph,eta0,"noncomm_norm_[U0,U1]",max_abs_balance_residual,mean_abs_balance_residual,balance_closure_ok_1e-10,seed_case,n_sites_case,k_layers_case,gamma_case,eta0_case,n_samples_case
20260501,64,4,6,0.35,0.9,0.8439097238856818,1.1102230246251565e-16,7.376423184746854e-18,True,20260501,4,6,0.35,0.9,64
20260502,64,4,6,0.8,1.6,0.8439097238856818,4.440892098500626e-16,1.5421706818619055e-17,True,20260502,4,6,0.8,1.6,64
20260503,48,5,4,0.35,0.9,1.8478768349971821,1.6653345369377348e-16,1.157853010738246e-17,True,20260503,5,4,0.35,0.9,48
20260504,40,5,5,0.35,0.9,1.5597494316017038,1.1102230246251565e-16,9.57648673902134e-18,True,20260504,5,5,0.35,0.9,40
20260505,40,5,5,0.8,1.6,1.5597494316017038,2.220446049250313e-16,1.7137441639392126e-17,True,20260505,5,5,0.8,1.6,40
