n_steps,dphi,berry_phase,target_phase,abs_error_to_target
16,0.39269908169872414,3.141592653589793,-3.141592653589793,2.4492935982947064e-16
24,0.2617993877991494,3.1415926535897927,-3.141592653589793,2.4492935982947064e-16
32,0.19634954084936207,3.141592653589793,-3.141592653589793,2.4492935982947064e-16
48,0.1308996938995747,-3.1415926535897927,-3.141592653589793,4.440892098500626e-16
64,0.09817477042468103,3.141592653589793,-3.141592653589793,2.4492935982947064e-16
96,0.06544984694978735,3.1415926535897927,-3.141592653589793,2.4492935982947064e-16
128,0.04908738521234052,3.141592653589793,-3.141592653589793,2.4492935982947064e-16
192,0.032724923474893676,3.141592653589793,-3.141592653589793,2.4492935982947064e-16
256,0.02454369260617026,-3.1415926535897922,-3.141592653589793,8.881784197001252e-16
384,0.016362461737446838,3.1415926535897922,-3.141592653589793,1.133107779529596e-15
512,0.01227184630308513,3.141592653589793,-3.141592653589793,2.4492935982947064e-16
768,0.008181230868723419,3.1415926535897927,-3.141592653589793,2.4492935982947064e-16
1024,0.006135923151542565,-3.1415926535897922,-3.141592653589793,8.881784197001252e-16
