angle_deg,state,tr_F_rho_real
0.0,ket_0,0.165500410752544
0.0,ket_1,0.165500410752544
0.0,ket_plus,0.16550041075254399
0.0,ket_minus,0.16550041075254399
0.0,ket_plus_i,-0.07053571705463388
0.0,ket_minus_i,0.4015365385597218
15.0,ket_0,0.165500410752544
15.0,ket_1,0.165500410752544
15.0,ket_plus,0.2600407090111728
15.0,ket_minus,0.07096011249391512
15.0,ket_plus_i,-0.08298218344303968
15.0,ket_minus_i,0.4139830049481277
30.0,ket_0,0.165500410752544
30.0,ket_1,0.165500410752544
30.0,ket_plus,0.3481382421787061
30.0,ket_minus,-0.01713742067361812
30.0,ket_plus_i,-0.11947337649264553
30.0,ket_minus_i,0.45047419799773347
45.0,ket_0,0.165500410752544
45.0,ket_1,0.165500410752544
45.0,ket_plus,0.42378930895783345
45.0,ket_minus,-0.09278848745274551
45.0,ket_plus_i,-0.1775224817016686
45.0,ket_minus_i,0.5085233032067565
60.0,ket_0,0.165500410752544
60.0,ket_1,0.165500410752544
60.0,ket_plus,0.4818384141668565
60.0,ket_minus,-0.15083759266176855
60.0,ket_plus_i,-0.253173548480796
60.0,ket_minus_i,0.5841743699858839
75.0,ket_0,0.165500410752544
75.0,ket_1,0.165500410752544
75.0,ket_plus,0.5183296072164625
75.0,ket_minus,-0.18732878571137446
75.0,ket_plus_i,-0.3412710816483293
75.0,ket_minus_i,0.6722719031534172
90.0,ket_0,0.165500410752544
90.0,ket_1,0.165500410752544
90.0,ket_plus,0.5307760736048682
90.0,ket_minus,-0.19977525209978025
90.0,ket_plus_i,-0.4358113799069582
90.0,ket_minus_i,0.7668122014120461
