case_id,seed,n_sites,k_layers,dmu,dt,n_steps,gamma_deph,eta0,max_abs_residual,mean_abs_residual
0,20270226,5,3,0.3333333333333333,0.0125,40,0.7378353685304458,1.378444468558795,0.011380767530962066,0.001399551403601969
1,20270226,5,3,0.3333333333333333,0.025,20,0.7378353685304458,1.378444468558795,0.022409099804219457,0.002813425774579076
2,20270226,5,3,0.3333333333333333,0.05,10,0.7378353685304458,1.378444468558795,0.043455112718799815,0.005684137799887031
3,20270226,5,3,0.3333333333333333,0.1,5,0.7378353685304458,1.378444468558795,0.08183111100842433,0.011599280688339927
4,20271226,5,4,0.25,0.0125,40,0.7378353685304458,1.378444468558795,0.024706124648973815,0.0036966084107849127
5,20271226,5,4,0.25,0.025,20,0.7378353685304458,1.378444468558795,0.04850085065924159,0.007467152231373157
6,20271226,5,4,0.25,0.05,10,0.7378353685304458,1.378444468558795,0.09351539901307826,0.015222058631794983
7,20271226,5,4,0.25,0.1,5,0.7378353685304458,1.378444468558795,0.17435992679974976,0.03167849775453628
8,20272226,5,5,0.2,0.0125,40,0.7378353685304458,1.378444468558795,0.021594163951436762,0.0025970494254599157
9,20272226,5,5,0.2,0.025,20,0.7378353685304458,1.378444468558795,0.04245640441074516,0.005249191813864614
10,20272226,5,5,0.2,0.05,10,0.7378353685304458,1.378444468558795,0.0821029597244578,0.01071744210826901
11,20272226,5,5,0.2,0.1,5,0.7378353685304458,1.378444468558795,0.15390928203298337,0.02233519590022794
