case_id,seed,n_sites,k_layers,dmu,dt,n_steps,gamma_deph,eta0,max_abs_residual,mean_abs_residual
0,20270231,5,3,0.3333333333333333,0.015,60,0.7699607000165558,1.2909874353267905,0.012202454160596982,0.001397694796525614
1,20270231,5,3,0.3333333333333333,0.03,30,0.7699607000165558,1.2909874353267905,0.023839747505017023,0.0028241554726926347
2,20270231,5,3,0.3333333333333333,0.06,15,0.7699607000165558,1.2909874353267905,0.045533549296779025,0.005762501224330793
3,20270231,5,3,0.3333333333333333,0.12,7,0.7699607000165558,1.2909874353267905,0.08340089615208154,0.012749491709964887
4,20271231,5,4,0.25,0.015,60,0.7699607000165558,1.2909874353267905,0.015239201087467014,0.0019147286186494046
5,20271231,5,4,0.25,0.03,30,0.7699607000165558,1.2909874353267905,0.029931472180079577,0.003869906297387911
6,20271231,5,4,0.25,0.06,15,0.7699607000165558,1.2909874353267905,0.05775956937356308,0.007902643428790594
7,20271231,5,4,0.25,0.12,7,0.7699607000165558,1.2909874353267905,0.10778039874339551,0.017530615919644593
8,20272231,5,5,0.2,0.015,60,0.7699607000165558,1.2909874353267905,0.027470456287877254,0.0018088365695472822
9,20272231,5,5,0.2,0.03,30,0.7699607000165558,1.2909874353267905,0.053817000877600774,0.003656836049642515
10,20272231,5,5,0.2,0.06,15,0.7699607000165558,1.2909874353267905,0.1033440576549759,0.0074720458946659594
11,20272231,5,5,0.2,0.12,7,0.7699607000165558,1.2909874353267905,0.1911739604482533,0.016559301035632416
