angle_deg,state,tr_F_rho_real
0.0,ket_0,0.39320929917521097
0.0,ket_1,0.39320929917521097
0.0,ket_plus,0.39320929917521086
0.0,ket_minus,0.39320929917521086
0.0,ket_plus_i,0.41679616831097455
0.0,ket_minus_i,0.36962243003944717
15.0,ket_0,0.39320929917521097
15.0,ket_1,0.39320929917521097
15.0,ket_plus,0.5274626674847992
15.0,ket_minus,0.2589559308656225
15.0,ket_plus_i,0.3991213770634967
15.0,ket_minus_i,0.387297221286925
30.0,ket_0,0.39320929917521097
30.0,ket_1,0.39320929917521097
30.0,ket_plus,0.6525668906082703
30.0,ket_minus,0.13385170774215138
30.0,ket_plus_i,0.3473015111356052
30.0,ket_minus_i,0.4391170872148165
45.0,ket_0,0.39320929917521097
45.0,ket_1,0.39320929917521097
45.0,ket_plus,0.7599963224842636
45.0,ket_minus,0.026422275866158054
45.0,ket_plus_i,0.26486800875390837
45.0,ket_minus_i,0.5215505895965133
60.0,ket_0,0.39320929917521097
60.0,ket_1,0.39320929917521097
60.0,ket_plus,0.8424298248659605
60.0,ket_minus,-0.0560112265155388
60.0,ket_plus_i,0.15743857687791507
60.0,ket_minus_i,0.6289800214725066
75.0,ket_0,0.39320929917521097
75.0,ket_1,0.39320929917521097
75.0,ket_plus,0.8942496907938521
75.0,ket_minus,-0.10783109244343035
75.0,ket_plus_i,0.03233435375444382
75.0,ket_minus_i,0.7540842445959779
90.0,ket_0,0.39320929917521097
90.0,ket_1,0.39320929917521097
90.0,ket_plus,0.9119244820413299
90.0,ket_minus,-0.1255058836909082
90.0,ket_plus_i,-0.10191901455514446
90.0,ket_minus_i,0.8883376129055662
