sample,k,bond,dO_dt,div_x_j,src_deph,src_mu,residual,abs_residual
0,0,0,-0.23938700978378305,0.047540167315325094,-0.11677633889384398,-0.07507050357461398,0.0,0.0
0,0,1,-0.07630218173272885,-0.025334942251049965,-0.061866075468387086,-0.03977104851539171,0.0,0.0
0,0,2,-0.0020882778624806897,-0.02220522506427513,-0.014787349607590494,-0.009506153319165326,0.0,0.0
0,1,0,0.21328377951885238,-0.009587596127087202,0.08674890497824848,0.11694727841351671,-2.7755575615628914e-17,2.7755575615628914e-17
0,1,1,0.1246581841145537,0.0197285168919821,0.08654304646161665,0.05784365454491916,0.0,0.0
0,1,2,0.02997847302422192,-0.010140920764894899,-0.005879527890655755,0.02571708014998278,-3.469446951953614e-18,3.469446951953614e-18
0,2,0,-0.22589056401965762,-0.006512708892954113,-0.11054035063916819,-0.12186292227344354,0.0,0.0
0,2,1,0.12225715482886679,-0.03000760333910346,0.07448603851576825,0.017763512973995067,0.0,0.0
0,2,2,-0.0887173808876571,0.036520312232057574,-0.03892409635550907,-0.013272972300090445,-6.938893903907228e-18,6.938893903907228e-18
0,3,0,0.15471475221122144,-0.0110917240926765,0.09621180789012873,0.04741122022841621,0.0,0.0
0,3,1,-0.07036379662535376,0.013101853733187781,-0.04493897351693876,-0.012322969375227217,0.0,0.0
0,3,2,0.006751961781891974,-0.0020101296405112823,-0.0025026517693665967,0.007244483910747288,0.0,0.0
1,0,0,-0.061423745488600544,0.005562544677232193,-0.03400247005909378,-0.02185873075227457,0.0,0.0
1,0,1,-0.14969268099140023,-0.09840857826411561,-0.15101815780770533,-0.09708310144781053,0.0,0.0
1,0,2,0.06366590418280947,0.09284603358688343,0.09526813603372612,0.06124380173596679,0.0,0.0
1,1,0,-0.002449177003701057,-0.00402213244789087,-0.05540512105471197,0.04893381160312005,-1.734723475976807e-18,1.734723475976807e-18
1,1,1,0.23401866829127216,0.00959972564063439,0.06841254447375295,0.17520584945815362,-2.7755575615628914e-17,2.7755575615628914e-17
1,1,2,-0.0010272005649744542,-0.0055775931927435195,0.044606152079859684,-0.05121094583757766,2.6020852139652106e-18,2.6020852139652106e-18
1,2,0,0.01134367430435651,-0.00150600540258726,-0.001709695542657035,0.01154736444442628,5.204170427930421e-18,5.204170427930421e-18
1,2,1,-0.32053985412944586,-0.058813760814876964,-0.22440139540541537,-0.15495221953890748,0.0,0.0
1,2,2,-0.555978734526175,0.060319766217464224,-0.2903192468967516,-0.20533972141195925,5.551115123125783e-17,5.551115123125783e-17
1,3,0,-0.016053523023535528,-0.0005522457609770506,0.0005659502639791074,-0.017171719048491685,-3.469446951953614e-18,3.469446951953614e-18
1,3,1,0.07386125270788985,0.0006278155018230673,-0.003088721532416371,0.07757778974212928,1.3877787807814457e-17,1.3877787807814457e-17
1,3,2,0.14436944457946457,-7.556974084601664e-05,0.00033567427985305186,0.14395820055876551,-2.7755575615628914e-17,2.7755575615628914e-17
2,0,0,-0.15458246794360417,0.0026030109061557327,-0.09250923471844688,-0.05947022231900155,-2.7755575615628914e-17,2.7755575615628914e-17
2,0,1,-0.28564210521735267,0.07865802051684356,-0.12599031242639686,-0.08099377227411225,0.0,0.0
2,0,2,0.07357770467087048,-0.0812610314229993,-0.004676807588252331,-0.003006519163876508,1.734723475976807e-17,1.734723475976807e-17
2,1,0,-0.06695664766654637,0.0008593616400828837,-0.08735366152918884,0.021256375502725352,0.0,0.0
2,1,1,0.30370667836108267,-0.034961037623292494,0.10067052698834963,0.16807511374944056,0.0,0.0
2,1,2,0.13472927976630028,0.03410167598320961,0.10184389083605958,0.06698706491345033,0.0,0.0
2,2,0,-0.2424205799070985,-0.042126581404346546,-0.21853696725509208,-0.06601019405635296,0.0,0.0
2,2,1,-0.43822461452279493,0.1563072784202152,-0.16055938727612745,-0.1213579488264523,0.0,0.0
2,2,2,-0.18149966055589234,-0.11418069701586865,-0.15376492145649218,-0.14191543611526886,5.551115123125783e-17,5.551115123125783e-17
2,3,0,0.11715370515223503,0.0032620434223210194,0.04254370292652771,0.07787204564802833,1.3877787807814457e-17,1.3877787807814457e-17
2,3,1,-0.030783320020752514,0.037404990610830295,-0.08706178274070102,0.0936834533307788,6.938893903907228e-18,6.938893903907228e-18
2,3,2,0.20797925634473935,-0.04066703403315131,0.0631786221840917,0.10413360012749634,0.0,0.0
3,0,0,-0.4143631805260237,-0.04983138080828009,-0.2825532112469676,-0.18164135008733626,0.0,0.0
3,0,1,0.2535228980860842,-0.04625347314285387,0.1261639977915315,0.0811054271516988,0.0,0.0
3,0,2,-0.3713252999644471,0.09608485395113396,-0.1675376627907123,-0.10770278322260075,-5.551115123125783e-17,5.551115123125783e-17
3,1,0,0.12157240035304219,0.03728903816616891,-0.005288690867245634,0.16415012938645673,-2.7755575615628914e-17,2.7755575615628914e-17
3,1,1,-0.03752877373059217,-0.042364699561837665,-0.04431720698677066,-0.035576266305659174,0.0,0.0
3,1,2,0.20037709014044902,0.005075661395668757,0.09594739651841547,0.10950535501770234,-2.7755575615628914e-17,2.7755575615628914e-17
3,2,0,-0.29614804194471855,-0.07666862128788994,-0.22498858989036274,-0.14782807334224576,5.551115123125783e-17,5.551115123125783e-17
3,2,1,0.05660508984165852,0.08649910518830972,0.09296704234119223,0.05013715268877603,0.0,0.0
3,2,2,0.16775219446986395,-0.009830483900419788,0.13089272858912143,0.02702898198032275,-2.7755575615628914e-17,2.7755575615628914e-17
3,3,0,0.13117754366413903,0.0007470425529946727,-0.0043870904519804,0.1363116766691141,2.7755575615628914e-17,2.7755575615628914e-17
3,3,1,-0.01674093852912213,-0.0011152753346857155,0.004825160663219059,-0.022681374527026905,3.469446951953614e-18,3.469446951953614e-18
3,3,2,-0.08399415434709799,0.00036823278169104297,-0.001794620234894931,-0.08183130133051202,0.0,0.0
4,0,0,-0.0007803444132034353,0.00014358820453408178,-0.0003875907357117807,-0.000249165472957573,2.168404344971009e-19,2.168404344971009e-19
4,0,1,0.007719588118079535,0.0006162679981641668,0.005073999375104862,0.0032618567411388396,0.0,0.0
4,0,2,0.0065145124799635195,-0.0007598562026982485,0.0035028342557266866,0.0022518220215385844,0.0,0.0
4,1,0,0.16768928213499468,-0.0015518802745690579,0.10214884408636402,0.06398855777406162,-2.7755575615628914e-17,2.7755575615628914e-17
4,1,1,0.059478760272034525,0.032912817339783455,0.058651856223325326,0.033739721388492655,0.0,0.0
4,1,2,-0.0994947980901908,-0.031360937065214395,-0.07825343227617337,-0.0526023028792318,-2.7755575615628914e-17,2.7755575615628914e-17
4,2,0,-0.1883317607396979,0.002953133358123084,-0.08298509157478969,-0.10239353580678515,2.7755575615628914e-17,2.7755575615628914e-17
4,2,1,0.11131122420832773,-0.00501561901505326,0.08399463792603278,0.022300967267241695,0.0,0.0
4,2,2,0.04069548591334947,0.002062485656930176,-0.015618906008090173,0.058376877578369825,-6.938893903907228e-18,6.938893903907228e-18
4,3,0,0.4873760630411923,0.021119754548292097,0.4711895912193166,0.03730622637016776,0.0,0.0
