eta0,sample,k,bond,abs_src_mu,coh_layer_mean,coh_sum,absLambda_sum
0.5,0,0,0,0.0040776334341888956,0.45151648291414587,0.8188327057468106,0.16279947640938958
0.5,0,0,1,0.0015440049528552572,0.45151648291414587,0.9962311899869126,0.31964788143439343
0.5,0,0,2,0.0031964663096413428,0.45151648291414587,0.9872332259097731,0.5873449824094441
0.5,0,1,0,0.07115987897093742,0.4387260781299318,0.9706201020757388,0.2076031005504881
0.5,0,1,1,0.005108184687722835,0.4387260781299318,0.9661447376335326,0.38893776211932973
0.5,0,1,2,0.027392288423405915,0.4387260781299318,0.7842842104439882,0.5276330024793008
0.5,0,2,0,0.0714453332059995,0.2884534008135042,0.682890386670872,0.3408041126703229
0.5,0,2,1,0.01494255980340967,0.2884534008135042,0.5591138449759089,0.1962516869940826
0.5,0,2,2,0.035791794592673565,0.2884534008135042,0.47092321658314473,0.29985449721372454
0.5,0,3,0,0.051163883642385985,0.4839037825848065,0.9412886664735257,0.27400818055784587
0.5,0,3,1,0.03659863711342004,0.4839037825848065,0.9398721961200109,0.2769782132229218
0.5,0,3,2,0.00347711988950923,0.4839037825848065,0.9943264638657001,0.5329876414058031
0.5,0,4,0,0.04481577518797128,0.42115470885195155,0.8199097230124011,0.7167990256573211
0.5,0,4,1,0.04026297375929213,0.42115470885195155,0.848060899005016,0.8869856848738644
0.5,0,4,2,0.040310896548000616,0.42115470885195155,0.8647091123954053,0.8778304572234306
0.5,1,0,0,0.04151421908646438,0.36323569581312726,0.7455216581480725,0.1613341162581039
0.5,1,0,1,0.04136062022677412,0.36323569581312726,0.7778221238343301,0.1528536003244218
0.5,1,0,2,0.006954611460820912,0.36323569581312726,0.7074211251044364,0.48825224603132467
0.5,1,1,0,0.011500420232729578,0.41650934863242844,0.7436627896814761,0.34681286359704344
0.5,1,1,1,0.04439136195952352,0.41650934863242844,0.8601211471565403,0.2863156474704412
0.5,1,1,2,0.04993775616144444,0.41650934863242844,0.9223746048482375,0.41519200539407264
0.5,1,2,0,0.043877051610314945,0.4393845583253686,0.9273284830042816,0.15434453385131974
0.5,1,2,1,0.03610203388596299,0.4393845583253686,0.7581945197639168,0.0556559034929564
0.5,1,2,2,0.02692690781872424,0.4393845583253686,0.8302097502971928,0.28210456998515937
0.5,1,3,0,0.019077349156307252,0.4670901893015493,0.8857677251818522,0.022211065176603324
0.5,1,3,1,0.034543554450588584,0.4670901893015493,0.9653486660562375,0.07192323270967727
0.5,1,3,2,0.029755511015668257,0.4670901893015493,0.9825930320243448,0.3593224292619774
0.5,1,4,0,0.017511855117970584,0.4672376954864734,0.9014612362506389,0.5196140643315097
0.5,1,4,1,0.0435795218468893,0.4672376954864734,0.9679040866979803,0.6386987720735061
0.5,1,4,2,0.024633777892722274,0.4672376954864734,0.9674895456952549,0.7106541470485603
0.5,2,0,0,0.014202988572868893,0.3525793928948251,0.7052324558932649,0.15444734253792594
