profile,scale,phi_total,phi_target,Lambda_numerical,Lambda_theory,rel_error,rel_error_pct
constant,-1.0216413750207238,-1.2791943702568427,-1.27919437025684,-0.17131803457397096,-0.1713180345739708,9.720719368973823e-16,9.720719368973824e-14
gaussian,-1.5740290455890418,-1.2791943702568402,-1.27919437025684,-0.17131803457397077,-0.17131803457397068,4.860359684486915e-16,4.8603596844869145e-14
oscillating,-4.299104676215698,-1.2791943702568402,-1.27919437025684,-0.1713180345739707,-0.17131803457397068,1.6201198948289717e-16,1.6201198948289718e-14
