model,q_extreme,ridge_alpha,cv_gain_all_median,cv_gain_all_mean,cv_gain_extreme_median,cv_gain_extreme_mean,cv_gain_non_extreme_median,cv_score_mean,cv_score_std,cv_extreme_positive_frac,cv_overall_positive_frac,seed,complexity
vertical_global,0.88,0.1,9.51343553088543e-05,0.0010156261432796795,0.0004334023721771404,0.002157142503193733,0.0019235227181261037,0.0023099116451959193,0.005213614299319253,0.5,0.5,20260301,2
horizontal_global,0.88,0.1,0.00023239576618166703,0.0008985721084395449,0.0003635621298348615,0.0018848501503350697,0.0013705454414286943,0.0020294821986405866,0.005365134859348633,0.5,0.5,20260301,2
vertical_regime,0.85,0.1,0.12159608198112545,0.1379871854227599,0.3338887323644627,0.2763839136403683,0.036796542485314485,0.3038175336069809,0.14985129273635228,0.8333333333333334,1.0,20260301,5
horizontal_regime,0.85,0.1,0.12232108427147217,0.1383113561504651,0.33420195013936105,0.27652096950307836,0.0368239875967065,0.3042239378523121,0.14961243035022306,0.8333333333333334,1.0,20260301,5
