model,q_extreme,ridge_alpha,cv_gain_all_median,cv_gain_all_mean,cv_gain_extreme_median,cv_gain_extreme_mean,cv_gain_non_extreme_median,cv_score_mean,cv_score_std,cv_extreme_positive_frac,cv_overall_positive_frac,seed,complexity
vertical_global,0.85,1e-06,9.508298701942834e-05,0.0010155663373923821,0.0012435727070280972,0.001206854470545895,0.001537387915223795,0.0017396790197199193,0.005173722109170273,0.6666666666666666,0.5,20260301,2
vertical_global,0.85,3e-06,9.508298804684044e-05,0.001015566338588533,0.0012435727111071114,0.0012068544698083047,0.0015373879250417367,0.001739679020473516,0.005173722102027168,0.6666666666666666,0.5,20260301,2
vertical_global,0.85,1e-05,9.508299164285151e-05,0.0010155663427751024,0.001243572725382777,0.0012068544672262703,0.0015373879594048818,0.0017396790231108642,0.005173722077026608,0.6666666666666666,0.5,20260301,2
vertical_global,0.85,3e-05,9.508300191709727e-05,0.0010155663547365358,0.0012435727661706797,0.001206854459849258,0.0015373880575849969,0.00173967903064609,0.005173722005596392,0.6666666666666666,0.5,20260301,2
vertical_global,0.85,0.0001,9.508303787627252e-05,0.00101556639660169,0.0012435729089284246,0.001206854434029231,0.0015373884012155805,0.0017396790570192286,0.005173721755591003,0.6666666666666666,0.5,20260301,2
vertical_global,0.85,0.0003,9.508314061743408e-05,0.001015566516216354,0.0012435733168076983,0.0012068543602580103,0.0015373893830171192,0.00173967913237116,0.005173721041289494,0.6666666666666666,0.5,20260301,2
vertical_global,0.85,0.001,9.50835002112653e-05,0.0010155669348675584,0.0012435747443843136,0.0012068541020587974,0.0015373928193219036,0.001739679396102837,0.005173718541236159,0.6666666666666666,0.5,20260301,2
vertical_global,0.85,0.003,9.508452762098857e-05,0.00101556813101376,0.0012435788231712683,0.0012068533643490242,0.001537402637325316,0.0017396801496231747,0.005173711398238857,0.6666666666666666,0.5,20260301,2
vertical_global,0.85,0.01,9.508812354452033e-05,0.0010155723175200003,0.0012435930988784988,0.0012068507823876154,0.0015374370002196997,0.0017396827869525693,0.00517368639789331,0.6666666666666666,0.5,20260301,2
vertical_global,0.85,0.03,9.50983975165988e-05,0.0010155842789200756,0.0012436338862177117,0.0012068434055509988,0.0015375351789094036,0.0017396903222506744,0.005173614969578713,0.6666666666666666,0.5,20260301,2
vertical_global,0.85,0.1,9.51343553088543e-05,0.0010156261432796795,0.001243776637285235,0.0012068175889127404,0.0015378787925635897,0.0017397166966273238,0.0051733649849874455,0.6666666666666666,0.5,20260301,2
vertical_global,0.88,1e-06,9.508298701942834e-05,0.0010155663373923821,0.000433336190138881,0.002157174865554951,0.0019230925134141688,0.0023098712567253526,0.0052140581849738025,0.5,0.5,20260301,2
vertical_global,0.88,3e-06,9.508298804684044e-05,0.001015566338588533,0.0004333361914627571,0.0021571748649077786,0.0019230925220185733,0.0023098712575332,0.00521405817609546,0.5,0.5,20260301,2
vertical_global,0.88,1e-05,9.508299164285151e-05,0.0010155663427751024,0.0004333361960958624,0.0021571748626421686,0.001923092552134471,0.0023098712603604036,0.005214058145021627,0.5,0.5,20260301,2
vertical_global,0.88,3e-05,9.508300191709727e-05,0.0010155663547365358,0.0004333362093332917,0.0021571748561689187,0.0019230926381793032,0.0023098712684378867,0.0052140580562391155,0.5,0.5,20260301,2
vertical_global,0.88,0.0001,9.508303787627252e-05,0.00101556639660169,0.00043333625566247734,0.0021571748335122154,0.0019230929393370525,0.0023098712967090187,0.005214057745499982,0.5,0.5,20260301,2
vertical_global,0.88,0.0003,9.508314061743408e-05,0.001015566516216354,0.00043333638803423125,0.0021571747687798314,0.001923093799787325,0.0023098713774842524,0.005214056857674405,0.5,0.5,20260301,2
vertical_global,0.88,0.001,9.50835002112653e-05,0.0010155669348675584,0.00043333685133357854,0.0021571745422161973,0.0019230968113624744,0.0023098716601972764,0.005214053750286243,0.5,0.5,20260301,2
vertical_global,0.88,0.003,9.508452762098857e-05,0.00101556813101376,0.0004333381750443977,0.00215717389489304,0.001923105415853927,0.002309872467949584,0.005214044872046167,0.5,0.5,20260301,2
vertical_global,0.88,0.01,9.508812354452033e-05,0.0010155723175200003,0.00043334280801317896,0.0021571716292849872,0.0019231355314718091,0.0023098752950909927,0.005214013798350115,0.5,0.5,20260301,2
vertical_global,0.88,0.03,9.50983975165988e-05,0.0010155842789200756,0.0004333560449068951,0.002157165156313926,0.0019232215752192756,0.002309883372708431,0.00521392501759316,0.5,0.5,20260301,2
vertical_global,0.88,0.1,9.51343553088543e-05,0.0010156261432796795,0.0004334023721771404,0.002157142503193733,0.0019235227181261037,0.0023099116451959193,0.005213614299319253,0.5,0.5,20260301,2
vertical_global,0.9,1e-06,9.508298701942834e-05,0.0010155663373923821,0.0014836954465842075,0.0014573436814679732,0.0014294995952331764,0.001889972546273166,0.0052931629909544935,0.6666666666666666,0.5,20260301,2
vertical_global,0.9,3e-06,9.508298804684044e-05,0.001015566338588533,0.0014836954469686946,0.0014573436817804715,0.0014294996039619318,0.0018899725476568161,0.0052931629823336785,0.6666666666666666,0.5,20260301,2
vertical_global,0.9,1e-05,9.508299164285151e-05,0.0010155663427751024,0.0014836954483147932,0.001457343682874238,0.00142949963451275,0.0018899725524996452,0.005293162952161447,0.6666666666666666,0.5,20260301,2
vertical_global,0.9,3e-05,9.508300191709727e-05,0.0010155663547365358,0.0014836954521603954,0.0014573436859992015,0.0014294997218011764,0.0018899725663360564,0.00529316286595475,0.6666666666666666,0.5,20260301,2
