case_id,omega,Delta_mu,beta,r_amp,alpha_state,max_rel_error,median_rel_error
0,0.4802976347719318,3.839299937229617,0.15019592202019572,0.15937655613224277,0.8109471760372682,1.8109542986074989e-16,0.0
1,0.06820605707832848,3.2639723353587877,-0.4966567438158671,0.7721082533991319,0.9844684033242397,1.7663101511031228e-16,0.0
2,0.9687594593992102,2.9726402049384753,0.42393029054455533,0.930424382501513,0.4239738803735554,6.147281666724459e-16,3.0736408333622296e-16
3,0.7216084970007038,3.1235250163401704,-0.27477036169986324,0.4086315562543957,1.520501934409148,1.0901489537010965e-15,2.180297907402193e-16
4,0.3927974157424054,3.0456945753367757,-0.4015556067743292,0.22097404759845898,1.1349868096022468,5.289866673972582e-16,8.81644445662097e-17
5,0.37660273084930096,2.4851438177042624,-0.22290743170230032,0.3839616831961522,0.529991849282539,4.116814173155509e-16,2.0584070865777546e-16
6,0.8322572845961,0.8709552187712292,0.4524246971140916,0.5506737489926741,0.5621562852363753,1.685622307562069e-16,8.428111537810345e-17
7,0.16798098711337148,0.27607835697605504,-0.4617159437767856,0.1596548789838503,0.8965604029215869,2.4028908920705484e-16,1.2014454460352742e-16
8,0.1370421604175226,1.8182807750759515,0.4587762398845894,0.727104934620525,0.23673212553419956,1.6973574668313562e-16,1.6973574668313562e-16
9,0.782427427269497,2.8147184764890425,-0.10363368757774472,0.5154020906007455,0.965909062829277,7.131784898050005e-16,1.426356979610001e-16
10,0.34148955472557596,0.4012962883985032,-0.2692494564456642,0.6581127431432886,0.08797314144825351,4.409308752624274e-16,2.204654376312137e-16
11,0.3023679489216114,1.283684906584237,0.33533317612323954,0.3764312593021715,0.38770946148723284,2.7830629047787513e-16,2.0872971785840635e-16
12,0.2868447410726552,1.3146232510281168,0.46069692894935244,0.9239242101569022,1.4943075940189665,1.3384908204669522e-16,1.3384908204669522e-16
13,1.0849522865046002,0.8074759864715838,0.4193823582834726,0.3963316191467389,1.5033133686642397,1.6936942370038667e-16,1.6936942370038667e-16
14,0.4712436989578992,3.014732543600051,0.13379154539395932,0.5828858035631633,0.512637526749396,4.506875942920321e-16,1.1267189857300803e-16
15,0.1139775267922321,2.1967046414785907,-0.18577962359187528,0.8660091218547159,0.9162351120863788,4.017415521547821e-16,1.339138507182607e-16
16,0.30017635217878263,1.699176988054551,-0.4428287766817025,0.725817335263156,0.8526946614886614,1.5808112815306788e-16,0.0
17,0.20595582900838347,3.943046131523457,-0.404825718810666,0.9452547532793617,0.4161077732287806,4.3774673545621494e-16,2.1887336772810747e-16
18,0.3748948039995532,3.122513374499276,-0.0945799403895321,0.3856848121431496,0.7900036330495205,3.125656183732144e-16,1.562828091866072e-16
19,1.124286802101523,3.5864138726380816,0.31232617482731406,0.6236094302373438,1.2134625575457771,3.494247177214332e-16,2.620685382910749e-16
20,0.9250224972264426,1.520737757008567,0.46036218935341977,0.3672852380750033,1.1079346119459166,3.834441029893359e-16,1.9172205149466796e-16
21,1.1889362602408855,0.32021160137535076,0.07953855682221989,0.6792301689610907,0.053662065900035805,3.8498863839333234e-16,1.2832954613111079e-16
22,0.11946843306825855,3.904480772252558,-0.4557941458241246,0.9503548908190608,0.6463551249782556,1.350693071313236e-16,0.0
23,1.104834851000035,1.2600045094263392,-0.14496695831363415,0.26355314638978916,0.08652646312580421,3.107523408930532e-16,7.76880852232633e-17
24,1.1972497524865788,2.984532934669137,-0.38253090688504565,0.05839237667236128,1.4505638977741344,2.9817148060529647e-16,1.4908574030264824e-16
25,0.3482567186421657,1.6108458037817426,-0.36794690474328484,0.4624279810714972,1.5028867561124597,2.083007665074896e-16,1.041503832537448e-16
26,0.4349304836563852,3.2879570359375743,0.2695137951393922,0.22577702730827975,0.2898923018547591,4.53273880034341e-16,1.1331847000858526e-16
27,0.5777215036792158,3.8389469192687025,-0.3678604910405564,0.21162028168841804,0.8149429356256338,4.940167971386719e-16,3.2934453142578125e-16
28,0.9253892734786792,1.0308176550980803,0.3755153143792749,0.4358959728132956,1.1174501850339842,5.947904144052039e-16,9.913173573420065e-17
29,1.158482641363521,2.106203437223582,-0.20221160816476447,0.6362355753938962,1.4273650523937034,1.4332766308068654e-15,4.777588769356218e-16
30,0.11312522671021515,1.4830867554264662,-0.012501677150946633,0.30901496626894676,1.2026957235494624,4.0051836175188824e-16,1.0012959043797206e-16
31,0.23195448292272536,1.411345947565737,-0.110294309923342,0.3177651492630113,0.8202901639084148,1.361511028282611e-16,1.361511028282611e-16
32,0.8755640600187777,3.93153693604705,-0.036342398454325964,0.7874473893607141,1.23861670913188,1.1580087136885313e-15,3.8600290456284374e-16
33,0.19869944971328637,0.6190525820387954,-0.19964682201913808,0.27961451177621793,0.572550448967351,3.331143123323948e-16,1.1103810411079828e-16
34,0.9637045150249557,0.848650300385183,0.11612479128255915,0.633972822372316,0.32634647581038584,1.9758599590247404e-16,1.9758599590247404e-16
35,0.8053167015911918,2.2473735932912025,-0.47359446416306195,0.32352850916590603,0.8475689743040314,5.33929473871889e-16,1.7797649129062967e-16
36,0.4573136003712661,2.568390481385981,0.1764696840944281,0.061615926289445094,1.072968576173391,4.3643627978324723e-16,0.0
37,0.1905875815394977,1.7859900825272395,-0.16278084710064833,0.9371010373898538,0.7580024951400947,7.108066939051672e-16,2.665525102144377e-16
38,0.5930962858295299,1.4288496498153527,-0.2507271818383733,0.7921591875820946,0.9486806606301392,5.92209537299699e-16,1.9740317909989968e-16
39,1.043550356888449,1.9306407599042237,-0.19694801112595095,0.7305924713388757,0.5523008808712827,3.7674887608280375e-16,9.418721902070094e-17
40,1.062673312964131,2.4969950798223612,-0.4973334802818369,0.6554935214372594,0.8455590790460598,5.457038552599688e-16,9.095064254332812e-17
41,1.1335081482748104,1.5020841131103932,-0.015224482638676595,0.41878499761328836,0.08809220551418515,5.721590437665387e-16,1.9071968125551286e-16
42,1.0979235848981759,3.1153564621951686,0.058467773472501094,0.506356288292881,0.9855310153171759,8.649998175485931e-16,4.3249990877429656e-16
43,0.912515510850134,3.1083797611280666,0.424907948788953,0.19375330663478088,0.7518011865196624,2.389476907622093e-15,4.778953815244186e-16
44,0.09010280358982786,1.0822531122662216,-0.08777299509245373,0.5036192829018886,1.2409751540229812,2.3092247765309656e-16,1.1546123882654828e-16
45,0.6109524542249868,2.7276824789313014,-0.10937432434255501,0.7669243604537052,0.39650730338974155,6.123539442015637e-16,2.0411798140052121e-16
46,0.6005368525469909,1.4922528417983458,0.10944199318619363,0.892658325241324,0.08585621772496221,2.330170032024134e-16,1.165085016012067e-16
47,0.9572656540605948,3.13022647598996,-0.41538956070927713,0.0967658662460252,0.1698599692410649,4.463851864035291e-15,1.2089598798428913e-15
48,0.3906590599950276,0.8670202241950933,-0.27033252694619847,0.675272158968767,0.9130817500515568,6.392453665422389e-16,6.392453665422389e-17
49,0.8312927911185456,3.5182334940965774,0.3744891339005315,0.871569468480367,0.28428921453041617,1.0992729897666446e-15,2.7481824744166114e-16
50,0.6196631109852583,1.6839399793894168,0.395355333451508,0.47262241353092055,1.2479850939790063,4.517785835882433e-16,5.647232294853041e-17
51,0.1345517076351348,2.5390840256951908,-0.3911390596584031,0.3040931523548421,0.31717406815932203,3.447622676455677e-16,1.149207558818559e-16
52,0.9332051089977899,3.4129305639534855,0.026007907612694003,0.23976036455990174,1.1522764950477653,6.291430828113642e-15,2.8086744768364476e-15
53,1.1853336250758264,0.7788026073200839,0.0880353539295251,0.7962291663389374,0.6159666894557335,3.7076447153944063e-16,0.0
54,0.46616113951243243,2.57101837574781,-0.49939238225086835,0.15986683976135738,0.14368472983027925,1.644006069219056e-16,1.644006069219056e-16
55,0.5806760395707238,1.0154582445555504,-0.30963876887563146,0.050958390583733464,0.934124803738324,3.841826788786616e-16,1.2806089295955387e-16
56,0.8957153488650742,3.337481316880681,0.12938135255502803,0.41590764868374075,0.7236150005627094,2.883825715645642e-15,8.873309894294283e-16
57,0.43829305070453967,1.3425703086151028,-0.18585505439279704,0.5355253753437927,0.06838114172643284,5.13661668897464e-16,1.7122055629915466e-16
58,0.925776083180951,2.72899596273545,-0.4898787621500431,0.7768816028248618,0.36289865946015676,7.461973278752335e-16,9.327466598440419e-17
59,0.6452385410255029,0.630805425502231,-0.33525988439389254,0.39382402162179475,0.8358476468810033,3.578779458640728e-16,1.789389729320364e-16
60,1.0687426714571038,1.7271649312101136,0.110337612302423,0.6599806320924161,1.4984401870718445,4.545345287792688e-16,7.575575479654481e-17
61,0.09456089962162739,3.136748777775189,0.2647910848775874,0.1450083328775025,1.0044177716624132,3.615710491933645e-16,9.039276229834113e-17
62,0.535270179949838,1.0914239112298048,-0.3307596492608563,0.38053011183949664,0.6535743194680087,1.3698027287337115e-16,0.0
63,0.8855330193420924,3.27297331396527,0.269254640610572,0.31717629457595015,0.3378253974937646,1.161789032037604e-15,2.1783544350705075e-16
64,0.19599003158974615,3.4628407789997926,0.06195054882845663,0.6995550173179221,0.23612792846672245,2.7787329137932124e-16,1.3893664568966062e-16
65,0.9439048813985726,0.5094941950309997,-0.3675681776922495,0.06739413400216998,0.8972492610127645,2.2826043265980543e-16,2.2826043265980543e-16
66,0.19324456980006868,0.9233687384985719,-0.27240661482061357,0.8558148643567419,1.3351804059340124,2.01244613499468e-16,0.0
67,0.7722062385157038,1.7022846674104357,-0.30729204275486754,0.531576860179051,1.4481652916136065,2.222991429861695e-16,1.1114957149308475e-16
68,0.5505255085183282,0.32774163206510193,0.2190689236266271,0.6125843392050967,0.20506520087477723,3.166113891903708e-16,2.374585418927781e-16
69,0.3693867490180777,1.7915218901174998,-0.16227620216427818,0.9030057365581586,0.6703510567681942,2.05489819775453e-16,2.05489819775453e-16
70,0.9561497664701658,0.38140824063216605,-0.15857949778181524,0.6441659260197213,1.3350028246426064,5.318542193130401e-16,1.9944533224239005e-16
71,0.7901633549673479,0.7036992244181137,-0.22799752107512372,0.7240410813943494,0.644213867144613,3.024865215170724e-16,1.512432607585362e-16
72,1.0385622242004593,0.9152290271470622,-0.1321727570992426,0.33622753437155883,0.44778267943289163,1.299674683249951e-16,0.0
73,1.083331329645421,0.47913109055637626,0.10980669223258122,0.7634199378017201,1.2615320990530459,5.055973345131806e-16,1.8959900044244272e-16
74,0.1866453275545469,3.1751111431396337,-0.3668416161918282,0.8301581807508766,0.3925706470135052,5.08061321068719e-16,2.5403066053435948e-16
75,0.21314369866329788,1.0991198665666286,-0.3660784866397143,0.4639921874163122,0.12345975166026542,2.635776400372378e-16,1.317888200186189e-16
76,1.1326708022399734,1.4854650359048378,0.16006794343844977,0.11778191498985459,0.0628801881473416,3.544799655958567e-16,1.1815998853195222e-16
77,0.06726595478732922,1.5662776564000043,0.23806616857742258,0.33114437451428635,0.9313981145132424,2.080638512984562e-16,2.080638512984562e-16
78,0.07705051991900196,1.9186206833322705,0.48481385856156356,0.45181643890478645,0.35294491855158994,3.2145860877158664e-16,0.0
