angle_deg,state,tr_F_rho_real
0.0,ket_0,0.2061672091857394
0.0,ket_1,0.2061672091857394
0.0,ket_plus,0.20616720918573933
0.0,ket_minus,0.20616720918573933
0.0,ket_plus_i,0.04154739192536808
0.0,ket_minus_i,0.3707870264461106
15.0,ket_0,0.2061672091857394
15.0,ket_1,0.2061672091857394
15.0,ket_plus,0.31148863439994356
15.0,ket_minus,0.10084578397153512
15.0,ket_plus_i,0.02768156324645396
15.0,ket_minus_i,0.3846528551250247
30.0,ket_0,0.2061672091857394
30.0,ket_1,0.2061672091857394
30.0,ket_plus,0.40963257853768437
30.0,ket_minus,0.0027018398337942946
30.0,ket_plus_i,-0.012970989480185657
30.0,ket_minus_i,0.4253054078516643
45.0,ket_0,0.2061672091857394
45.0,ket_1,0.2061672091857394
45.0,ket_plus,0.4939106939965111
45.0,ket_minus,-0.08157627562503243
45.0,ket_plus_i,-0.07763986196775025
45.0,ket_minus_i,0.4899742803392289
60.0,ket_0,0.2061672091857394
60.0,ket_1,0.2061672091857394
60.0,ket_plus,0.5585795664840757
60.0,ket_minus,-0.14624514811259703
60.0,ket_plus_i,-0.161917977426577
60.0,ket_minus_i,0.5742523957980556
75.0,ket_0,0.2061672091857394
75.0,ket_1,0.2061672091857394
75.0,ket_plus,0.5992321192107154
75.0,ket_minus,-0.18689770083923668
75.0,ket_plus_i,-0.26006192156431784
75.0,ket_minus_i,0.6723963399357965
90.0,ket_0,0.2061672091857394
90.0,ket_1,0.2061672091857394
90.0,ket_plus,0.6130979478896295
90.0,ket_minus,-0.2007635295181508
90.0,ket_plus_i,-0.3653833467785221
90.0,ket_minus_i,0.7777177651500007
