case_id,seed,n_sites,k_layers,dmu,dt,n_steps,gamma_deph,eta0,max_abs_residual,mean_abs_residual
0,20270227,5,3,0.3333333333333333,0.015,40,0.705503194979049,0.9070213758334623,0.021021798725312735,0.0027198955697284627
1,20270227,5,3,0.3333333333333333,0.03,20,0.705503194979049,0.9070213758334623,0.04126322818284578,0.005492869186667981
2,20270227,5,3,0.3333333333333333,0.06,10,0.705503194979049,0.9070213758334623,0.07953948465299554,0.011192996791698795
3,20270227,5,3,0.3333333333333333,0.12,5,0.705503194979049,0.9070213758334623,0.1482071253226176,0.023166964918276696
4,20271227,5,4,0.25,0.015,40,0.705503194979049,0.9070213758334623,0.007422744176713625,0.0016509350407781626
5,20271227,5,4,0.25,0.03,20,0.705503194979049,0.9070213758334623,0.014592096509818603,0.003327097878447811
6,20271227,5,4,0.25,0.06,10,0.705503194979049,0.9070213758334623,0.02821762377321896,0.006754839101477848
7,20271227,5,4,0.25,0.12,5,0.705503194979049,0.9070213758334623,0.054102255616514605,0.013912319298195006
8,20272227,5,5,0.2,0.015,40,0.705503194979049,0.9070213758334623,0.011152765595211445,0.002192024550714095
9,20272227,5,5,0.2,0.03,20,0.705503194979049,0.9070213758334623,0.021932534944815507,0.004421583730021918
10,20272227,5,5,0.2,0.06,10,0.705503194979049,0.9070213758334623,0.04242418396621167,0.008991608016579446
11,20272227,5,5,0.2,0.12,5,0.705503194979049,0.9070213758334623,0.07949361671074434,0.018563764694125785
