x,k,lambda_before,lambda_after,delta_lambda,abs_delta_lambda
2,2,-0.03495276495325881,-0.03495276495325882,-1.3877787807814457e-17,1.3877787807814457e-17
3,26,-0.10209962800550902,-0.10209962800550906,-4.163336342344337e-17,4.163336342344337e-17
4,6,0.02137678173163496,0.02137678173163498,2.0816681711721685e-17,2.0816681711721685e-17
7,3,-0.0036220263198017723,-0.0036220263198017775,-5.204170427930421e-18,5.204170427930421e-18
5,1,0.04866847039343123,0.04866847039343121,-2.0816681711721685e-17,2.0816681711721685e-17
0,24,0.053578937380097384,0.05357893738009739,6.938893903907228e-18,6.938893903907228e-18
4,14,-0.02985767656920263,-0.02985767656920259,3.8163916471489756e-17,3.8163916471489756e-17
3,11,-0.2768815968477836,-0.2768815968477837,-1.1102230246251565e-16,1.1102230246251565e-16
5,14,0.05042705519632407,0.050427055196324094,2.0816681711721685e-17,2.0816681711721685e-17
4,28,-0.11510039329894742,-0.11510039329894764,-2.220446049250313e-16,2.220446049250313e-16
10,21,0.09258641064594875,0.09258641064594873,-1.3877787807814457e-17,1.3877787807814457e-17
2,18,0.02734042087101179,0.02734042087101177,-2.0816681711721685e-17,2.0816681711721685e-17
8,2,0.008828454175278236,0.008828454175278262,2.6020852139652106e-17,2.6020852139652106e-17
10,15,-0.1928261229108931,-0.19282612291089307,2.7755575615628914e-17,2.7755575615628914e-17
0,7,0.16757365891917836,0.16757365891917836,0.0,0.0
5,19,-0.10095617932447887,-0.10095617932447892,-5.551115123125783e-17,5.551115123125783e-17
6,20,-0.12976451781863638,-0.1297645178186364,-2.7755575615628914e-17,2.7755575615628914e-17
3,29,-0.02949426477116346,-0.02949426477116343,2.7755575615628914e-17,2.7755575615628914e-17
8,1,-0.09384598268043366,-0.09384598268043368,-1.3877787807814457e-17,1.3877787807814457e-17
6,24,-0.06553312598882921,-0.06553312598882909,1.249000902703301e-16,1.249000902703301e-16
0,13,-0.08821886437201754,-0.08821886437201758,-4.163336342344337e-17,4.163336342344337e-17
6,14,0.14418583817140676,0.14418583817140682,5.551115123125783e-17,5.551115123125783e-17
9,22,0.1374546232176704,0.13745462321767038,-2.7755575615628914e-17,2.7755575615628914e-17
7,24,0.03302298713739445,0.03302298713739445,0.0,0.0
8,7,0.010903763305533568,0.01090376330553361,4.163336342344337e-17,4.163336342344337e-17
2,19,0.07606847018431444,0.07606847018431448,4.163336342344337e-17,4.163336342344337e-17
3,24,-0.12523459619319932,-0.12523459619319932,0.0,0.0
11,29,-0.0018897059464889829,-0.0018897059464889968,-1.3877787807814457e-17,1.3877787807814457e-17
8,23,0.07696128982822056,0.07696128982822054,-2.7755575615628914e-17,2.7755575615628914e-17
9,14,-0.08291784383199921,-0.08291784383199922,-1.3877787807814457e-17,1.3877787807814457e-17
4,29,0.024766543929918686,0.024766543929918616,-6.938893903907228e-17,6.938893903907228e-17
2,6,0.027306222598643258,0.0273062225986432,-5.898059818321144e-17,5.898059818321144e-17
9,27,0.14324823350596644,0.14324823350596633,-1.1102230246251565e-16,1.1102230246251565e-16
3,12,-0.00718777826623175,-0.0071877782662321255,-3.7556763254897874e-16,3.7556763254897874e-16
0,2,-0.06658091423587836,-0.06658091423587831,5.551115123125783e-17,5.551115123125783e-17
5,27,-0.043077651467784805,-0.04307765146778478,2.7755575615628914e-17,2.7755575615628914e-17
10,1,0.013573542773250968,0.013573542773250985,1.734723475976807e-17,1.734723475976807e-17
1,11,0.04352470976242382,0.043524709762423834,1.3877787807814457e-17,1.3877787807814457e-17
3,7,0.01839199047897037,0.01839199047897038,1.0408340855860843e-17,1.0408340855860843e-17
8,26,0.15539876055792304,0.15539876055792293,-1.1102230246251565e-16,1.1102230246251565e-16
10,13,-0.04718908557830942,-0.047189085578309406,1.3877787807814457e-17,1.3877787807814457e-17
4,17,0.23081781146133182,0.230817811461332,1.942890293094024e-16,1.942890293094024e-16
0,15,-0.015502678788098573,-0.015502678788098665,-9.194034422677078e-17,9.194034422677078e-17
0,8,0.16725008976253214,0.16725008976253214,0.0,0.0
7,23,0.009333134800489175,0.009333134800489178,3.469446951953614e-18,3.469446951953614e-18
3,20,0.17182618479429404,0.17182618479429415,1.1102230246251565e-16,1.1102230246251565e-16
11,3,-0.02014181008193803,-0.02014181008193803,0.0,0.0
2,20,0.14923492330530755,0.14923492330530747,-8.326672684688674e-17,8.326672684688674e-17
3,23,-0.15821022565691778,-0.15821022565691792,-1.3877787807814457e-16,1.3877787807814457e-16
2,16,0.0030075417486688646,0.003007541748668862,-2.6020852139652106e-18,2.6020852139652106e-18
10,11,-0.062288283714247605,-0.06228828371424761,-6.938893903907228e-18,6.938893903907228e-18
6,19,-0.1161706603561533,-0.11617066035615331,-1.3877787807814457e-17,1.3877787807814457e-17
11,17,0.49120959500541034,0.49120959500541067,3.3306690738754696e-16,3.3306690738754696e-16
6,22,-0.06306391901320203,-0.06306391901320199,4.163336342344337e-17,4.163336342344337e-17
2,23,0.045066576489764795,0.04506657648976479,-6.938893903907228e-18,6.938893903907228e-18
10,28,0.05641957079884143,0.056419570798841245,-1.8735013540549517e-16,1.8735013540549517e-16
10,12,-0.04835724666887234,-0.04835724666887237,-2.7755575615628914e-17,2.7755575615628914e-17
8,8,0.0318693037664106,0.031869303766410624,2.0816681711721685e-17,2.0816681711721685e-17
5,6,-0.023664468149385647,-0.023664468149385647,0.0,0.0
6,29,-0.09388295887196835,-0.0938829588719682,1.5265566588595902e-16,1.5265566588595902e-16
9,25,0.08884131468724761,0.08884131468724761,0.0,0.0
7,9,0.09074610423706904,0.09074610423706894,-9.71445146547012e-17,9.71445146547012e-17
6,23,-0.0536721169821273,-0.05367211698212726,4.163336342344337e-17,4.163336342344337e-17
4,24,-0.1347788818451978,-0.1347788818451978,0.0,0.0
8,16,-0.12940607923370717,-0.12940607923370728,-1.1102230246251565e-16,1.1102230246251565e-16
6,12,0.0974142585226449,0.09741425852264493,2.7755575615628914e-17,2.7755575615628914e-17
9,16,-0.33402969477822836,-0.3340296947782284,-5.551115123125783e-17,5.551115123125783e-17
2,11,-0.25257515482655934,-0.2525751548265594,-5.551115123125783e-17,5.551115123125783e-17
0,16,-0.08805980828573373,-0.08805980828573377,-4.163336342344337e-17,4.163336342344337e-17
11,4,-0.20100271020662797,-0.20100271020662794,2.7755575615628914e-17,2.7755575615628914e-17
7,11,0.1384619647099999,0.13846196470999989,-2.7755575615628914e-17,2.7755575615628914e-17
10,19,-0.0541414178223593,-0.05414141782235933,-2.7755575615628914e-17,2.7755575615628914e-17
5,25,-0.19660405042215803,-0.1966040504221581,-5.551115123125783e-17,5.551115123125783e-17
11,23,-0.05024222825917168,-0.05024222825917168,0.0,0.0
6,3,-0.013540864823996811,-0.013540864823996808,3.469446951953614e-18,3.469446951953614e-18
10,27,0.07632100871184913,0.07632100871184903,-9.71445146547012e-17,9.71445146547012e-17
10,29,-0.04885203815429806,-0.04885203815429806,0.0,0.0
1,15,-0.3902625949854529,-0.390262594985453,-1.1102230246251565e-16,1.1102230246251565e-16
4,25,-0.11621767026411729,-0.1162176702641173,-1.3877787807814457e-17,1.3877787807814457e-17
8,14,-0.05118173428291084,-0.051181734282910854,-1.3877787807814457e-17,1.3877787807814457e-17
2,29,0.2145518764164671,0.2145518764164671,0.0,0.0
11,1,0.09432582344193483,0.0943258234419348,-2.7755575615628914e-17,2.7755575615628914e-17
0,22,0.030009484316700422,0.030009484316700374,-4.85722573273506e-17,4.85722573273506e-17
11,9,-0.3612558973376856,-0.3612558973376856,0.0,0.0
11,13,0.34213748670078037,0.34213748670078026,-1.1102230246251565e-16,1.1102230246251565e-16
10,24,0.24242198306792234,0.24242198306792195,-3.885780586188048e-16,3.885780586188048e-16
7,28,0.08689858045329377,0.08689858045329378,1.3877787807814457e-17,1.3877787807814457e-17
5,12,0.042150293632817123,0.04215029363281716,3.469446951953614e-17,3.469446951953614e-17
2,14,-0.24902867686532432,-0.24902867686532432,0.0,0.0
7,27,0.13316165211489644,0.13316165211489642,-2.7755575615628914e-17,2.7755575615628914e-17
8,25,0.12306646843342488,0.12306646843342482,-5.551115123125783e-17,5.551115123125783e-17
8,4,0.03720328013814602,0.03720328013814604,2.0816681711721685e-17,2.0816681711721685e-17
11,8,-0.42335749986476967,-0.42335749986476967,0.0,0.0
5,29,-0.008629666776952774,-0.008629666776952802,-2.7755575615628914e-17,2.7755575615628914e-17
9,26,0.12399372770827621,0.12399372770827613,-8.326672684688674e-17,8.326672684688674e-17
8,12,0.23661213524121832,0.23661213524121838,5.551115123125783e-17,5.551115123125783e-17
9,7,0.04835479171328601,0.04835479171328605,4.163336342344337e-17,4.163336342344337e-17
4,20,0.10025289473580659,0.1002528947358066,1.3877787807814457e-17,1.3877787807814457e-17
1,2,-0.09997597466146493,-0.0999759746614649,2.7755575615628914e-17,2.7755575615628914e-17
9,9,0.07559407781998725,0.07559407781998723,-2.7755575615628914e-17,2.7755575615628914e-17
6,7,-0.016769541660430765,-0.01676954166043077,-6.938893903907228e-18,6.938893903907228e-18
10,3,0.031175230483380417,0.03117523048338043,1.3877787807814457e-17,1.3877787807814457e-17
10,17,-0.021989894381727174,-0.021989894381727177,-3.469446951953614e-18,3.469446951953614e-18
2,9,-0.005074924802786915,-0.005074924802786922,-6.938893903907228e-18,6.938893903907228e-18
7,0,0.058388835162216664,0.058388835162216664,0.0,0.0
1,13,-0.1483800881854401,-0.14838008818544013,-2.7755575615628914e-17,2.7755575615628914e-17
5,3,-0.011269116536354741,-0.011269116536354753,-1.214306433183765e-17,1.214306433183765e-17
8,17,0.06479667497260713,0.06479667497260722,8.326672684688674e-17,8.326672684688674e-17
1,23,0.043873509964744956,0.04387350996474491,-4.85722573273506e-17,4.85722573273506e-17
1,9,0.01464188494778558,0.01464188494778559,1.0408340855860843e-17,1.0408340855860843e-17
8,19,-0.20915996703554027,-0.20915996703554035,-8.326672684688674e-17,8.326672684688674e-17
9,20,-0.08346035294595694,-0.08346035294595695,-1.3877787807814457e-17,1.3877787807814457e-17
0,3,-0.04204858525400656,-0.04204858525400656,0.0,0.0
11,2,0.12747561720813452,0.12747561720813455,2.7755575615628914e-17,2.7755575615628914e-17
3,13,-0.08875167364973166,-0.08875167364973166,0.0,0.0
7,20,-0.2564287661933166,-0.25642876619331667,-5.551115123125783e-17,5.551115123125783e-17
6,1,0.03909059020112314,0.03909059020112313,-1.3877787807814457e-17,1.3877787807814457e-17
5,9,-0.09693395298727306,-0.096933952987273,5.551115123125783e-17,5.551115123125783e-17
8,15,-0.12485581068998453,-0.12485581068998448,4.163336342344337e-17,4.163336342344337e-17
9,28,0.060008452585844,0.060008452585844016,1.3877787807814457e-17,1.3877787807814457e-17
7,12,0.3065825959904805,0.3065825959904806,1.1102230246251565e-16,1.1102230246251565e-16
2,8,-0.010083822850777732,-0.010083822850777729,3.469446951953614e-18,3.469446951953614e-18
6,17,0.02033566453158758,0.020335664531587565,-1.3877787807814457e-17,1.3877787807814457e-17
3,22,0.09370495494331388,0.09370495494331382,-5.551115123125783e-17,5.551115123125783e-17
3,6,0.013583883540534053,0.013583883540534036,-1.734723475976807e-17,1.734723475976807e-17
10,4,-0.03065346184259815,-0.030653461842598116,3.469446951953614e-17,3.469446951953614e-17
2,13,-0.21741441765189135,-0.21741441765189115,1.942890293094024e-16,1.942890293094024e-16
7,19,-0.1384358227845087,-0.13843582278450867,2.7755575615628914e-17,2.7755575615628914e-17
