case_id,seed,n_sites,k_layers,dmu,dt,n_steps,gamma_deph,eta0,max_abs_residual,mean_abs_residual
0,20270235,4,3,0.3333333333333333,0.0125,40,0.44356718814574236,0.5859071270074144,0.004116953119540356,0.0012963870727997623
1,20270235,4,3,0.3333333333333333,0.025,20,0.44356718814574236,0.5859071270074144,0.008188097031165131,0.0026010350104498617
2,20270235,4,3,0.3333333333333333,0.05,10,0.44356718814574236,0.5859071270074144,0.016194508055651646,0.005234322723468959
3,20270235,4,3,0.3333333333333333,0.1,5,0.44356718814574236,0.5859071270074144,0.03167467868427837,0.01060302443319683
4,20271235,4,4,0.25,0.0125,40,0.44356718814574236,0.5859071270074144,0.008335487353169191,0.0015546602756127531
5,20271235,4,4,0.25,0.025,20,0.44356718814574236,0.5859071270074144,0.016521065420966707,0.0031203698551907732
6,20271235,4,4,0.25,0.05,10,0.44356718814574236,0.5859071270074144,0.032451385271853705,0.006283273896468729
7,20271235,4,4,0.25,0.1,5,0.44356718814574236,0.5859071270074144,0.06261092083475567,0.012717472954456781
8,20272235,4,5,0.2,0.0125,40,0.44356718814574236,0.5859071270074144,0.002719717642916619,0.0007873915841770615
9,20272235,4,5,0.2,0.025,20,0.44356718814574236,0.5859071270074144,0.00541129527670875,0.0015811309724370131
10,20272235,4,5,0.2,0.05,10,0.44356718814574236,0.5859071270074144,0.010710703095319296,0.0031861483218517967
11,20272235,4,5,0.2,0.1,5,0.44356718814574236,0.5859071270074144,0.02097923698537918,0.006472556247232175
12,20273235,4,6,0.16666666666666666,0.0125,40,0.44356718814574236,0.5859071270074144,0.004001256777432571,0.0007533197372184871
13,20273235,4,6,0.16666666666666666,0.025,20,0.44356718814574236,0.5859071270074144,0.007969243480941746,0.0015140214607243167
14,20273235,4,6,0.16666666666666666,0.05,10,0.44356718814574236,0.5859071270074144,0.015802617738500446,0.0030570060946160634
15,20273235,4,6,0.16666666666666666,0.1,5,0.44356718814574236,0.5859071270074144,0.031039447161917366,0.006227863645625256
