subset,n_samples,mean_abs_lambda_h,mean_abs_lambda_h_ratio_to_full,mean_abs_lambda_v,mean_abs_lambda_v_ratio_to_full,mean_abs_residual,mean_abs_residual_ratio_to_full,corr_lambda_h_residual,corr_lambda_v_residual
full,4380,2.6456235864478036e-05,0.9999999622017294,2.321547492237774e-05,0.9999999569252854,0.8053861576960981,0.9999999999987584,-0.0721423185494516,-0.07082208318925086
vorticity_p90,438,2.1814846470660768e-05,0.8245634699449974,1.8033630263397595e-05,0.7767934770622003,0.9206718654367675,1.1431433935608164,-0.04624400984893391,-0.044686975134682186
omegaq_p90,438,2.3189655252866507e-05,0.8765288643148843,2.023718248551337e-05,0.8717108601683436,1.5232936477500674,1.8913829511370506,0.055072414655563603,0.055373680225257
union_p90,804,2.2930303814197035e-05,0.8667258284561565,1.949994534406045e-05,0.8399545806969291,1.174539767261959,1.4583560395679136,-0.012157272004873099,-0.011846871271440355
intersection_p90,72,1.7722326226257407e-05,0.6698732823205338,1.506472121386669e-05,0.6489085670367664,1.751762804128036,2.1750594884036554,0.2248069607902763,0.2249385314055535
non_union,3576,2.724897897645397e-05,1.029964280862647,2.405084566649606e-05,1.0359833133256207,0.7223885340688744,0.8969467964714651,-0.10732916648061688,-0.1041406954819285
