subset,model,split_id,n_train,n_test,mae_base,mae_full,mae_gain_frac,intercept_base,intercept_full,coef_base_ctrl,coef_full_ctrl,coef_full_lambda_h,coef_full_lambda_v
full,horizontal,0,3650,730,0.8337612193836705,0.8275859207247356,0.00740655539663074,-0.08628174376166604,-0.08333737228944729,-0.21882706271199917,-0.21715210935415352,-1265.8678287774023,
full,horizontal,1,3650,730,0.7019333766083353,0.7055651423817838,-0.005173946551724893,-0.02067968983410067,-0.01687695210531856,-0.24330303786199786,-0.24183859169362842,-1832.315433451041,
full,horizontal,2,3650,730,0.7222965587847558,0.716538077422407,0.007972461300423906,-0.018122461678816655,-0.016164448127028254,-0.20881288773913967,-0.20761223581572033,-1248.5846702564,
full,horizontal,3,3650,730,0.819303556655796,0.8180129843582977,0.0015752065116921136,0.05394725313867363,0.05642167520923058,-0.21523790036727014,-0.21516824771449705,-1554.7181912978238,
full,horizontal,4,3650,730,0.8262971802672656,0.8274511988161141,-0.0013966144099315236,-0.01786060090043927,-0.014767936706254006,-0.22189199416165176,-0.22119302762454804,-1720.772685338497,
full,horizontal,5,3650,730,0.9077114680841819,0.8998913384117025,0.00861521523901855,0.08977860129180958,0.08975183829647984,-0.21012016600307395,-0.21095483583782382,-877.6877382976788,
full,vertical,0,3650,730,0.8337612193836705,0.827379470634499,0.007654168364752391,-0.08628174376166604,-0.08335212045876426,-0.21882706271199917,-0.21726488953503786,,-1457.162586762189
full,vertical,1,3650,730,0.7019333766083353,0.7052449248705477,-0.004717752955713089,-0.02067968983410067,-0.01685274220158819,-0.24330303786199786,-0.2419950940126484,,-2092.8836098343763
full,vertical,2,3650,730,0.7222965587847558,0.7166805233797277,0.00777524873504762,-0.018122461678816655,-0.016153103200971203,-0.20881288773913967,-0.20782320652646807,,-1437.1965486898775
full,vertical,3,3650,730,0.819303556655796,0.8183794755077773,0.0011278861668676595,0.05394725313867363,0.056504826879439994,-0.21523790036727014,-0.21538611944193592,,-1780.4530307082546
full,vertical,4,3650,730,0.8262971802672656,0.8271493579646328,-0.0010313210763838758,-0.01786060090043927,-0.014758860983671691,-0.22189199416165176,-0.22142327981973467,,-1939.6033290483558
full,vertical,5,3650,730,0.9077114680841819,0.900052975273686,0.008437144488932707,0.08977860129180958,0.08978306930474184,-0.21012016600307395,-0.21104824627085184,,-1028.4049761229364
full,combined,0,3650,730,0.8337612193836705,0.8296541504120136,0.004925953469853152,-0.08628174376166604,-0.08358930597476905,-0.21882706271199917,-0.21689215063479486,-6023.288700165921,5629.228171097134
full,combined,1,3650,730,0.7019333766083353,0.705832263037838,-0.005554496422917059,-0.02067968983410067,-0.01699745126506745,-0.24330303786199786,-0.24166580221110112,-4211.691906461119,2766.4463695212153
full,combined,2,3650,730,0.7222965587847558,0.7165466852577514,0.007960543985797807,-0.018122461678816655,-0.016162348054304644,-0.20881288773913967,-0.20762899085544406,-1145.951168343218,-118.98940698875128
full,combined,3,3650,730,0.819303556655796,0.8180389637721084,0.0015434973684819073,0.05394725313867363,0.056428818719184266,-0.21523790036727014,-0.21518390398926918,-1443.4900991272584,-128.20933273565106
full,combined,4,3650,730,0.8262971802672656,0.8281584698115882,-0.002252566738420122,-0.01786060090043927,-0.015054492439981394,-0.22189199416165176,-0.22058417396096683,-6565.754193905481,5624.329654482495
full,combined,5,3650,730,0.9077114680841819,0.9007266846162955,0.007694937998988657,0.08977860129180958,0.08984543329297875,-0.21012016600307395,-0.21119137502620933,1758.5780332944876,-3040.1745530406406
vorticity_p90,horizontal,0,365,73,0.7603702284182688,0.766281419194918,-0.007774095507313457,0.5463478250509214,0.5532940732423764,-0.2737179326741071,-0.27283561568550696,-2145.2513178828517,
vorticity_p90,horizontal,1,365,73,0.6964128695144692,0.6967552584642811,-0.0004916464999420314,0.6157305875120542,0.6244528268811083,-0.2994355044837332,-0.2995043643185565,-1539.6021939905752,
vorticity_p90,horizontal,2,365,73,0.6271760517490842,0.6240908744610338,0.004919156717545923,0.6564043833625319,0.6582031682619147,-0.2981403817684696,-0.2980828171639286,-719.0531207639332,
vorticity_p90,horizontal,3,365,73,0.6606253396875904,0.6735888015513533,-0.019623016383043444,0.6171423851621349,0.627916309126106,-0.28432892698270323,-0.28334435662466223,-2592.0002533423867,
vorticity_p90,horizontal,4,365,73,0.809120501561484,0.8232529497217024,-0.017466431925686463,0.5396572316255263,0.5350702317121249,-0.3450959456891941,-0.3460272758288517,1332.718117243953,
vorticity_p90,horizontal,5,365,73,0.8590311934553887,0.859740874786191,-0.0008261415140779998,0.7219131474252185,0.7265715050500569,-0.19287290858879072,-0.1924784988400982,-1324.6046926010915,
vorticity_p90,vertical,0,365,73,0.7603702284182688,0.7665513104205258,-0.00812904263112301,0.5463478250509214,0.5534505192299009,-0.2737179326741071,-0.27254782756744833,,-2558.680181854092
vorticity_p90,vertical,1,365,73,0.6964128695144692,0.6965269149993413,-0.00016376131152111802,0.6157305875120542,0.6238765083471238,-0.2994355044837332,-0.29924435748726225,,-1724.2065505026446
vorticity_p90,vertical,2,365,73,0.6271760517490842,0.6244338989408843,0.004372221803667626,0.6564043833625319,0.6580746891740095,-0.2981403817684696,-0.29801230207526525,,-776.9124543221877
vorticity_p90,vertical,3,365,73,0.6606253396875904,0.6730796944434031,-0.018852372150428714,0.6171423851621349,0.6280673317914915,-0.28432892698270323,-0.2829971762193199,,-3065.255404724365
vorticity_p90,vertical,4,365,73,0.809120501561484,0.8250341113196089,-0.01966778709400435,0.5396572316255263,0.5343751931424627,-0.3450959456891941,-0.3463462885913467,,1828.4042703087953
