x,k,lambda_before,lambda_after,delta_lambda,abs_delta_lambda
5,12,0.042150293632817123,0.042150293632817123,0.0,0.0
7,12,0.3595992768313586,0.3595992768313587,1.1102230246251565e-16,1.1102230246251565e-16
1,16,-0.12284896682780291,-0.12284896682780289,2.7755575615628914e-17,2.7755575615628914e-17
3,29,-0.02949426477116346,-0.029494264771163528,-6.938893903907228e-17,6.938893903907228e-17
2,25,-0.08207508277416477,-0.08207508277416475,1.3877787807814457e-17,1.3877787807814457e-17
2,20,0.14923492330530755,0.1492349233053076,5.551115123125783e-17,5.551115123125783e-17
5,22,-0.054177054081467585,-0.05417705408146759,-6.938893903907228e-18,6.938893903907228e-18
5,21,0.006827341700625943,0.006827341700625919,-2.42861286636753e-17,2.42861286636753e-17
4,29,0.024766543929918686,0.024766543929918783,9.71445146547012e-17,9.71445146547012e-17
5,27,-0.043077651467784805,-0.043077651467784805,0.0,0.0
7,22,-0.08955799236987741,-0.08955799236987745,-4.163336342344337e-17,4.163336342344337e-17
0,21,0.035165716101473274,0.03516571610147326,-1.3877787807814457e-17,1.3877787807814457e-17
3,0,-0.1456437027902246,-0.14564370279022465,-5.551115123125783e-17,5.551115123125783e-17
2,8,-0.010083822850777732,-0.010083822850777748,-1.5612511283791264e-17,1.5612511283791264e-17
4,11,-0.026998694399553987,-0.02699869439955404,-5.204170427930421e-17,5.204170427930421e-17
3,8,-0.009312670950376453,-0.009312670950376464,-1.0408340855860843e-17,1.0408340855860843e-17
5,19,-0.10095617932447887,-0.10095617932447892,-5.551115123125783e-17,5.551115123125783e-17
2,19,0.07606847018431444,0.07606847018431447,2.7755575615628914e-17,2.7755575615628914e-17
6,13,0.20696281548562007,0.20696281548562,-5.551115123125783e-17,5.551115123125783e-17
1,24,0.029469166610601803,0.02946916661060181,6.938893903907228e-18,6.938893903907228e-18
0,14,-0.13040929071925253,-0.1304092907192524,1.3877787807814457e-16,1.3877787807814457e-16
1,6,0.08035723026646982,0.08035723026646985,2.7755575615628914e-17,2.7755575615628914e-17
6,10,-0.06526305734527599,-0.06526305734527606,-6.938893903907228e-17,6.938893903907228e-17
7,23,-0.0015464118795232157,-0.0015464118795232712,-5.551115123125783e-17,5.551115123125783e-17
2,5,-0.0056732694538349955,-0.005673269453835006,-1.0408340855860843e-17,1.0408340855860843e-17
3,24,-0.12523459619319932,-0.12523459619319932,0.0,0.0
4,10,-0.13117683162896138,-0.13117683162896135,2.7755575615628914e-17,2.7755575615628914e-17
5,9,-0.09693395298727306,-0.09693395298727298,8.326672684688674e-17,8.326672684688674e-17
4,16,0.1273391861225548,0.1273391861225548,0.0,0.0
0,15,-0.015502678788098573,-0.01550267878809862,-4.683753385137379e-17,4.683753385137379e-17
0,16,-0.08805980828573373,-0.08805980828573372,1.3877787807814457e-17,1.3877787807814457e-17
3,17,0.134849796896588,0.13484979689658805,5.551115123125783e-17,5.551115123125783e-17
1,19,0.030779281485994625,0.030779281485994632,6.938893903907228e-18,6.938893903907228e-18
6,20,-0.12976451781863638,-0.12976451781863657,-1.942890293094024e-16,1.942890293094024e-16
3,10,-0.1133566865157366,-0.1133566865157366,0.0,0.0
1,8,0.030498244445034302,0.03049824444503435,4.85722573273506e-17,4.85722573273506e-17
2,0,-0.016448918673592595,-0.01644891867359266,-6.591949208711867e-17,6.591949208711867e-17
0,7,0.16757365891917836,0.1675736589191783,-5.551115123125783e-17,5.551115123125783e-17
0,6,-0.03579915243061829,-0.03579915243061837,-7.632783294297951e-17,7.632783294297951e-17
4,1,0.0631122548279425,0.06311225482794248,-1.3877787807814457e-17,1.3877787807814457e-17
3,2,0.06012794288685105,0.06012794288685107,2.0816681711721685e-17,2.0816681711721685e-17
2,27,-0.10145691458488183,-0.10145691458488192,-8.326672684688674e-17,8.326672684688674e-17
6,16,0.04605183326182043,0.04605183326182036,-6.938893903907228e-17,6.938893903907228e-17
4,21,0.05697346551409373,0.05697346551409373,0.0,0.0
6,7,-0.016769541660430765,-0.01676954166043077,-6.938893903907228e-18,6.938893903907228e-18
5,7,-0.011173045862270158,-0.011173045862270109,4.85722573273506e-17,4.85722573273506e-17
7,17,-0.2696772301104736,-0.2696772301104737,-5.551115123125783e-17,5.551115123125783e-17
6,3,-0.013540864823996811,-0.013540864823996825,-1.3877787807814457e-17,1.3877787807814457e-17
5,3,-0.011269116536354741,-0.011269116536354741,0.0,0.0
5,17,0.11584609895428216,0.11584609895428213,-2.7755575615628914e-17,2.7755575615628914e-17
7,10,0.32111606208596954,0.32111606208596954,0.0,0.0
6,9,-0.030844390832757217,-0.030844390832757237,-2.0816681711721685e-17,2.0816681711721685e-17
3,12,-0.00718777826623175,-0.007187778266231654,9.627715291671279e-17,9.627715291671279e-17
6,15,0.054232742912692165,0.054232742912692096,-6.938893903907228e-17,6.938893903907228e-17
3,1,-0.008903098064974524,-0.008903098064974621,-9.71445146547012e-17,9.71445146547012e-17
6,11,0.020091128272585107,0.020091128272585163,5.551115123125783e-17,5.551115123125783e-17
2,29,0.2145518764164671,0.21455187641646725,1.3877787807814457e-16,1.3877787807814457e-16
4,20,0.10025289473580659,0.10025289473580656,-2.7755575615628914e-17,2.7755575615628914e-17
5,10,-0.09193572974813824,-0.09193572974813838,-1.3877787807814457e-16,1.3877787807814457e-16
2,11,-0.25257515482655934,-0.25257515482655957,-2.220446049250313e-16,2.220446049250313e-16
2,28,-0.06526969397731439,-0.06526969397731439,0.0,0.0
