case_id,seed,n_sites,k_layers,dmu,dt,n_steps,gamma_deph,eta0,max_abs_residual,mean_abs_residual
0,20270229,4,3,0.3333333333333333,0.0125,60,0.3899900791593275,1.37538584865445,0.004676984242396154,0.0009505904164837346
1,20270229,4,3,0.3333333333333333,0.025,30,0.3899900791593275,1.37538584865445,0.009297341655799096,0.001910747847624341
2,20270229,4,3,0.3333333333333333,0.05,15,0.3899900791593275,1.37538584865445,0.0183665476459714,0.0038596955446701165
3,20270229,4,3,0.3333333333333333,0.1,8,0.3899900791593275,1.37538584865445,0.035807525832137754,0.0075158055940747585
4,20271229,4,4,0.25,0.0125,60,0.3899900791593275,1.37538584865445,0.017757136970760534,0.0020145881185938577
5,20271229,4,4,0.25,0.025,30,0.3899900791593275,1.37538584865445,0.03488005415903361,0.004061907071481656
6,20271229,4,4,0.25,0.05,15,0.3899900791593275,1.37538584865445,0.06729695726110424,0.008251140868299365
7,20271229,4,4,0.25,0.1,8,0.3899900791593275,1.37538584865445,0.12533113487828823,0.016134178105804645
8,20272229,4,5,0.2,0.0125,60,0.3899900791593275,1.37538584865445,0.007764157900413404,0.0016165331258358932
9,20272229,4,5,0.2,0.025,30,0.3899900791593275,1.37538584865445,0.01530998910885678,0.0032535885169391455
10,20272229,4,5,0.2,0.05,15,0.3899900791593275,1.37538584865445,0.029767467488673177,0.0065882938766285174
11,20272229,4,5,0.2,0.1,8,0.3899900791593275,1.37538584865445,0.05629126037191037,0.012889719302442414
12,20273229,4,6,0.16666666666666666,0.0125,60,0.3899900791593275,1.37538584865445,0.011676358364376638,0.0011441787920990854
13,20273229,4,6,0.16666666666666666,0.025,30,0.3899900791593275,1.37538584865445,0.02310330393844562,0.002304268209480078
14,20273229,4,6,0.16666666666666666,0.05,15,0.3899900791593275,1.37538584865445,0.04523003786528168,0.004673245364524198
15,20273229,4,6,0.16666666666666666,0.1,8,0.3899900791593275,1.37538584865445,0.0867224448810302,0.009144458189413309
