n,epsilon,dS_hor_avg,dQ_in,dQ_avg,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,0.15,0.009,0.001045912333631568,-0.001045912333631568,0.09065348650231089,0.090653486502312,0.0125,-0.024271590678564502,-0.10878731809182958,0.9704194543754645,0.075
1,0.15,0.0063,0.0010783249205515496,-0.0010783249205515496,0.14602776402263884,0.05537427752032795,0.00875,-0.024271590678564502,-0.1078233798302564,0.9704194543754645,0.1275
2,0.15,0.0063,-0.0004697686287109518,0.0004697686287109518,0.1950660123815732,0.04903824835893436,0.00875,-0.024271590678564502,-0.10685944156868322,0.9704194543754645,0.18
3,0.15,0.009899999999999999,0.00220151666804783,-0.00220151666804783,0.2672093860831608,0.0721433737015876,0.01375,-0.024271590678564502,-0.10534468144335396,0.9704194543754645,0.2625
4,0.15,0.011699999999999999,0.0005527754124056857,-0.0005527754124056857,0.3475360670239255,0.08032668094076467,0.01625,-0.024271590678564502,-0.10355451038614662,0.9704194543754647,0.36
5,0.15,0.0063,0.0020708533304400704,-0.0020708533304400704,0.3908440925947768,0.04330802557085134,0.00875,-0.024271590678564502,-0.10259057212457345,0.9704194543754647,0.4125
6,0.15,0.006299999999999999,0.0015974655702193502,-0.0015974655702193502,0.4305232632021988,0.03967917060742199,0.00875,-0.024271590678564502,-0.10162663386300028,0.9704194543754645,0.465
7,0.15,0.0072,0.003091234772278662,-0.003091234772278662,0.4765737265944655,0.046050463392266705,0.01,-0.024271590678564502,-0.10052499013548809,0.9704194543754647,0.525
8,0.15,0.0054,0.003773480553991554,-0.003773480553991554,0.5089770325032531,0.032403305908787594,0.0075,-0.024271590678564502,-0.09969875733985394,0.9704194543754645,0.57
9,0.15,0.0036,0.0004813200555140161,-0.0004813200555140161,0.530588146595579,0.021611114092325856,0.005,-0.024271590678564502,-0.09914793547609783,0.9704194543754645,0.6
10,0.15,0.0036,0.0007844696375463629,-0.0007844696375463629,0.5515046461342229,0.02091649953864394,0.005,-0.024271590678564502,-0.09859711361234175,0.9704194543754645,0.63
11,0.15,0.0036,-0.00022550433196193612,0.00022550433196193612,0.5725896027479811,0.0210849566137582,0.005,-0.024271590678564502,-0.09804629174858565,0.9704194543754645,0.66
12,0.15,0.0027,0.000821875326766053,-0.000821875326766053,0.5887927727161453,0.016203169968164177,0.00375,-0.024271590678564502,-0.09763317535076856,0.9704194543754645,0.6825
13,0.15,0.0063,-0.0017898826136899728,0.0017898826136899728,0.6243842982861662,0.03559152557002088,0.00875,-0.024271590678564502,-0.09666923708919538,0.9704194543754647,0.735
14,0.15,0.0063,0.0005044635371924173,-0.0005044635371924173,0.6593226237366497,0.03493832545048359,0.00875,-0.024271590678564502,-0.09570529882762221,0.9704194543754645,0.7875
15,0.15,0.008100000000000001,0.0030580836379201213,-0.0030580836379201213,0.7030590399372995,0.04373641620064972,0.01125,-0.024271590678564502,-0.094465949634171,0.9704194543754645,0.855
16,0.15,0.0036,0.0008448238504420173,-0.0008448238504420173,0.722355338674586,0.019296298737286555,0.005,-0.024271590678564502,-0.0939151277704149,0.9704194543754645,0.885
