x,k,lambda_before,lambda_after,delta_lambda,abs_delta_lambda
4,22,-0.0742239684647468,-0.07422396846474676,4.163336342344337e-17,4.163336342344337e-17
1,26,-0.029266571335964178,-0.029266571335964147,3.122502256758253e-17,3.122502256758253e-17
0,24,0.053578937380097384,0.05357893738009737,-1.3877787807814457e-17,1.3877787807814457e-17
5,14,0.05042705519632407,0.05042705519632406,-1.3877787807814457e-17,1.3877787807814457e-17
6,12,0.0974142585226449,0.09741425852264496,5.551115123125783e-17,5.551115123125783e-17
5,25,-0.19660405042215803,-0.19660405042215806,-2.7755575615628914e-17,2.7755575615628914e-17
5,6,-0.023664468149385647,-0.023664468149385644,3.469446951953614e-18,3.469446951953614e-18
7,26,0.2645733832210856,0.26457338322108587,2.7755575615628914e-16,2.7755575615628914e-16
5,0,0.021493526841314406,0.021493526841314378,-2.7755575615628914e-17,2.7755575615628914e-17
2,29,0.2145518764164671,0.21455187641646717,5.551115123125783e-17,5.551115123125783e-17
5,20,-0.03553570916716686,-0.035535709167167,-1.3877787807814457e-16,1.3877787807814457e-16
2,21,0.2131945556283974,0.21319455562839734,-5.551115123125783e-17,5.551115123125783e-17
0,2,-0.06658091423587836,-0.06658091423587827,9.71445146547012e-17,9.71445146547012e-17
3,12,-0.00718777826623175,-0.007187778266231721,2.862293735361732e-17,2.862293735361732e-17
1,24,0.029469166610601803,0.02946916661060183,2.7755575615628914e-17,2.7755575615628914e-17
5,22,-0.054177054081467585,-0.05417705408146761,-2.7755575615628914e-17,2.7755575615628914e-17
4,26,-0.0970301957538531,-0.09703019575385316,-5.551115123125783e-17,5.551115123125783e-17
6,6,-0.0781206262389639,-0.07812062623896394,-4.163336342344337e-17,4.163336342344337e-17
2,12,-0.210413235307794,-0.21041323530779407,-8.326672684688674e-17,8.326672684688674e-17
2,13,-0.21741441765189135,-0.21741441765189123,1.1102230246251565e-16,1.1102230246251565e-16
1,11,0.04352470976242382,0.04352470976242381,-6.938893903907228e-18,6.938893903907228e-18
0,17,-0.09166125129190571,-0.09166125129190576,-5.551115123125783e-17,5.551115123125783e-17
3,18,0.19419357467050735,0.19419357467050738,2.7755575615628914e-17,2.7755575615628914e-17
5,12,0.042150293632817123,0.042150293632817075,-4.85722573273506e-17,4.85722573273506e-17
2,6,0.027306222598643258,0.02730622259864328,2.0816681711721685e-17,2.0816681711721685e-17
5,2,0.025264406650363787,0.025264406650363783,-3.469446951953614e-18,3.469446951953614e-18
1,9,0.01464188494778558,0.014641884947785625,4.5102810375396984e-17,4.5102810375396984e-17
4,4,-0.04132040393296362,-0.04132040393296365,-2.7755575615628914e-17,2.7755575615628914e-17
5,11,-0.005890936352664147,-0.0058909363526641195,2.7755575615628914e-17,2.7755575615628914e-17
7,11,0.2985395938327444,0.2985395938327445,5.551115123125783e-17,5.551115123125783e-17
5,3,-0.011269116536354741,-0.01126911653635472,2.0816681711721685e-17,2.0816681711721685e-17
3,26,-0.10209962800550902,-0.10209962800550902,0.0,0.0
1,6,0.08035723026646982,0.08035723026646985,2.7755575615628914e-17,2.7755575615628914e-17
7,23,-0.0015464118795232157,-0.0015464118795231185,9.71445146547012e-17,9.71445146547012e-17
5,1,0.04866847039343123,0.04866847039343124,6.938893903907228e-18,6.938893903907228e-18
5,18,-0.03701270033134465,-0.03701270033134468,-3.469446951953614e-17,3.469446951953614e-17
5,28,-0.032708702094616925,-0.03270870209461686,6.245004513516506e-17,6.245004513516506e-17
7,17,-0.2696772301104736,-0.2696772301104738,-1.6653345369377348e-16,1.6653345369377348e-16
4,19,0.1452178495217915,0.14521784952179165,1.3877787807814457e-16,1.3877787807814457e-16
1,29,0.16669947815850414,0.16669947815850422,8.326672684688674e-17,8.326672684688674e-17
5,27,-0.043077651467784805,-0.04307765146778472,8.326672684688674e-17,8.326672684688674e-17
4,24,-0.1347788818451978,-0.13477888184519776,2.7755575615628914e-17,2.7755575615628914e-17
2,2,-0.03495276495325881,-0.0349527649532588,6.938893903907228e-18,6.938893903907228e-18
7,7,-0.11437346631464147,-0.11437346631464136,1.1102230246251565e-16,1.1102230246251565e-16
0,16,-0.08805980828573373,-0.08805980828573373,0.0,0.0
3,16,0.0774496812773431,0.07744968127734303,-6.938893903907228e-17,6.938893903907228e-17
6,4,0.009812088955579626,0.009812088955579688,6.245004513516506e-17,6.245004513516506e-17
7,4,0.00237903301902688,0.0023790330190268764,-3.469446951953614e-18,3.469446951953614e-18
0,0,-0.02278658804291142,-0.02278658804291152,-1.0061396160665481e-16,1.0061396160665481e-16
2,25,-0.08207508277416477,-0.08207508277416478,-1.3877787807814457e-17,1.3877787807814457e-17
1,21,0.12044729912072806,0.120447299120728,-5.551115123125783e-17,5.551115123125783e-17
3,3,0.0628067743657803,0.06280677436578028,-2.7755575615628914e-17,2.7755575615628914e-17
3,4,-0.008045961701065127,-0.008045961701065078,4.85722573273506e-17,4.85722573273506e-17
3,10,-0.1133566865157366,-0.11335668651573669,-8.326672684688674e-17,8.326672684688674e-17
3,13,-0.08875167364973166,-0.08875167364973187,-2.0816681711721685e-16,2.0816681711721685e-16
3,6,0.013583883540534053,0.013583883540534032,-2.0816681711721685e-17,2.0816681711721685e-17
2,1,-0.2104983050141487,-0.21049830501414873,-2.7755575615628914e-17,2.7755575615628914e-17
6,15,0.054232742912692165,0.054232742912692214,4.85722573273506e-17,4.85722573273506e-17
3,28,-0.1439817147244443,-0.1439817147244443,0.0,0.0
0,26,0.09347032384269434,0.09347032384269433,-1.3877787807814457e-17,1.3877787807814457e-17
7,13,0.3682706771864299,0.36827067718643003,1.1102230246251565e-16,1.1102230246251565e-16
1,19,0.030779281485994625,0.030779281485994625,0.0,0.0
5,7,-0.011173045862270158,-0.011173045862270171,-1.3877787807814457e-17,1.3877787807814457e-17
6,13,0.20696281548562007,0.20696281548561998,-8.326672684688674e-17,8.326672684688674e-17
5,9,-0.09693395298727306,-0.09693395298727304,1.3877787807814457e-17,1.3877787807814457e-17
3,14,-0.09995855068975451,-0.09995855068975448,2.7755575615628914e-17,2.7755575615628914e-17
3,11,-0.2768815968477836,-0.27688159684778385,-2.7755575615628914e-16,2.7755575615628914e-16
1,4,0.02230555071705047,0.02230555071705055,7.979727989493313e-17,7.979727989493313e-17
6,20,-0.12976451781863638,-0.12976451781863638,0.0,0.0
6,0,0.038267785836828466,0.03826778583682838,-8.326672684688674e-17,8.326672684688674e-17
2,10,-0.056831071308117105,-0.056831071308117015,9.020562075079397e-17,9.020562075079397e-17
7,27,0.2717249317111838,0.2717249317111837,-5.551115123125783e-17,5.551115123125783e-17
1,7,0.10545886660185519,0.10545886660185516,-2.7755575615628914e-17,2.7755575615628914e-17
1,23,0.043873509964744956,0.043873509964744956,0.0,0.0
5,26,-0.10524734024518524,-0.10524734024518526,-1.3877787807814457e-17,1.3877787807814457e-17
4,17,0.23081781146133182,0.23081781146133135,-4.718447854656915e-16,4.718447854656915e-16
7,10,0.32111606208596954,0.3211160620859693,-2.220446049250313e-16,2.220446049250313e-16
6,22,-0.06306391901320203,-0.06306391901320205,-1.3877787807814457e-17,1.3877787807814457e-17
3,23,-0.15821022565691778,-0.15821022565691784,-5.551115123125783e-17,5.551115123125783e-17
2,5,-0.0056732694538349955,-0.005673269453834957,3.8163916471489756e-17,3.8163916471489756e-17
4,10,-0.13117683162896138,-0.1311768316289612,1.6653345369377348e-16,1.6653345369377348e-16
7,15,0.17694213757203367,0.1769421375720336,-8.326672684688674e-17,8.326672684688674e-17
0,10,0.06775703574734089,0.06775703574734088,-1.3877787807814457e-17,1.3877787807814457e-17
7,24,0.10409817640014926,0.10409817640014939,1.249000902703301e-16,1.249000902703301e-16
2,22,0.3193692209786084,0.31936922097860854,1.1102230246251565e-16,1.1102230246251565e-16
2,17,0.03189024527534409,0.03189024527534408,-1.3877787807814457e-17,1.3877787807814457e-17
0,7,0.16757365891917836,0.1675736589191783,-5.551115123125783e-17,5.551115123125783e-17
3,24,-0.12523459619319932,-0.12523459619319932,0.0,0.0
7,0,-0.053704678148884556,-0.05370467814888456,-6.938893903907228e-18,6.938893903907228e-18
1,8,0.030498244445034302,0.030498244445034295,-6.938893903907228e-18,6.938893903907228e-18
4,29,0.024766543929918686,0.02476654392991877,8.326672684688674e-17,8.326672684688674e-17
6,25,-0.026188169641218395,-0.026188169641218326,6.938893903907228e-17,6.938893903907228e-17
5,4,-0.11147656291132106,-0.11147656291132112,-5.551115123125783e-17,5.551115123125783e-17
4,27,-0.10855805727683945,-0.10855805727683944,1.3877787807814457e-17,1.3877787807814457e-17
0,13,-0.08821886437201754,-0.08821886437201755,-1.3877787807814457e-17,1.3877787807814457e-17
6,11,0.020091128272585107,0.02009112827258508,-2.7755575615628914e-17,2.7755575615628914e-17
5,24,-0.13747315953308736,-0.13747315953308736,0.0,0.0
0,25,0.06867216299406236,0.06867216299406229,-6.938893903907228e-17,6.938893903907228e-17
3,20,0.17182618479429404,0.17182618479429396,-8.326672684688674e-17,8.326672684688674e-17
2,4,0.06318082621637948,0.0631808262163795,1.3877787807814457e-17,1.3877787807814457e-17
5,23,-0.08461671184618914,-0.08461671184618916,-1.3877787807814457e-17,1.3877787807814457e-17
6,14,0.14418583817140676,0.14418583817140673,-2.7755575615628914e-17,2.7755575615628914e-17
7,2,-0.14981897230831417,-0.14981897230831417,0.0,0.0
2,0,-0.016448918673592595,-0.016448918673592616,-2.0816681711721685e-17,2.0816681711721685e-17
2,9,-0.005074924802786915,-0.005074924802787026,-1.1102230246251565e-16,1.1102230246251565e-16
3,2,0.06012794288685105,0.060127942886851006,-4.163336342344337e-17,4.163336342344337e-17
6,2,0.006397246068900991,0.006397246068900988,-3.469446951953614e-18,3.469446951953614e-18
5,19,-0.10095617932447887,-0.10095617932447887,0.0,0.0
6,10,-0.06526305734527599,-0.06526305734527607,-8.326672684688674e-17,8.326672684688674e-17
7,12,0.3595992768313586,0.3595992768313584,-2.220446049250313e-16,2.220446049250313e-16
1,15,-0.3902625949854529,-0.3902625949854528,1.1102230246251565e-16,1.1102230246251565e-16
4,20,0.10025289473580659,0.1002528947358066,1.3877787807814457e-17,1.3877787807814457e-17
4,3,0.020694007147025434,0.02069400714702542,-1.3877787807814457e-17,1.3877787807814457e-17
3,1,-0.008903098064974524,-0.008903098064974538,-1.3877787807814457e-17,1.3877787807814457e-17
2,27,-0.10145691458488183,-0.10145691458488183,0.0,0.0
2,28,-0.06526969397731439,-0.06526969397731437,1.3877787807814457e-17,1.3877787807814457e-17
7,9,0.1700346445184644,0.17003464451846434,-5.551115123125783e-17,5.551115123125783e-17
3,25,-0.12327340460065525,-0.12327340460065525,0.0,0.0
6,19,-0.1161706603561533,-0.11617066035615328,1.3877787807814457e-17,1.3877787807814457e-17
4,7,0.02150075705380827,0.02150075705380826,-1.0408340855860843e-17,1.0408340855860843e-17
1,28,-0.04647903629383911,-0.04647903629383904,6.938893903907228e-17,6.938893903907228e-17
3,9,0.011872315435933214,0.011872315435933221,6.938893903907228e-18,6.938893903907228e-18
3,0,-0.1456437027902246,-0.1456437027902247,-1.1102230246251565e-16,1.1102230246251565e-16
0,15,-0.015502678788098573,-0.015502678788098516,5.724587470723463e-17,5.724587470723463e-17
2,15,-0.13826705433965328,-0.13826705433965325,2.7755575615628914e-17,2.7755575615628914e-17
1,3,-0.029512931444532285,-0.029512931444532285,0.0,0.0
2,3,0.013086975588257194,0.01308697558825719,-3.469446951953614e-18,3.469446951953614e-18
3,17,0.134849796896588,0.13484979689658794,-5.551115123125783e-17,5.551115123125783e-17
