x,k,lambda_before,lambda_after,delta_lambda,abs_delta_lambda
0,6,0.04453324936042055,0.04453324936042041,-1.3877787807814457e-16,1.3877787807814457e-16
4,2,0.125978702610048,0.12597870261004807,5.551115123125783e-17,5.551115123125783e-17
2,4,0.11482631363824752,0.11482631363824752,0.0,0.0
1,10,-0.01215732525916582,-0.01215732525916581,1.0408340855860843e-17,1.0408340855860843e-17
8,17,0.01959772835927516,0.019597728359275146,-1.3877787807814457e-17,1.3877787807814457e-17
6,14,0.06456338836019836,0.06456338836019836,0.0,0.0
8,13,-0.011032757687379574,-0.011032757687379581,-6.938893903907228e-18,6.938893903907228e-18
9,15,-0.1401984278396756,-0.14019842783967543,1.6653345369377348e-16,1.6653345369377348e-16
4,14,0.01153784648636975,0.011537846486369753,3.469446951953614e-18,3.469446951953614e-18
2,10,-0.12994563858704355,-0.12994563858704347,8.326672684688674e-17,8.326672684688674e-17
6,15,-0.013220588561876048,-0.013220588561876023,2.42861286636753e-17,2.42861286636753e-17
0,7,0.3006375787617291,0.3006375787617288,-2.7755575615628914e-16,2.7755575615628914e-16
3,18,0.08187073406076004,0.08187073406075997,-6.938893903907228e-17,6.938893903907228e-17
9,6,0.002804896748917915,0.002804896748917908,-6.938893903907228e-18,6.938893903907228e-18
7,14,-0.07022349915528149,-0.07022349915528142,6.938893903907228e-17,6.938893903907228e-17
10,16,0.02249820063496133,0.022498200634961323,-6.938893903907228e-18,6.938893903907228e-18
8,2,-0.005934441278071939,-0.005934441278071936,3.469446951953614e-18,3.469446951953614e-18
2,17,0.0702010011004072,0.07020100110040724,4.163336342344337e-17,4.163336342344337e-17
2,9,-0.044681816992132015,-0.044681816992132015,0.0,0.0
0,8,0.27624044737684306,0.27624044737684295,-1.1102230246251565e-16,1.1102230246251565e-16
5,2,0.031538088832922556,0.03153808883292256,6.938893903907228e-18,6.938893903907228e-18
3,1,-0.0015876833747025254,-0.0015876833747025462,-2.0816681711721685e-17,2.0816681711721685e-17
8,11,0.22638415691094269,0.22638415691094274,5.551115123125783e-17,5.551115123125783e-17
9,14,-0.09887965492582121,-0.09887965492582126,-5.551115123125783e-17,5.551115123125783e-17
7,7,-0.021855391712032556,-0.021855391712032546,1.0408340855860843e-17,1.0408340855860843e-17
5,9,-0.12535930847863153,-0.12535930847863158,-5.551115123125783e-17,5.551115123125783e-17
8,1,-0.10189941975914309,-0.10189941975914307,1.3877787807814457e-17,1.3877787807814457e-17
11,19,0.13162912187308354,0.13162912187308337,-1.6653345369377348e-16,1.6653345369377348e-16
2,1,-0.2066204512460372,-0.20662045124603712,8.326672684688674e-17,8.326672684688674e-17
0,1,-0.03840835265573796,-0.03840835265573796,0.0,0.0
0,12,-0.010996435297688435,-0.010996435297688456,-2.0816681711721685e-17,2.0816681711721685e-17
3,9,-0.05789731746452828,-0.05789731746452824,4.163336342344337e-17,4.163336342344337e-17
3,13,-0.025817508531317087,-0.02581750853131716,-7.28583859910259e-17,7.28583859910259e-17
1,13,-0.1609068391702039,-0.16090683917020382,8.326672684688674e-17,8.326672684688674e-17
2,7,0.05170848924361168,0.05170848924361166,-2.0816681711721685e-17,2.0816681711721685e-17
6,6,-0.14041032867826578,-0.14041032867826572,5.551115123125783e-17,5.551115123125783e-17
10,17,0.07777200736585453,0.07777200736585456,2.7755575615628914e-17,2.7755575615628914e-17
7,19,-0.010348411955131573,-0.010348411955131608,-3.469446951953614e-17,3.469446951953614e-17
2,15,-0.021348422746083475,-0.021348422746083482,-6.938893903907228e-18,6.938893903907228e-18
2,19,-0.080760369441877,-0.08076036944187699,1.3877787807814457e-17,1.3877787807814457e-17
0,13,-0.11832919885988864,-0.1183291988598886,4.163336342344337e-17,4.163336342344337e-17
11,18,0.18980688361202092,0.18980688361202092,0.0,0.0
4,13,0.03733044395221127,0.037330443952211266,-6.938893903907228e-18,6.938893903907228e-18
6,13,0.1540888403084168,0.1540888403084168,0.0,0.0
10,11,-0.07834688418021192,-0.0783468841802118,1.249000902703301e-16,1.249000902703301e-16
1,17,0.07180999512834303,0.07180999512834305,1.3877787807814457e-17,1.3877787807814457e-17
11,4,-0.20017916750870643,-0.20017916750870635,8.326672684688674e-17,8.326672684688674e-17
9,10,0.0372570346907905,0.037257034690790516,1.3877787807814457e-17,1.3877787807814457e-17
11,10,-0.4289243510230161,-0.4289243510230165,-3.885780586188048e-16,3.885780586188048e-16
