theta0,theta0_over_pi,n_steps,dphi,target_phase,berry_phase,abs_error
0.6283185307179586,0.2,64,0.09817477042468103,0.5999908074321633,0.5992855121278192,0.0007052953043440447
0.6283185307179586,0.2,96,0.06544984694978735,0.5999908074321633,0.5996773458718343,0.00031346156032896477
0.6283185307179586,0.2,128,0.04908738521234052,0.5999908074321633,0.599814485903177,0.0001763215289862785
0.6283185307179586,0.2,192,0.032724923474893676,0.5999908074321633,0.5999124424988324,7.836493333090999e-05
0.6283185307179586,0.2,256,0.02454369260617026,0.5999908074321633,0.5999467271947697,4.408023739355115e-05
0.6283185307179586,0.2,384,0.016362461737446838,0.5999908074321633,0.5999712162274903,1.959120467298625e-05
0.6283185307179586,0.2,512,0.01227184630308513,0.5999908074321633,0.5999797873818858,1.102005027742159e-05
0.9424777960769379,0.3,64,0.09817477042468103,1.2950108230993365,1.2940396334586726,0.0009711896406638943
0.9424777960769379,0.3,96,0.06544984694978735,1.2950108230993365,1.2945792945866452,0.00043152851269123715
0.9424777960769379,0.3,128,0.04908738521234052,1.2950108230993365,1.2947681102253632,0.00024271287397326088
0.9424777960769379,0.3,192,0.032724923474893676,1.2950108230993365,1.2949029576674083,0.0001078654319282002
0.9424777960769379,0.3,256,0.02454369260617026,1.2950108230993365,1.2949501501633882,6.0672935948247186e-05
0.9424777960769379,0.3,384,0.016362461737446838,1.2950108230993365,1.294983857784784,2.6965314552374053e-05
0.9424777960769379,0.3,512,0.01227184630308513,1.2950108230993365,1.294995655195493,1.5167903843371633e-05
1.2566370614359172,0.4,64,0.09817477042468103,2.17078713422706,2.170081268343986,0.000705865883074086
1.2566370614359172,0.4,96,0.06544984694978735,2.17078713422706,2.17047356002268,0.0003135742043798295
1.2566370614359172,0.4,128,0.04908738521234052,2.17078713422706,2.1706107770637497,0.00017635716331021456
1.2566370614359172,0.4,192,0.032724923474893676,2.17078713422706,2.1707087622558325,7.837197122739781e-05
1.2566370614359172,0.4,256,0.02454369260617026,2.17078713422706,2.1707430517629387,4.408246412124228e-05
1.2566370614359172,0.4,384,0.016362461737446838,2.17078713422706,2.1707675425825546,1.959164450537898e-05
1.2566370614359172,0.4,512,0.01227184630308513,2.17078713422706,2.1707761140376203,1.1020189439658878e-05
1.5707963267948966,0.5,64,0.09817477042468103,3.1415926535897927,3.141592653589793,4.440892098500626e-16
1.5707963267948966,0.5,96,0.06544984694978735,3.1415926535897927,3.1415926535897927,0.0
1.5707963267948966,0.5,128,0.04908738521234052,3.1415926535897927,3.141592653589793,4.440892098500626e-16
1.5707963267948966,0.5,192,0.032724923474893676,3.1415926535897927,3.141592653589793,4.440892098500626e-16
1.5707963267948966,0.5,256,0.02454369260617026,3.1415926535897927,-3.1415926535897922,2.021286199229721e-15
1.5707963267948966,0.5,384,0.016362461737446838,3.1415926535897927,3.1415926535897922,4.440892098500626e-16
1.5707963267948966,0.5,512,0.01227184630308513,3.1415926535897927,3.141592653589793,4.440892098500626e-16
1.8849555921538759,0.6,64,0.09817477042468103,4.112398172952527,-2.1700812683439867,0.0007058658830729987
1.8849555921538759,0.6,96,0.06544984694978735,4.112398172952527,-2.1704735600226805,0.0003135742043787422
1.8849555921538759,0.6,128,0.04908738521234052,4.112398172952527,-2.1706107770637506,0.00017635716330868312
1.8849555921538759,0.6,192,0.032724923474893676,4.112398172952527,-2.1707087622558325,7.837197122764274e-05
1.8849555921538759,0.6,256,0.02454369260617026,4.112398172952527,-2.1707430517629396,4.408246412015494e-05
1.8849555921538759,0.6,384,0.016362461737446838,4.112398172952527,-2.170767542582556,1.959164450429164e-05
1.8849555921538759,0.6,512,0.01227184630308513,4.112398172952527,-2.1707761140376207,1.102018943857154e-05
2.199114857512855,0.7,64,0.09817477042468103,4.9881744840802495,-1.2940396334586721,0.0009711896406650274
2.199114857512855,0.7,96,0.06544984694978735,4.9881744840802495,-1.2945792945866461,0.0004315285126905939
2.199114857512855,0.7,128,0.04908738521234052,4.9881744840802495,-1.294768110225363,0.00024271287397350583
2.199114857512855,0.7,192,0.032724923474893676,4.9881744840802495,-1.2949029576674078,0.0001078654319288892
2.199114857512855,0.7,256,0.02454369260617026,4.9881744840802495,-1.2949501501633882,6.067293594849212e-05
2.199114857512855,0.7,384,0.016362461737446838,4.9881744840802495,-1.2949838577847848,2.6965314552174892e-05
2.199114857512855,0.7,512,0.01227184630308513,4.9881744840802495,-1.2949956551954933,1.5167903843394518e-05
2.5132741228718345,0.8,64,0.09817477042468103,5.683194499747423,-0.5992855121278187,0.0007052953043447338
2.5132741228718345,0.8,96,0.06544984694978735,5.683194499747423,-0.5996773458718343,0.00031346156032909867
2.5132741228718345,0.8,128,0.04908738521234052,5.683194499747423,-0.5998144859031772,0.00017632152898563525
2.5132741228718345,0.8,192,0.032724923474893676,5.683194499747423,-0.599912442498833,7.836493333026673e-05
2.5132741228718345,0.8,256,0.02454369260617026,5.683194499747423,-0.5999467271947693,4.4080237393796086e-05
2.5132741228718345,0.8,384,0.016362461737446838,5.683194499747423,-0.599971216227491,1.9591204672120956e-05
2.5132741228718345,0.8,512,0.01227184630308513,5.683194499747423,-0.5999797873818881,1.1020050275224028e-05
