perm_id,stat_perm_median_test_r2
0,-0.08538145892364768
1,-0.09810302039627672
2,-0.22110890330610666
3,-0.048632291669879535
4,-0.24482729271065184
5,-0.11862940914638198
6,-0.13062909489678387
7,-0.10353463102856963
8,-0.20113282430031776
9,-0.33433501394435905
10,-0.03442350268017569
11,-0.041047628306075
12,-0.21102351111383322
13,-0.21107073223495254
14,-0.35931331397671706
15,-0.16388340796233358
16,-0.07467559314776728
17,-0.06952438966541175
18,-0.3585473333093814
19,-0.03842405408342964
20,-0.004848681097741836
21,-0.08065337783626336
22,-0.22756392168037443
23,-0.09474159330074383
24,-0.11298872772640811
25,-0.16975562991322424
26,-0.37949132606103786
27,-0.0919344760223042
28,-0.03936990273730523
29,-0.157263827266941
30,-0.07319833922534325
31,-0.21490753497518567
32,-0.1289551933128903
33,-0.15008064828472734
34,-0.14786846455153846
35,-0.24997812176008694
36,-0.03721793296339326
37,-0.19342869429746412
38,-0.18147292592090136
39,-0.2381678515975646
40,-0.14288938539492835
41,-0.21172750671572982
42,-0.0921169517819942
43,-0.2761450771189874
44,0.030759555747854772
45,-0.1159683607710198
46,-0.17828110686028453
47,-0.10884057017955573
48,-0.2177849699689003
49,-0.06511998430627486
50,-0.1978581058105604
51,-0.09780750020740203
52,-0.022891997565956834
53,-0.22127569729975116
54,-0.043105159581504626
55,-0.08446234861602575
56,-0.1222405793892597
57,-0.07781367162509711
58,-0.18886543712387094
59,-0.14126279525198526
60,-0.18225846901057519
61,-0.154953085261068
62,-0.22821359724455637
63,-0.0999061692010409
64,-0.25034744695445776
65,-0.13322952847767544
66,-0.160575873474738
67,-0.3925155677362825
68,-0.23294148828360317
69,-0.30095971768150154
70,-0.10658938724394307
71,-0.06926277348504617
72,-0.18642619046729592
73,-0.24410326740088484
74,-0.14210204053197595
75,-0.12207333364437889
76,-0.3070690372225232
77,-0.005641595854023351
78,-0.07659105793178078
79,-0.1910124315571321
80,-0.35072049294721064
81,-0.08254031723488553
82,-0.34579054487073135
83,-0.06787859757369108
84,-0.29610917362282796
85,-0.08119415818757647
86,-0.09445900993551026
87,-0.03964916316562639
88,-0.32799869817352223
89,-0.11932193702810512
90,-0.18550257794110747
91,-0.14382627017352578
92,-0.1154706436579398
93,-0.1412386698350765
94,-0.13473169247603933
95,-0.03420478760857493
96,-0.2464214192562415
97,-0.14904640819480286
98,-0.036799665137762005
99,-0.16343623463235624
