n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.014628571428571428,-0.0003432727714929637,0.0003432727714929637,0.019590009201608378,0.01959000920160971,0.002857142857142857,0.0006796680559010175,0.008762279217187714,2.6549534997018037e-05,0.18285714285714286
1,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.007314285714285714,-0.00017163638574648152,0.00017163638574648152,0.02764423766327469,0.008054228461666313,0.0014285714285714286,0.0006796680559010176,0.008749725808567104,2.6549534997018054e-05,0.2742857142857143
2,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.014628571428571428,-0.0003432727714929627,0.0003432727714929627,0.04241473185811524,0.014770494194840552,0.002857142857142857,0.0006796680559010176,0.008724618991325879,2.6549534997017983e-05,0.45714285714285713
3,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.04241473185811524,0.0,0.0,0.0006796680559010176,0.008724618991325879,2.6549534997017983e-05,0.45714285714285713
4,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.036571428571428574,-0.0008581819287324083,0.0008581819287324083,0.07487597323205819,0.03246124137394295,0.007142857142857143,0.0006796680559010176,0.008661851948222814,2.6549534997017952e-05,0.9142857142857143
5,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0005149091572394446,0.0005149091572394446,0.09242604875232535,0.01755007552026716,0.004285714285714286,0.0006796680559010176,0.008624191722360976,2.654953499701795e-05,1.1885714285714286
6,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0005149091572394444,0.0005149091572394444,0.10895942760102964,0.01653337884870429,0.004285714285714286,0.0006796680559010175,0.008586531496499135,2.654953499701799e-05,1.4628571428571429
7,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.007314285714285714,-0.00017163638574648136,0.00017163638574648136,0.11427945513510915,0.005320027534079508,0.0014285714285714286,0.0006796680559010176,0.008573978087878525,2.6549534997018007e-05,1.5542857142857143
8,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.0,0.0,-0.0,0.11427945513510915,0.0,0.0,0.0006796680559010176,0.008573978087878525,2.6549534997018007e-05,1.5542857142857143
9,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.014628571428571428,-0.0003432727714929627,0.0003432727714929627,0.12466566205485917,0.010386206919750021,0.002857142857142857,0.0006796680559010175,0.008548871270637297,2.6549534997018088e-05,1.737142857142857
10,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.007314285714285714,-0.00017163638574648136,0.00017163638574648136,0.12974069471942612,0.00507503266456695,0.0014285714285714286,0.0006796680559010175,0.008536317862016685,2.654953499701805e-05,1.8285714285714285
11,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.003028779242889339,0.003028779242889339,0.15041406970698368,0.020673374987557558,0.004285714285714286,0.0006796680559010175,0.008498657636154847,2.6549534997018095e-05,2.1028571428571428
12,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.021942857142857142,-0.0005149091572394443,0.0005149091572394443,0.1648103487911159,0.014396279084132213,0.004285714285714286,0.0006796680559010176,0.00846099741029301,2.6549534997018037e-05,2.3771428571428572
13,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.007314285714285714,-0.00017163638574648152,0.00017163638574648152,0.16948731098702963,0.004676962195913736,0.0014285714285714286,0.0006796680559010175,0.008448444001672394,2.6549534997018054e-05,2.4685714285714284
14,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.007314285714285714,-0.00017163638574648198,0.00017163638574648198,0.17410719188101098,0.004619880893981354,0.0014285714285714286,0.0006796680559010175,0.008435890593051783,2.654953499701807e-05,2.56
15,gaussian,0.03,2.0,64,0.09,0.0026999999999999997,700,0.007314285714285714,-0.00017163638574648152,0.00017163638574648152,0.17867202476782412,0.004564832886813142,0.0014285714285714286,0.0006796680559010176,0.008423337184431171,2.6549534997018034e-05,2.6514285714285712
