angle_deg,Lambda_matter_plus,Lambda_matter_analytic,angle_error
0.0,0.0,0.0,0.0
1.40625,0.009596492001124377,0.00959649200112438,-3.469446951953614e-18
2.8125,0.019187203434303225,0.01918720343430323,-3.469446951953614e-18
4.21875,0.028766357213589,0.028766357213589003,-3.469446951953614e-18
5.625,0.038328183214932685,0.03832818321493269,-6.938893903907228e-18
7.03125,0.04786692175189077,0.04786692175189078,-6.938893903907228e-18
8.4375,0.05737682704504501,0.05737682704504502,-1.3877787807814457e-17
9.84375,0.06685217068304507,0.06685217068304508,-1.3877787807814457e-17
11.25,0.07628724507318932,0.07628724507318933,-1.3877787807814457e-17
12.656249999999998,0.08567636687946534,0.08567636687946535,-1.3877787807814457e-17
14.0625,0.09501388044597883,0.09501388044597886,-2.7755575615628914e-17
15.468749999999998,0.10429416120370952,0.10429416120370953,-1.3877787807814457e-17
16.875,0.11351161905854096,0.11351161905854097,-1.3877787807814457e-17
18.281250000000004,0.12266070175852439,0.1226607017585244,-1.3877787807814457e-17
19.6875,0.1317358982383475,0.1317358982383475,0.0
21.093749999999996,0.14073174193899432,0.14073174193899435,-2.7755575615628914e-17
22.5,0.14964281410059593,0.14964281410059596,-2.7755575615628914e-17
23.906250000000004,0.15846374702648852,0.15846374702648855,-2.7755575615628914e-17
25.312499999999996,0.16718922731651353,0.16718922731651356,-2.7755575615628914e-17
26.718749999999996,0.17581399906761092,0.17581399906761094,-2.7755575615628914e-17
28.125,0.18433286703977886,0.1843328670397789,-5.551115123125783e-17
29.531250000000004,0.1927406997854919,0.19274069978549194,-2.7755575615628914e-17
30.937499999999996,0.2010324327406931,0.20103243274069313,-2.7755575615628914e-17
32.34375,0.20920307127549817,0.2092030712754982,-2.7755575615628914e-17
33.75,0.21724769370277358,0.2172476937027736,-2.7755575615628914e-17
35.15625,0.22516145424277695,0.22516145424277698,-2.7755575615628914e-17
36.56250000000001,0.23293958594207345,0.2329395859420735,-5.551115123125783e-17
37.96875,0.24057740354497065,0.24057740354497067,-2.7755575615628914e-17
39.375,0.24807030631574087,0.24807030631574092,-5.551115123125783e-17
40.78125,0.2554137808099327,0.25541378080993277,-5.551115123125783e-17
42.18749999999999,0.2626034035931011,0.2626034035931011,0.0
43.59375,0.2696348439053186,0.26963484390531867,-5.551115123125783e-17
45.0,0.2765038662698639,0.2765038662698639,0.0
46.40625000000001,0.2832063330445137,0.2832063330445137,0.0
47.81250000000001,0.2897382069139043,0.2897382069139044,-1.1102230246251565e-16
49.21875,0.2960955533214593,0.2960955533214594,-1.1102230246251565e-16
50.62499999999999,0.30227454283941946,0.30227454283941957,-1.1102230246251565e-16
52.03125,0.3082714534755463,0.30827145347554635,-5.551115123125783e-17
53.43749999999999,0.3140826729151115,0.31408267291511155,-5.551115123125783e-17
54.84374999999999,0.3197047006968203,0.31970470069682033,-5.551115123125783e-17
56.25,0.325134150321358,0.32513415032135806,-5.551115123125783e-17
57.65624999999999,0.33036775129129103,0.33036775129129115,-1.1102230246251565e-16
59.06250000000001,0.33540235108109223,0.3354023510810923,-5.551115123125783e-17
60.46875,0.34023491703610376,0.3402349170361038,-5.551115123125783e-17
61.87499999999999,0.3448625381992958,0.34486253819929585,-5.551115123125783e-17
63.28125000000001,0.34928242706471746,0.3492824270647175,-5.551115123125783e-17
64.6875,0.35349192125658646,0.3534919212565865,-5.551115123125783e-17
66.09375,0.3574884851330048,0.3574884851330049,-1.1102230246251565e-16
67.5,0.3612697113133345,0.3612697113133346,-5.551115123125783e-17
68.90624999999999,0.36483332212831354,0.36483332212831365,-1.1102230246251565e-16
70.3125,0.3681771709920393,0.36817717099203934,-5.551115123125783e-17
71.71875,0.37129924369499046,0.3712992436949905,-5.551115123125783e-17
73.12500000000001,0.37419765961731266,0.3741976596173128,-1.1102230246251565e-16
74.53125,0.3768706728616333,0.37687067286163334,-5.551115123125783e-17
75.9375,0.3793166733047241,0.3793166733047242,-1.1102230246251565e-16
77.34375,0.38153418756738017,0.3815341875673802,-5.551115123125783e-17
78.75,0.38352187990192776,0.3835218799019278,-5.551115123125783e-17
80.15625,0.3852785529968292,0.3852785529968293,-5.551115123125783e-17
81.5625,0.38680314869789845,0.38680314869789856,-1.1102230246251565e-16
82.96875,0.3880947486456934,0.38809474864569343,-5.551115123125783e-17
84.37499999999999,0.38915257482870147,0.3891525748287015,-5.551115123125783e-17
85.78124999999999,0.3899759900519848,0.38997599005198486,-5.551115123125783e-17
87.1875,0.39056449832100226,0.3905644983210024,-1.1102230246251565e-16
88.59375,0.39091774514037847,0.3909177451403786,-1.1102230246251565e-16
90.0,0.3910355177274381,0.39103551772743816,-5.551115123125783e-17
