case_id,seed,n_sites,k_layers,dmu,dt,n_steps,gamma_deph,eta0,max_abs_residual,mean_abs_residual
0,20270228,4,3,0.3333333333333333,0.015,60,0.36481145222070915,0.569180260094367,0.002664588103955867,0.0009434686164604814
1,20270228,4,3,0.3333333333333333,0.03,30,0.36481145222070915,0.569180260094367,0.005221012679141379,0.0018946444411189315
2,20270228,4,3,0.3333333333333333,0.06,15,0.36481145222070915,0.569180260094367,0.010020480485312955,0.003816907505704797
3,20270228,4,3,0.3333333333333333,0.12,7,0.36481145222070915,0.569180260094367,0.018872794867620425,0.007944952098998932
4,20271228,4,4,0.25,0.015,60,0.36481145222070915,0.569180260094367,0.00674764616258583,0.001210253427266848
5,20271228,4,4,0.25,0.03,30,0.36481145222070915,0.569180260094367,0.013404189986128245,0.002429823128998876
6,20271228,4,4,0.25,0.06,15,0.36481145222070915,0.569180260094367,0.02644572615214169,0.004896997157073854
7,20271228,4,4,0.25,0.12,7,0.36481145222070915,0.569180260094367,0.05145488131210907,0.010339572613948406
8,20272228,4,5,0.2,0.015,60,0.36481145222070915,0.569180260094367,0.002620605555645472,0.0005712367081392355
9,20272228,4,5,0.2,0.03,30,0.36481145222070915,0.569180260094367,0.005228339091514406,0.0011466084183087556
10,20272228,4,5,0.2,0.06,15,0.36481145222070915,0.569180260094367,0.010402067166555395,0.0023082552138382925
11,20272228,4,5,0.2,0.12,7,0.36481145222070915,0.569180260094367,0.02056070676833091,0.004852638972022704
12,20273228,4,6,0.16666666666666666,0.015,60,0.36481145222070915,0.569180260094367,0.003122109899998171,0.0006532071824637324
13,20273228,4,6,0.16666666666666666,0.03,30,0.36481145222070915,0.569180260094367,0.0061978052239665266,0.001310590652995878
14,20273228,4,6,0.16666666666666666,0.06,15,0.36481145222070915,0.569180260094367,0.012208012580908603,0.0026354930391630452
15,20273228,4,6,0.16666666666666666,0.12,7,0.36481145222070915,0.569180260094367,0.023650117190442646,0.0055360854027332465
